Title	Automatic Acquisition of Adjectival Subcategorization from Corpora	page=0 xpos=0 ypos=0 single-column centered left-indent right-indent font-largest page-top headchar-capital above-blank-line above-double-space above-line-space
I-Body	more than 30 distinguishable adjectival SCF s. Some	page=1 xpos=5 ypos=3 right-column full-justified hanged-line headchar-lower
I-Body	fairly extensive frame sets can be found in large syn-	page=1 xpos=5 ypos=3 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	tax dictionaries, such as COMLEX (31 SCF s) (Wolff	page=1 xpos=5 ypos=3 right-column full-justified aligned-line headchar-lower
I-Body	et al., 1998) and ANLT (24 SCF s) (Boguraev et al.,	page=1 xpos=5 ypos=3 right-column full-justified aligned-line year headchar-lower tailchar-comma
I-Body	1987). While such resources are generally accu-	page=1 xpos=5 ypos=3 right-column full-justified aligned-line year tailchar-hiphen
I-Body	rate, they are disappointingly incomplete: none of	page=1 xpos=5 ypos=4 right-column full-justified aligned-line headchar-lower
I-Body	the proposed frame sets in the well-known resources	page=1 xpos=5 ypos=4 right-column full-justified aligned-line headchar-lower
I-Body	subsumes the others, the coverage of SCF types for	page=1 xpos=5 ypos=4 right-column full-justified aligned-line headchar-lower
I-Body	individual adjectives is low, and (accurate) informa-	page=1 xpos=5 ypos=4 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	tion on the relative frequency of SCF s for each ad-	page=1 xpos=5 ypos=4 right-column full-justified aligned-line headchar-lower tailchar-hiphen
E-Body	jective is absent.	page=1 xpos=5 ypos=5 right-column right-indent aligned-line shorter-tail headchar-lower tailchar-period
B-Body	The inadequacy of manually-created dictionaries	page=1 xpos=5 ypos=5 right-column left-indent indented-line longer-tail headchar-capital
I-Body	and the difficulty of adequately enhancing and main-	page=1 xpos=5 ypos=5 right-column full-justified hanged-line headchar-lower tailchar-hiphen
I-Body	taining the information by hand was a central moti-	page=1 xpos=5 ypos=5 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	vation for early research into automatic subcatego-	page=1 xpos=5 ypos=5 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	rization acquisition. The focus heretofore has re-	page=1 xpos=5 ypos=6 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	mained firmly on verb subcategorization, but this is	page=1 xpos=5 ypos=6 right-column full-justified aligned-line headchar-lower
I-Body	not sufficient, as countless examples show. Knowl-	page=1 xpos=5 ypos=6 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	edge of adjectival subcategorization can yield fur-	page=1 xpos=5 ypos=6 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	ther improvements in tagging (e.g. distinguishing	page=1 xpos=5 ypos=6 right-column full-justified aligned-line headchar-lower
I-Body	between “to” as an infinitive marker and as a true	page=1 xpos=5 ypos=7 right-column right-indent aligned-line headchar-lower
I-Body	preposition), parsing (e.g. distinguishing between	page=1 xpos=5 ypos=7 right-column full-justified aligned-line headchar-lower
I-Body	PP -arguments and adjuncts), and semantic analysis.	page=1 xpos=5 ypos=7 right-column full-justified aligned-line headchar-capital tailchar-period
I-Body	For example, if John is both easy and eager to please	page=1 xpos=5 ypos=7 right-column full-justified aligned-line headchar-capital
I-Body	then we know that he is the recipient of pleasure in	page=1 xpos=5 ypos=7 right-column full-justified aligned-line headchar-lower
I-Body	the first instance and desirous of providing it in the	page=1 xpos=5 ypos=8 right-column full-justified aligned-line headchar-lower
I-Body	second, but a computational system cannot deter-	page=1 xpos=5 ypos=8 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	mine this without knowledge of the subcategoriza-	page=1 xpos=5 ypos=8 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	tion of the two adjectives. Likewise, a natural lan-	page=1 xpos=5 ypos=8 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	guage generation system can legitimately apply the	page=1 xpos=5 ypos=8 right-column full-justified aligned-line headchar-lower
I-Body	extraposition transformation to the first case, but not	page=1 xpos=5 ypos=9 right-column full-justified aligned-line headchar-lower
I-Body	to the second: It is “easy to please John”, but not	page=1 xpos=5 ypos=9 right-column right-indent aligned-line headchar-lower column-bottom above-blank-line above-double-space above-line-space
Page	615	page=1 xpos=4 ypos=9 single-column left-indent right-indent column-top line-blank-line line-double-space line-space numeric-only page-bottom
I-Body	“eager” to do so, at least if “it” be expletive. Similar	page=2 xpos=0 ypos=0 left-column right-indent page-top
E-Body	examples abound.	page=2 xpos=0 ypos=0 left-column right-indent aligned-line shorter-tail headchar-lower tailchar-period
B-Body	Many of the difficulties described in the litera-	page=2 xpos=0 ypos=0 left-column left-indent indented-line longer-tail headchar-capital tailchar-hiphen
I-Body	ture on acquiring verb subcategorization also arise	page=2 xpos=0 ypos=0 left-column full-justified hanged-line headchar-lower
I-Body	in the adjectival case. The most apparent is data	page=2 xpos=0 ypos=0 left-column full-justified aligned-line headchar-lower
I-Body	sparsity: among the 100M-word British National	page=2 xpos=0 ypos=0 left-column full-justified aligned-line headchar-lower
I-Body	Corpus ( BNC ) (Burnard, 1995), the RASP tools find	page=2 xpos=0 ypos=1 left-column full-justified aligned-line year headchar-capital
I-Body	124,120 distinct adjectives, of which 70,246 occur	page=2 xpos=0 ypos=1 left-column full-justified aligned-line
I-Body	only once, 106,464 fewer than ten times and 119,337	page=2 xpos=0 ypos=1 left-column full-justified aligned-line headchar-lower
I-Body	fewer than a hundred times. There are fewer than	page=2 xpos=0 ypos=1 left-column full-justified aligned-line headchar-lower
I-Body	1,000 adjectives in the corpus which have more than	page=2 xpos=0 ypos=1 left-column full-justified aligned-line
I-Body	1,000 occurrences. Both adjective and SCF frequen-	page=2 xpos=0 ypos=2 left-column full-justified aligned-line tailchar-hiphen
I-Body	cies have Zipfian distributions; consequently, even	page=2 xpos=0 ypos=2 left-column full-justified aligned-line headchar-lower
I-Body	the largest corpora may contain only single instances	page=2 xpos=0 ypos=2 left-column full-justified aligned-line headchar-lower
I-Body	of a particular adjective- SCF combination, which is	page=2 xpos=0 ypos=2 left-column full-justified aligned-line headchar-lower
E-Body	generally insufficient for classification.	page=2 xpos=0 ypos=2 left-column right-indent aligned-line shorter-tail headchar-lower tailchar-period above-double-space above-line-space
B-SectionHeader	3 Description of the System	page=2 xpos=0 ypos=3 left-column right-indent font-larger aligned-line shorter-tail line-double-space line-space numbered-heading1 above-double-space above-line-space
B-Body	Besides focusing on adjectives, our approach to SCF	page=2 xpos=0 ypos=3 left-column full-justified aligned-line longer-tail line-double-space line-space headchar-capital
I-Body	acquisition differs from earlier work in a number	page=2 xpos=0 ypos=3 left-column full-justified aligned-line headchar-lower
I-Body	of ways. A common strategy in existing systems	page=2 xpos=0 ypos=4 left-column full-justified aligned-line headchar-lower
I-Body	(e.g. (Briscoe and Carroll, 1997)) is to extract SCF s	page=2 xpos=0 ypos=4 left-column full-justified aligned-line year
I-Body	from parse trees, introducing an unnecessary depen-	page=2 xpos=0 ypos=4 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	dence on the details of a particular parser. In our ap-	page=2 xpos=0 ypos=4 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	proach the patterns are extracted from GR s — repre-	page=2 xpos=0 ypos=4 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	sentations of head-complement relations which are	page=2 xpos=0 ypos=5 left-column full-justified aligned-line headchar-lower
I-Body	designed to be largely parser-independent — mak-	page=2 xpos=0 ypos=5 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	ing the techniques more widely applicable and al-	page=2 xpos=0 ypos=5 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	lowing classification to operate at a higher level.	page=2 xpos=0 ypos=5 left-column full-justified aligned-line headchar-lower tailchar-period
I-Body	Further, most existing systems work by classifying	page=2 xpos=0 ypos=5 left-column full-justified aligned-line headchar-capital
I-Body	corpus occurrences into individual, mutually inde-	page=2 xpos=0 ypos=6 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	pendent SCF s. We adopt instead a hierarchical ap-	page=2 xpos=0 ypos=6 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	proach, viewing frames that share features as de-	page=2 xpos=0 ypos=6 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	scendants of a common parent frame. The benefits	page=2 xpos=0 ypos=6 left-column full-justified aligned-line headchar-lower
I-Body	are severalfold: specifying each feature only once	page=2 xpos=0 ypos=6 left-column full-justified aligned-line headchar-lower
I-Body	makes the system both more efficient and easier to	page=2 xpos=0 ypos=7 left-column full-justified aligned-line headchar-lower
I-Body	understand and maintain, and the multiple inheri-	page=2 xpos=0 ypos=7 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	tance hierarchy reflects the hierarchy of lexical types	page=2 xpos=0 ypos=7 left-column full-justified aligned-line headchar-lower
I-Body	found in modern grammars where relationships be-	page=2 xpos=0 ypos=7 left-column full-justified aligned-line headchar-lower tailchar-hiphen
E-Body	tween similar frames are represented explicitly <sup>1</sup> .	page=2 xpos=0 ypos=7 left-column right-indent font-largest aligned-line shorter-tail headchar-lower tailchar-period
B-Body	Our acquisition process consists of two main	page=2 xpos=0 ypos=8 left-column left-indent indented-line longer-tail headchar-capital
I-Body	steps: 1) extracting GR s from corpus data, and 2)	page=2 xpos=0 ypos=8 left-column full-justified hanged-line headchar-lower
I-Body	feeding the GR s as input to the classifier which in-	page=2 xpos=0 ypos=8 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	crementally matches parts of the GR sets to decide	page=2 xpos=0 ypos=8 left-column full-justified aligned-line headchar-lower
I-Body	which branches of a decision-tree to follow. The	page=2 xpos=0 ypos=8 left-column full-justified aligned-line headchar-lower above-line-space
B-Footnote	<sup>1</sup> Compare the cogent argument for a inheritance-based lexi-	page=2 xpos=0 ypos=9 left-column left-indent indented-line line-space headchar-super tailchar-hiphen
I-Footnote	con in (Flickinger and Nerbonne, 1992), much of which can be	page=2 xpos=0 ypos=9 left-column full-justified font-smallest hanged-line year headchar-lower
I-Footnote	applied unchanged to the taxonomy of SCF s.	page=2 xpos=0 ypos=9 left-column right-indent font-smallest aligned-line shorter-tail headchar-lower tailchar-period column-bottom
Figure	__Figure 2__	page=2 xpos=5 ypos=-1 right-column left-indent right-over box column-top figure-area above-blank-line above-double-space above-line-space
B-Caption	Figure 2: The GR hierarchy used by RASP	page=2 xpos=5 ypos=2 right-column centered left-indent right-indent indented-line shorter-tail line-blank-line line-double-space line-space string-figure headchar-capital above-blank-line above-double-space above-line-space
I-Body	leaves of the tree correspond to SCF s. The details of	page=2 xpos=5 ypos=2 right-column full-justified hanged-line longer-tail line-blank-line line-double-space line-space headchar-lower
