Title	Sense-level Subjectivity in a Multilingual Setting	page=0 xpos=1 ypos=0 single-column centered left-indent right-indent font-largest page-top headchar-capital above-blank-line above-double-space above-line-space
B-SectionHeader	2 Related Work	page=0 xpos=5 ypos=4 right-column right-indent font-largest aligned-line longer-tail line-double-space line-space numbered-heading1 above-double-space above-line-space
B-Body	Recently, resources and tools for sentiment analy-	page=0 xpos=5 ypos=4 right-column full-justified aligned-line longer-tail line-double-space line-space headchar-capital tailchar-hiphen
I-Body	sis developed for English have been used as a start-	page=0 xpos=5 ypos=4 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	ing point to build resources in other languages,	page=0 xpos=5 ypos=5 right-column full-justified aligned-line headchar-lower tailchar-comma
I-Body	via cross-lingual projections or monolingual and	page=0 xpos=5 ypos=5 right-column full-justified aligned-line headchar-lower
I-Body	multilingual bootstrapping. Several directions	page=0 xpos=5 ypos=5 right-column full-justified aligned-line headchar-lower
I-Body	were followed, focused on leveraging annotation	page=0 xpos=5 ypos=5 right-column full-justified aligned-line headchar-lower
I-Body	schemes, lexicons, corpora and automated annota-	page=0 xpos=5 ypos=5 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	tion systems. English annotation schemes devel-	page=0 xpos=5 ypos=5 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	oped for opinionated text lays the groundwork for	page=0 xpos=5 ypos=6 right-column full-justified aligned-line headchar-lower
I-Body	research carried out by (Esuli et al., 2008) when	page=0 xpos=5 ypos=6 right-column full-justified aligned-line year headchar-lower
I-Body	annotating expressions of private state in Italian or	page=0 xpos=5 ypos=6 right-column full-justified aligned-line headchar-lower
I-Body	by (Maks and Vossen, 2010) in Dutch. Sentiment	page=0 xpos=5 ypos=6 right-column full-justified aligned-line year headchar-lower
I-Body	and subjectivity lexicons such as the one included	page=0 xpos=5 ypos=6 right-column full-justified aligned-line headchar-lower
I-Body	with the OpinionFinder distribution (Wiebe and	page=0 xpos=5 ypos=7 right-column full-justified aligned-line headchar-lower
I-Body	Riloff, 2005), the General Inquirer (Stone et al.,	page=0 xpos=5 ypos=7 right-column full-justified aligned-line year headchar-capital tailchar-comma
I-Body	1967), or the SentiWordNet (Esuli and Sebastiani,	page=0 xpos=5 ypos=7 right-column full-justified aligned-line year tailchar-comma
I-Body	2006b) were transferred into Chinese (Ku et al.,	page=0 xpos=5 ypos=7 right-column full-justified aligned-line year tailchar-comma
I-Body	2006; Wu, 2008) and into Romanian (Mihalcea et	page=0 xpos=5 ypos=7 right-column full-justified aligned-line year
I-Body	al., 2007). English corpora manually annotated for	page=0 xpos=5 ypos=7 right-column full-justified aligned-line year headchar-lower
I-Body	subjectivity or sentiment such as MPQA (Wiebe	page=0 xpos=5 ypos=8 right-column full-justified aligned-line headchar-lower
I-Body	et al., 2005), or the multi-domain sentiment clas-	page=0 xpos=5 ypos=8 right-column full-justified aligned-line year headchar-lower tailchar-hiphen
I-Body	sification corpus (Blitzer et al., 2007) were sub-	page=0 xpos=5 ypos=8 right-column full-justified aligned-line year headchar-lower tailchar-hiphen
I-Body	jected to experiments in Spanish, Romanian, or	page=0 xpos=5 ypos=8 right-column full-justified aligned-line headchar-lower
I-Body	Chinese upon automatic translation by (Banea et	page=0 xpos=5 ypos=8 right-column full-justified aligned-line headchar-capital
I-Body	al., 2008b; Wan, 2009). Furthermore, tools devel-	page=0 xpos=5 ypos=9 right-column full-justified aligned-line year headchar-lower tailchar-hiphen
I-Body	oped for English were used to determine sentiment	page=0 xpos=5 ypos=9 right-column full-justified aligned-line headchar-lower column-bottom above-blank-line above-double-space above-line-space
B-Footer	Proceedings of the Workshop on Sentiment Analysis where AI meets Psychology (SAAIP), IJCNLP 2011, pages 44–50,	page=0 xpos=0 ypos=9 single-column left-indent right-indent font-smallest column-top line-blank-line line-double-space line-space year headchar-capital tailchar-comma
I-Footer	Chiang Mai, Thailand, November 13, 2011.	page=0 xpos=3 ypos=9 single-column left-indent right-indent font-smallest indented-line shorter-tail year headchar-capital tailchar-period page-bottom
I-Body	or subjectivity labeling for a given target language	page=1 xpos=0 ypos=0 left-column full-justified page-top headchar-lower
I-Body	by transferring the text to English and applying an	page=1 xpos=0 ypos=0 left-column full-justified aligned-line headchar-lower
I-Body	English classifier on the resulting data. The la-	page=1 xpos=0 ypos=0 left-column full-justified aligned-line headchar-capital tailchar-hiphen
I-Body	bels were then transferred back into the target lan-	page=1 xpos=0 ypos=0 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	guage (Bautin et al., 2008; Banea et al., 2008b).	page=1 xpos=0 ypos=0 left-column full-justified aligned-line year headchar-lower tailchar-period
I-Body	These experiments are carried out in Arabic, Chi-	page=1 xpos=0 ypos=0 left-column full-justified aligned-line headchar-capital tailchar-hiphen
I-Body	nese, French, German, Japanese, Spanish, Roma-	page=1 xpos=0 ypos=1 left-column full-justified aligned-line headchar-lower tailchar-hiphen
E-Body	nian.	page=1 xpos=0 ypos=1 left-column right-indent aligned-line shorter-tail headchar-lower tailchar-period above-line-space
B-Body	We are not aware of research that has consid-	page=1 xpos=0 ypos=1 left-column left-indent indented-line longer-tail line-space headchar-capital tailchar-hiphen
I-Body	ered leveraging subjectivity at word sense level,	page=1 xpos=0 ypos=1 left-column full-justified hanged-line headchar-lower tailchar-comma
I-Body	yet, in terms of methodology, the work closest to	page=1 xpos=0 ypos=1 left-column full-justified aligned-line headchar-lower
I-Body	ours is the one proposed by (Wan, 2009), who	page=1 xpos=0 ypos=2 left-column full-justified aligned-line year headchar-lower
I-Body	constructs a polarity co-training system by using	page=1 xpos=0 ypos=2 left-column full-justified aligned-line headchar-lower
I-Body	the multilingual views obtained through the au-	page=1 xpos=0 ypos=2 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	tomatic translation of product-reviews into Chi-	page=1 xpos=0 ypos=2 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	nese and English. Unlike (Wan, 2009), we do not	page=1 xpos=0 ypos=2 left-column full-justified aligned-line year headchar-lower
I-Body	use any machine translation, and the labels em-	page=1 xpos=0 ypos=3 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	ployed are directly assigned by the annotators and	page=1 xpos=0 ypos=3 left-column full-justified aligned-line headchar-lower
I-Body	not inferred based on stars. (Banea et al., 2008a)	page=1 xpos=0 ypos=3 left-column full-justified aligned-line year headchar-lower
I-Body	present a method to learn sentence level subjectiv-	page=1 xpos=0 ypos=3 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	ity by training classifiers on multilingual feature	page=1 xpos=0 ypos=3 left-column full-justified aligned-line headchar-lower
I-Body	spaces and show that when considering features	page=1 xpos=0 ypos=4 left-column full-justified aligned-line headchar-lower
I-Body	from multiple languages, the classification accu-	page=1 xpos=0 ypos=4 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	racy improves, even above that of the source lan-	page=1 xpos=0 ypos=4 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	guage. We expand this method to allow for boot-	page=1 xpos=0 ypos=4 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	strapping, thus enabling additional samples to be	page=1 xpos=0 ypos=4 left-column full-justified aligned-line headchar-lower
E-Body	classified.	page=1 xpos=0 ypos=4 left-column right-indent aligned-line shorter-tail headchar-lower tailchar-period above-blank-line above-double-space above-line-space
B-SectionHeader	3 Sense Level Subjectivity Consistency	page=1 xpos=0 ypos=5 left-column right-indent font-largest aligned-line longer-tail line-blank-line line-double-space line-space numbered-heading1
I-SectionHeader	Across Languages	page=1 xpos=0 ypos=5 left-column left-indent right-indent font-largest indented-line shorter-tail headchar-capital above-double-space above-line-space
B-Body	While most multilingual research to date has fo-	page=1 xpos=0 ypos=5 left-column full-justified hanged-line longer-tail line-double-space line-space headchar-capital tailchar-hiphen
I-Body	cused on word, fragment, or document level sub-	page=1 xpos=0 ypos=6 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	jectivity, this work seeks to examine sense-level	page=1 xpos=0 ypos=6 left-column full-justified aligned-line headchar-lower
I-Body	subjectivity across languages. We aim to answer	page=1 xpos=0 ypos=6 left-column full-justified aligned-line headchar-lower
I-Body	two questions. First, if we have a resource such as	page=1 xpos=0 ypos=6 left-column full-justified aligned-line headchar-lower
I-Body	WordNet (Miller, 1995) aligned at sense level in	page=1 xpos=0 ypos=6 left-column full-justified aligned-line year headchar-capital
I-Body	two languages, is the subjectivity content consis-	page=1 xpos=0 ypos=7 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	tent across equivalent senses in the two languages?	page=1 xpos=0 ypos=7 left-column full-justified aligned-line headchar-lower
I-Body	Second, can we use a multilingual learning mecha-	page=1 xpos=0 ypos=7 left-column full-justified aligned-line headchar-capital tailchar-hiphen
I-Body	nism to automatically predict the subjectivity label	page=1 xpos=0 ypos=7 left-column full-justified aligned-line headchar-lower
I-Body	of senses? We examine the first question in Sec-	page=1 xpos=0 ypos=7 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	tion 3.1, and propose a framework for multilingual	page=1 xpos=0 ypos=8 left-column full-justified aligned-line headchar-lower
I-Body	learning that responds to the second question in	page=1 xpos=0 ypos=8 left-column full-justified aligned-line headchar-lower
E-Body	Section 3.2.	page=1 xpos=0 ypos=8 left-column right-indent aligned-line shorter-tail headchar-capital tailchar-period above-blank-line above-double-space above-line-space
B-SubsectionHeader	3.1 Annotation Study	page=1 xpos=0 ypos=8 left-column right-indent font-larger aligned-line longer-tail line-blank-line line-double-space line-space numbered-heading2 above-double-space above-line-space
B-Body	For the purpose of this study we consider the En-	page=1 xpos=0 ypos=9 left-column full-justified aligned-line longer-tail line-double-space line-space headchar-capital tailchar-hiphen
I-Body	glish (Miller, 1995) and the Romanian (Tufiş et	page=1 xpos=0 ypos=9 left-column full-justified aligned-line year headchar-lower
I-Body	al., 2006) versions of WordNet, which contain	page=1 xpos=0 ypos=9 left-column full-justified aligned-line year headchar-lower above-line-space
Page	45	page=1 xpos=4 ypos=9 left-column left-indent right-over indented-line longer-tail line-space numeric-only column-bottom
I-Body	117659 <sup>1</sup> and 58725 2 synsets, respectively. Both	page=1 xpos=5 ypos=0 right-column full-justified font-larger column-top
I-Body	lexical resources are aligned at synset level, which	page=1 xpos=5 ypos=0 right-column full-justified aligned-line headchar-lower
E-Body	represents a basic unit of meaning.	page=1 xpos=5 ypos=0 right-column right-indent aligned-line shorter-tail headchar-lower tailchar-period
B-Body	In order to add subjectivity information to this	page=1 xpos=5 ypos=0 right-column left-indent indented-line longer-tail headchar-capital
I-Body	structure, we use the English annotated data from	page=1 xpos=5 ypos=0 right-column full-justified hanged-line headchar-lower
I-Body	(Wiebe and Mihalcea, 2006) and (Akkaya et al.,	page=1 xpos=5 ypos=0 right-column full-justified aligned-line year tailchar-comma
I-Body	2009), as well as a list of 48 additional words,	page=1 xpos=5 ypos=1 right-column full-justified aligned-line year tailchar-comma
I-Body	for a total of 134 words encompassing 630 senses	page=1 xpos=5 ypos=1 right-column full-justified aligned-line headchar-lower
I-Body	manually annotated for subjectivity. This data	page=1 xpos=5 ypos=1 right-column full-justified aligned-line headchar-lower
I-Body	was then annotated by a native speaker of Ro-	page=1 xpos=5 ypos=1 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	manian (who participated in previous subjectiv-	page=1 xpos=5 ypos=1 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	ity annotations studies) who was only presented	page=1 xpos=5 ypos=2 right-column full-justified aligned-line headchar-lower
I-Body	with the gloss and the synset of each given sense	page=1 xpos=5 ypos=2 right-column full-justified aligned-line headchar-lower
I-Body	from the Romanian WordNet. The agreement with	page=1 xpos=5 ypos=2 right-column full-justified aligned-line headchar-lower
I-Body	the English annotations ranged from 90% (for the	page=1 xpos=5 ypos=2 right-column full-justified aligned-line headchar-lower
I-Body	(Wiebe and Mihalcea, 2006) dataset) to 84% (for	page=1 xpos=5 ypos=2 right-column full-justified aligned-line year
I-Body	the (Akkaya et al., 2009) dataset), implying that	page=1 xpos=5 ypos=3 right-column full-justified aligned-line year headchar-lower
I-Body	subjectivity can strongly transfer across senses	page=1 xpos=5 ypos=3 right-column full-justified aligned-line headchar-lower
I-Body	given manually aligned resources in different lan-	page=1 xpos=5 ypos=3 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	guages. However, we encountered several situa-	page=1 xpos=5 ypos=3 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	tions that may interfere with the subjective content	page=1 xpos=5 ypos=3 right-column full-justified aligned-line headchar-lower
E-Body	of a sense, which are further explained below.	page=1 xpos=5 ypos=3 right-column right-indent aligned-line shorter-tail headchar-lower tailchar-period above-double-space above-line-space
B-SubsubsectionHeader	3.1.1 Differences between Languages	page=1 xpos=5 ypos=4 right-column right-indent font-larger aligned-line shorter-tail line-double-space line-space numbered-heading3 above-line-space
B-Body	There were several examples where the subjectiv-	page=1 xpos=5 ypos=4 right-column full-justified aligned-line longer-tail line-space headchar-capital tailchar-hiphen
I-Body	ity label changed between languages. Let us con-	page=1 xpos=5 ypos=4 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	sider the following definitions of the fourth sense	page=1 xpos=5 ypos=4 right-column full-justified aligned-line headchar-lower
I-Body	of the noun argument listed in Table 1. While this	page=1 xpos=5 ypos=5 right-column full-justified aligned-line headchar-lower
I-Body	sense of argument is marked in the English data	page=1 xpos=5 ypos=5 right-column full-justified aligned-line headchar-lower
I-Body	as subjective, the Romanian gloss and synset de-	page=1 xpos=5 ypos=5 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	note a “direct summary,” which by definition dis-	page=1 xpos=5 ypos=5 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	allows the expression of any subjective perspec-	page=1 xpos=5 ypos=5 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	tive. Therefore, in Romanian this sense is objec-	page=1 xpos=5 ypos=6 right-column full-justified aligned-line headchar-lower tailchar-hiphen
E-Body	tive.	page=1 xpos=5 ypos=6 right-column right-indent aligned-line shorter-tail headchar-lower tailchar-period
B-Body	A similar scenario is posed by the fourth sense	page=1 xpos=5 ypos=6 right-column left-indent indented-line longer-tail headchar-capital
I-Body	of the verb decide (see Table 1). While the English	page=1 xpos=5 ypos=6 right-column full-justified hanged-line headchar-lower
I-Body	sense is labeled as objective, the Romanian sense	page=1 xpos=5 ypos=6 right-column full-justified aligned-line headchar-lower
I-Body	directly implies a subjective decision, and there-	page=1 xpos=5 ypos=6 right-column full-justified aligned-line headchar-lower tailchar-hiphen
E-Body	fore acquires a subjective label.	page=1 xpos=5 ypos=7 right-column right-indent aligned-line shorter-tail headchar-lower tailchar-period above-double-space above-line-space
B-SubsubsectionHeader	3.1.2 WordNet Granularity	page=1 xpos=5 ypos=7 right-column right-indent font-larger aligned-line line-double-space line-space numbered-heading3 above-line-space
B-Body	In several cases, the same sense in WordNet may	page=1 xpos=5 ypos=7 right-column full-justified aligned-line longer-tail line-space headchar-capital
I-Body	have both subjective and objective meanings. To	page=1 xpos=5 ypos=7 right-column full-justified aligned-line headchar-lower
I-Body	exemplify, let us consider the first sense of the	page=1 xpos=5 ypos=8 right-column full-justified aligned-line headchar-lower
I-Body	adjective free:	page=1 xpos=5 ypos=8 right-column right-indent aligned-line shorter-tail headchar-lower tailchar-colon above-blank-line above-double-space above-line-space
B-Listitem	En gloss: not limited or hampered; not un-	page=1 xpos=5 ypos=8 right-column full-justified aligned-line longer-tail line-blank-line line-double-space line-space headchar-capital tailchar-hiphen
I-Listitem	der compulsion or restraint; “free enterprise”; “a	page=1 xpos=5 ypos=8 right-column full-justified aligned-line headchar-lower above-blank-line above-double-space above-line-space
B-Footnote	<sup>1</sup> http://wordnet.princeton.edu/wordnet/	page=1 xpos=5 ypos=9 right-column left-indent right-indent font-smallest indented-line line-blank-line line-double-space line-space headchar-super
I-Footnote	man/wnstats.7WN.html	page=1 xpos=5 ypos=9 right-column right-indent font-smallest hanged-line shorter-tail headchar-lower
B-Footnote	<sup>2</sup> http://www.racai.ro/wnbrowser/Help.	page=1 xpos=5 ypos=9 right-column centered left-indent right-indent font-smallest indented-line longer-tail headchar-super tailchar-period
I-Footnote	aspx	page=1 xpos=5 ypos=9 right-column right-indent font-smallest hanged-line shorter-tail headchar-lower page-bottom
Table	__Table 1__	page=2 xpos=0 ypos=-5 single-column centered left-indent right-indent box page-top table-area above-line-space
B-Caption	Table 1: Differences between languages. Definitions and synonyms of the fourth sense of the noun	page=2 xpos=0 ypos=0 single-column full-justified hanged-line longer-tail line-space string-table headchar-capital
I-Caption	argument and the fourth sense of verb decide as provided by the English and Romanian WordNets; for	page=2 xpos=0 ypos=0 single-column full-justified aligned-line headchar-lower
E-Caption	Romanian we also provide the manual translation into English.	page=2 xpos=0 ypos=0 single-column right-indent aligned-line shorter-tail headchar-capital tailchar-period column-bottom above-blank-line above-double-space above-line-space
I-Listitem	free port”; “a free country”; “I have an hour free”;	page=2 xpos=0 ypos=1 left-column full-justified column-top line-blank-line line-double-space line-space headchar-lower tailchar-semicolon
I-Listitem	“free will”; “free of racism”; “feel free to stay as	page=2 xpos=0 ypos=1 left-column full-justified aligned-line
I-Listitem	long as you wish”; “a free choice”	page=2 xpos=0 ypos=1 left-column right-indent aligned-line shorter-tail headchar-lower
B-Listitem	Ro gloss: (Despre oameni) Care are posibilitatea	page=2 xpos=0 ypos=2 left-column full-justified aligned-line longer-tail headchar-capital
I-Listitem	de a acţiona după voinţa sa - de a face sau de	page=2 xpos=0 ypos=2 left-column full-justified aligned-line headchar-lower
I-Listitem	a nu face ceva; (translation) (About people)	page=2 xpos=0 ypos=2 left-column full-justified aligned-line itemization headchar-lower
I-Listitem	Someone who can act according to his will - who	page=2 xpos=0 ypos=2 left-column full-justified aligned-line headchar-capital
I-Listitem	can do or not do something	page=2 xpos=0 ypos=3 left-column right-indent aligned-line shorter-tail headchar-lower above-blank-line above-double-space above-line-space
B-Body	While the English sense can have both subjec-	page=2 xpos=0 ypos=3 left-column left-indent indented-line longer-tail line-blank-line line-double-space line-space headchar-capital tailchar-hiphen
I-Body	tive and objective uses, the Romanian sense is	page=2 xpos=0 ypos=3 left-column full-justified hanged-line headchar-lower
I-Body	subjective, as it further enforces the constraint that	page=2 xpos=0 ypos=4 left-column full-justified aligned-line headchar-lower
E-Body	the context of the word should refer to people.	page=2 xpos=0 ypos=4 left-column right-indent aligned-line shorter-tail headchar-lower tailchar-period above-blank-line above-double-space above-line-space
B-Body	From these examples, we notice that a perfect	page=2 xpos=0 ypos=5 left-column left-indent indented-line longer-tail line-blank-line line-double-space line-space headchar-capital
I-Body	sense to sense mapping among languages is im-	page=2 xpos=0 ypos=5 left-column full-justified hanged-line headchar-lower tailchar-hiphen
I-Body	possible, as a particular sense may denote addi-	page=2 xpos=0 ypos=5 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	tional meanings and uses in one language com-	page=2 xpos=0 ypos=5 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	pared to another, thus rendering a perfect paral-	page=2 xpos=0 ypos=6 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	lel sense boundary permeable. However, for about	page=2 xpos=0 ypos=6 left-column full-justified aligned-line headchar-lower
I-Body	90% of the senses the subjective meaning does	page=2 xpos=0 ypos=6 left-column full-justified aligned-line
I-Body	hold across languages, implying that this informa-	page=2 xpos=0 ypos=7 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	tion could be leveraged in an automatic fashion	page=2 xpos=0 ypos=7 left-column full-justified aligned-line headchar-lower
I-Body	to provide additional clues for the subjectivity la-	page=2 xpos=0 ypos=7 left-column full-justified aligned-line headchar-lower tailchar-hiphen
E-Body	belling of unseen senses.	page=2 xpos=0 ypos=7 left-column right-indent aligned-line shorter-tail headchar-lower tailchar-period above-double-space above-line-space
B-SubsectionHeader	3.2 Multilingual Subjectivity Sense Learning	page=2 xpos=0 ypos=8 left-column right-indent font-larger aligned-line longer-tail line-double-space line-space numbered-heading2 above-double-space above-line-space
B-Body	In this section we explore ways to use a multilin-	page=2 xpos=0 ypos=8 left-column full-justified aligned-line line-double-space line-space headchar-capital tailchar-hiphen
