Title	Modeling Local Coherence: An Entity-based Approach	page=0 xpos=1 ypos=0 single-column centered left-indent right-indent font-largest page-top headchar-capital column-bottom above-blank-line above-double-space above-line-space
I-Body	application in many symbolic text generation sys-	page=0 xpos=0 ypos=6 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	tems (e.g., Scott and de Souza, 1990; Kibble and	page=0 xpos=0 ypos=6 left-column full-justified aligned-line year headchar-lower
I-Body	Power, 2004). The ability of these systems to gener-	page=0 xpos=0 ypos=6 left-column full-justified aligned-line year headchar-capital tailchar-hiphen
I-Body	ate high quality text, almost indistinguishable from	page=0 xpos=0 ypos=6 left-column full-justified aligned-line headchar-lower
I-Body	human writing, makes the incorporation of coher-	page=0 xpos=0 ypos=7 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	ence theories in robust large-scale systems partic-	page=0 xpos=0 ypos=7 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	ularly appealing. The task is, however, challenging	page=0 xpos=0 ypos=7 left-column full-justified aligned-line headchar-lower
I-Body	considering that most previous efforts have relied on	page=0 xpos=0 ypos=7 left-column full-justified aligned-line headchar-lower
I-Body	handcrafted rules, valid only for limited domains,	page=0 xpos=0 ypos=7 left-column full-justified aligned-line headchar-lower tailchar-comma
I-Body	with no guarantee of scalability or portability (Re-	page=0 xpos=0 ypos=8 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	iter and Dale, 2000). Furthermore, coherence con-	page=0 xpos=0 ypos=8 left-column full-justified aligned-line year headchar-lower tailchar-hiphen
I-Body	straints are often embedded in complex representa-	page=0 xpos=0 ypos=8 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	tions (e.g., Asher and Lascarides, 2003) which are	page=0 xpos=0 ypos=8 left-column full-justified aligned-line year headchar-lower
E-Body	hard to implement in a robust application.	page=0 xpos=0 ypos=8 left-column right-indent aligned-line shorter-tail headchar-lower tailchar-period
B-Body	This paper focuses on local coherence, which	page=0 xpos=0 ypos=8 left-column left-indent indented-line longer-tail headchar-capital
I-Body	captures text relatedness at the level of sentence-to-	page=0 xpos=0 ypos=9 left-column full-justified hanged-line headchar-lower tailchar-hiphen column-bottom
I-Body	University of Edinburgh	page=0 xpos=5 ypos=0 right-column left-indent right-indent font-larger column-top headchar-capital
I-Body	mlap@inf.ed.ac.uk	page=0 xpos=6 ypos=1 right-column left-indent right-indent font-smaller indented-line shorter-tail symbol-atmark headchar-lower above-blank-line above-double-space above-line-space
I-Body	sentence transitions, and is essential for generating	page=0 xpos=5 ypos=1 right-column full-justified hanged-line longer-tail line-blank-line line-double-space line-space headchar-lower
I-Body	globally coherent text. The key premise of our work	page=0 xpos=5 ypos=2 right-column full-justified aligned-line headchar-lower
I-Body	is that the distribution of entities in locally coherent	page=0 xpos=5 ypos=2 right-column full-justified aligned-line headchar-lower
I-Body	texts exhibits certain regularities. This assumption is	page=0 xpos=5 ypos=2 right-column full-justified aligned-line headchar-lower
I-Body	not arbitrary — some of these regularities have been	page=0 xpos=5 ypos=2 right-column full-justified aligned-line headchar-lower
I-Body	recognized in Centering Theory (Grosz et al., 1995)	page=0 xpos=5 ypos=2 right-column full-justified aligned-line year headchar-lower
E-Body	and other entity-based theories of discourse.	page=0 xpos=5 ypos=3 right-column right-indent aligned-line shorter-tail headchar-lower tailchar-period above-line-space
B-Body	The algorithm introduced in the paper automat-	page=0 xpos=5 ypos=3 right-column left-indent indented-line longer-tail line-space headchar-capital tailchar-hiphen
I-Body	ically abstracts a text into a set of entity transi-	page=0 xpos=5 ypos=3 right-column full-justified hanged-line headchar-lower tailchar-hiphen
I-Body	tion sequences, a representation that reflects distri-	page=0 xpos=5 ypos=3 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	butional, syntactic, and referential information about	page=0 xpos=5 ypos=3 right-column full-justified aligned-line headchar-lower
I-Body	discourse entities. We argue that this representation	page=0 xpos=5 ypos=4 right-column full-justified aligned-line headchar-lower
I-Body	of discourse allows the system to learn the proper-	page=0 xpos=5 ypos=4 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	ties of locally coherent texts opportunistically from	page=0 xpos=5 ypos=4 right-column full-justified aligned-line headchar-lower
I-Body	a given corpus, without recourse to manual annota-	page=0 xpos=5 ypos=4 right-column full-justified aligned-line itemization headchar-lower tailchar-hiphen
E-Body	tion or a predefined knowledge base.	page=0 xpos=5 ypos=4 right-column right-indent aligned-line shorter-tail headchar-lower tailchar-period above-line-space
B-Body	We view coherence assessment as a ranking prob-	page=0 xpos=5 ypos=5 right-column left-indent indented-line longer-tail line-space headchar-capital tailchar-hiphen
I-Body	lem and present an efficiently learnable model that	page=0 xpos=5 ypos=5 right-column full-justified hanged-line headchar-lower
I-Body	orders alternative renderings of the same informa-	page=0 xpos=5 ypos=5 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	tion based on their degree of local coherence. Such	page=0 xpos=5 ypos=5 right-column full-justified aligned-line headchar-lower
I-Body	a mechanism is particularly appropriate for gener-	page=0 xpos=5 ypos=5 right-column full-justified aligned-line itemization headchar-lower tailchar-hiphen
I-Body	ation and summarization systems as they can pro-	page=0 xpos=5 ypos=5 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	duce multiple text realizations of the same underly-	page=0 xpos=5 ypos=6 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	ing content, either by varying parameter values, or	page=0 xpos=5 ypos=6 right-column full-justified aligned-line headchar-lower
I-Body	by relaxing constraints that control the generation	page=0 xpos=5 ypos=6 right-column full-justified aligned-line headchar-lower
I-Body	process. A system equipped with a ranking mech-	page=0 xpos=5 ypos=6 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	anism, could compare the quality of the candidate	page=0 xpos=5 ypos=6 right-column full-justified aligned-line headchar-lower
I-Body	outputs, much in the same way speech recognizers	page=0 xpos=5 ypos=7 right-column full-justified aligned-line headchar-lower
E-Body	employ language models at the sentence level.	page=0 xpos=5 ypos=7 right-column right-indent aligned-line shorter-tail headchar-lower tailchar-period above-line-space
B-Body	Our evaluation results demonstrate the effective-	page=0 xpos=5 ypos=7 right-column left-indent indented-line longer-tail line-space headchar-capital tailchar-hiphen
I-Body	ness of our entity-based ranking model within the	page=0 xpos=5 ypos=7 right-column full-justified hanged-line headchar-lower
I-Body	general framework of coherence assessment. First,	page=0 xpos=5 ypos=7 right-column full-justified aligned-line headchar-lower tailchar-comma
I-Body	we evaluate the utility of the model in a text order-	page=0 xpos=5 ypos=8 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	ing task where our algorithm has to select a max-	page=0 xpos=5 ypos=8 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	imally coherent sentence order from a set of can-	page=0 xpos=5 ypos=8 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	didate permutations. Second, we compare the rank-	page=0 xpos=5 ypos=8 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	ings produced by the model against human coher-	page=0 xpos=5 ypos=8 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	ence judgments elicited for automatically generated	page=0 xpos=5 ypos=8 right-column full-justified aligned-line headchar-lower
I-Body	summaries. In both experiments, our method yields	page=0 xpos=5 ypos=9 right-column full-justified aligned-line headchar-lower column-bottom above-blank-line above-double-space above-line-space
Page	141	page=0 xpos=4 ypos=9 single-column left-indent right-indent column-top line-blank-line line-double-space line-space numeric-only
B-Footer	Proceedings of the 43rd Annual Meeting of the ACL, pages 141–148,	page=0 xpos=2 ypos=9 single-column left-indent right-indent font-smallest hanged-line longer-tail headchar-capital tailchar-comma
I-Footer	Ann Arbor, June 2005.  2005 c Association for Computational Linguistics	page=0 xpos=2 ypos=9 single-column left-indent right-indent font-smallest hanged-line longer-tail year headchar-capital page-bottom
I-Body	a significant improvement over a state-of-the-art co-	page=1 xpos=0 ypos=0 left-column full-justified page-top itemization headchar-lower tailchar-hiphen
I-Body	herence model based on Latent Semantic Analysis	page=1 xpos=0 ypos=0 left-column full-justified aligned-line headchar-lower
E-Body	(Foltz et al., 1998).	page=1 xpos=0 ypos=0 left-column right-indent aligned-line shorter-tail year tailchar-period
B-Body	In the following section, we provide an overview	page=1 xpos=0 ypos=0 left-column left-indent indented-line longer-tail headchar-capital
I-Body	of existing work on the automatic assessment of lo-	page=1 xpos=0 ypos=0 left-column full-justified hanged-line headchar-lower tailchar-hiphen
I-Body	cal coherence. Then, we introduce our entity-based	page=1 xpos=0 ypos=0 left-column full-justified aligned-line headchar-lower
I-Body	representation, and describe our ranking model.	page=1 xpos=0 ypos=1 left-column full-justified aligned-line headchar-lower tailchar-period
I-Body	Next, we present the experimental framework and	page=1 xpos=0 ypos=1 left-column full-justified aligned-line headchar-capital
E-Body	data. Evaluation results conclude the paper.	page=1 xpos=0 ypos=1 left-column right-indent aligned-line shorter-tail headchar-lower tailchar-period above-double-space above-line-space
B-SectionHeader	2 Related Work	page=1 xpos=0 ypos=1 left-column right-indent font-larger aligned-line shorter-tail line-double-space line-space numbered-heading1 above-double-space above-line-space
B-Body	Local coherence has been extensively studied within	page=1 xpos=0 ypos=2 left-column full-justified aligned-line longer-tail line-double-space line-space headchar-capital
I-Body	the modeling framework put forward by Centering	page=1 xpos=0 ypos=2 left-column full-justified aligned-line headchar-lower
I-Body	Theory (Grosz et al., 1995; Walker et al., 1998;	page=1 xpos=0 ypos=2 left-column full-justified aligned-line year headchar-capital tailchar-semicolon
I-Body	Strube and Hahn, 1999; Poesio et al., 2004; Kibble	page=1 xpos=0 ypos=2 left-column full-justified aligned-line year headchar-capital
I-Body	and Power, 2004). One of the main assumptions un-	page=1 xpos=0 ypos=2 left-column full-justified aligned-line year headchar-lower tailchar-hiphen
I-Body	derlying Centering is that a text segment which fore-	page=1 xpos=0 ypos=3 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	grounds a single entity is perceived to be more co-	page=1 xpos=0 ypos=3 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	herent than a segment in which multiple entities are	page=1 xpos=0 ypos=3 left-column full-justified aligned-line headchar-lower
I-Body	discussed. The theory formalizes this intuition by in-	page=1 xpos=0 ypos=3 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	troducing constraints on the distribution of discourse	page=1 xpos=0 ypos=3 left-column full-justified aligned-line headchar-lower
I-Body	entities in coherent text. These constraints are for-	page=1 xpos=0 ypos=4 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	mulated in terms of focus, the most salient entity in	page=1 xpos=0 ypos=4 left-column full-justified aligned-line headchar-lower
I-Body	a discourse segment, and transition of focus between	page=1 xpos=0 ypos=4 left-column full-justified aligned-line itemization headchar-lower
I-Body	adjacent sentences. The theory also establishes con-	page=1 xpos=0 ypos=4 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	straints on the linguistic realization of focus, sug-	page=1 xpos=0 ypos=4 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	gesting that it is more likely to appear in prominent	page=1 xpos=0 ypos=5 left-column full-justified aligned-line headchar-lower
I-Body	syntactic positions (such as subject or object), and to	page=1 xpos=0 ypos=5 left-column full-justified aligned-line headchar-lower
E-Body	be referred to with anaphoric expressions.	page=1 xpos=0 ypos=5 left-column right-indent aligned-line shorter-tail headchar-lower tailchar-period
B-Body	A great deal of research has attempted to translate	page=1 xpos=0 ypos=5 left-column left-indent indented-line longer-tail headchar-capital
I-Body	principles of Centering Theory into a robust coher-	page=1 xpos=0 ypos=5 left-column full-justified hanged-line headchar-lower tailchar-hiphen
I-Body	ence metric (Miltsakaki and Kukich, 2000; Hasler,	page=1 xpos=0 ypos=5 left-column full-justified aligned-line year headchar-lower tailchar-comma
I-Body	2004; Karamanis et al., 2004). Such a translation is	page=1 xpos=0 ypos=6 left-column full-justified aligned-line year
I-Body	challenging in several respects: one has to specify	page=1 xpos=0 ypos=6 left-column full-justified aligned-line headchar-lower
I-Body	the “free parameters” of the system (Poesio et al.,	page=1 xpos=0 ypos=6 left-column full-justified aligned-line headchar-lower tailchar-comma
I-Body	2004) and to determine ways of combining the ef-	page=1 xpos=0 ypos=6 left-column full-justified aligned-line year tailchar-hiphen
I-Body	fects of various constraints. A common methodol-	page=1 xpos=0 ypos=6 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	ogy that has emerged in this research is to develop	page=1 xpos=0 ypos=7 left-column full-justified aligned-line headchar-lower
I-Body	and evaluate coherence metrics on manually anno-	page=1 xpos=0 ypos=7 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	tated corpora. For instance, Miltsakaki and Kukich	page=1 xpos=0 ypos=7 left-column full-justified aligned-line headchar-lower
I-Body	(2000) annotate a corpus of student essays with tran-	page=1 xpos=0 ypos=7 left-column full-justified aligned-line year tailchar-hiphen
I-Body	sition information, and show that the distribution of	page=1 xpos=0 ypos=7 left-column full-justified aligned-line headchar-lower
I-Body	transitions correlates with human grades. Karamanis	page=1 xpos=0 ypos=8 left-column full-justified aligned-line headchar-lower
I-Body	et al. (2004) use a similar methodology to compare	page=1 xpos=0 ypos=8 left-column full-justified aligned-line year headchar-lower
I-Body	coherence metrics with respect to their usefulness	page=1 xpos=0 ypos=8 left-column full-justified aligned-line headchar-lower
E-Body	for text planning in generation.	page=1 xpos=0 ypos=8 left-column right-indent aligned-line shorter-tail headchar-lower tailchar-period
B-Body	The present work differs from these approaches	page=1 xpos=0 ypos=8 left-column left-indent indented-line longer-tail headchar-capital
I-Body	in two key respects. First, our method does not re-	page=1 xpos=0 ypos=9 left-column full-justified hanged-line headchar-lower tailchar-hiphen
I-Body	quire manual annotation of input texts. We do not	page=1 xpos=0 ypos=9 left-column full-justified aligned-line headchar-lower
I-Body	aim to produce complete centering annotations; in-	page=1 xpos=0 ypos=9 left-column full-justified aligned-line headchar-lower tailchar-hiphen column-bottom
I-Body	stead, our inference procedure is based on a dis-	page=1 xpos=5 ypos=0 right-column full-justified column-top headchar-lower tailchar-hiphen
I-Body	course representation that preserves essential entity	page=1 xpos=5 ypos=0 right-column full-justified aligned-line headchar-lower
I-Body	transition information, and can be computed auto-	page=1 xpos=5 ypos=0 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	matically from raw text. Second, we learn patterns	page=1 xpos=5 ypos=0 right-column full-justified aligned-line headchar-lower
I-Body	of entity distribution from a corpus, without attempt-	page=1 xpos=5 ypos=0 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	ing to directly implement or refine Centering con-	page=1 xpos=5 ypos=0 right-column full-justified aligned-line headchar-lower tailchar-hiphen
E-Body	straints.	page=1 xpos=5 ypos=1 right-column right-indent aligned-line shorter-tail headchar-lower tailchar-period above-double-space above-line-space
B-SectionHeader	3 The Coherence Model	page=1 xpos=5 ypos=1 right-column right-indent font-larger aligned-line longer-tail line-double-space line-space numbered-heading1 above-double-space above-line-space
B-Body	In this section we introduce our entity-based repre-	page=1 xpos=5 ypos=1 right-column full-justified aligned-line longer-tail line-double-space line-space headchar-capital tailchar-hiphen
I-Body	sentation of discourse. We describe how it can be	page=1 xpos=5 ypos=2 right-column full-justified aligned-line headchar-lower
I-Body	computed and how entity transition patterns can be	page=1 xpos=5 ypos=2 right-column full-justified aligned-line headchar-lower
I-Body	extracted. The latter constitute a rich feature space	page=1 xpos=5 ypos=2 right-column full-justified aligned-line headchar-lower
E-Body	on which probabilistic inference is performed.	page=1 xpos=5 ypos=2 right-column right-indent aligned-line shorter-tail headchar-lower tailchar-period above-double-space above-line-space
B-Body	Text Representation Each text is represented	page=1 xpos=5 ypos=2 right-column full-justified aligned-line longer-tail line-double-space line-space headchar-capital
I-Body	by an entity grid, a two-dimensional array that cap-	page=1 xpos=5 ypos=3 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	tures the distribution of discourse entities across text	page=1 xpos=5 ypos=3 right-column full-justified aligned-line headchar-lower
I-Body	sentences. We follow Miltsakaki and Kukich (2000)	page=1 xpos=5 ypos=3 right-column full-justified aligned-line year headchar-lower
I-Body	in assuming that our unit of analysis is the tradi-	page=1 xpos=5 ypos=3 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	tional sentence (i.e., a main clause with accompa-	page=1 xpos=5 ypos=3 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	nying subordinate and adjunct clauses). The rows of	page=1 xpos=5 ypos=4 right-column full-justified aligned-line headchar-lower
I-Body	the grid correspond to sentences, while the columns	page=1 xpos=5 ypos=4 right-column full-justified aligned-line headchar-lower
I-Body	correspond to discourse entities. By discourse en-	page=1 xpos=5 ypos=4 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	tity we mean a class of coreferent noun phrases. For	page=1 xpos=5 ypos=4 right-column full-justified aligned-line headchar-lower
I-Body	each occurrence of a discourse entity in the text, the	page=1 xpos=5 ypos=4 right-column full-justified aligned-line headchar-lower
I-Body	corresponding grid cell contains information about	page=1 xpos=5 ypos=4 right-column full-justified aligned-line headchar-lower
I-Body	its grammatical role in the given sentence. Each grid	page=1 xpos=5 ypos=5 right-column full-justified aligned-line headchar-lower
I-Body	column thus corresponds to a string from a set of	page=1 xpos=5 ypos=5 right-column full-justified aligned-line headchar-lower
I-Body	categories reflecting the entity’s presence or absence	page=1 xpos=5 ypos=5 right-column full-justified aligned-line headchar-lower
I-Body	in a sequence of sentences. Our set consists of four	page=1 xpos=5 ypos=5 right-column full-justified aligned-line headchar-lower
I-Body	symbols: S (subject), O (object), X (neither subject	page=1 xpos=5 ypos=5 right-column full-justified aligned-line headchar-lower
I-Body	nor object) and – (gap which signals the entity’s ab-	page=1 xpos=5 ypos=6 right-column full-justified aligned-line headchar-lower tailchar-hiphen
E-Body	sence from a given sentence).	page=1 xpos=5 ypos=6 right-column right-indent aligned-line shorter-tail headchar-lower tailchar-period above-line-space
B-Body	Table 1 illustrates a fragment of an entity grid	page=1 xpos=5 ypos=6 right-column left-indent indented-line longer-tail line-space string-table headchar-capital
I-Body	constructed for the text in Table 2. Since the text	page=1 xpos=5 ypos=6 right-column full-justified hanged-line headchar-lower
I-Body	contains six sentences, the grid columns are of	page=1 xpos=5 ypos=6 right-column full-justified aligned-line headchar-lower
I-Body	length six. Consider for instance the grid column for	page=1 xpos=5 ypos=7 right-column full-justified aligned-line headchar-lower
I-Body	the entity trial, [ O – – – – X ]. It records that trial	page=1 xpos=5 ypos=7 right-column full-justified aligned-line headchar-lower
I-Body	is present in sentences 1 and 6 (as O and X respec-	page=1 xpos=5 ypos=7 right-column full-justified aligned-line headchar-lower tailchar-hiphen
E-Body	tively) but is absent from the rest of the sentences.	page=1 xpos=5 ypos=7 right-column right-indent aligned-line shorter-tail headchar-lower tailchar-period above-double-space above-line-space
B-Body	Grid Computation The ability to identify and	page=1 xpos=5 ypos=7 right-column full-justified aligned-line longer-tail line-double-space line-space headchar-capital
I-Body	cluster coreferent discourse entities is an impor-	page=1 xpos=5 ypos=8 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	tant prerequisite for computing entity grids. The	page=1 xpos=5 ypos=8 right-column full-justified aligned-line headchar-lower
I-Body	same entity may appear in different linguistic forms,	page=1 xpos=5 ypos=8 right-column full-justified aligned-line headchar-lower tailchar-comma
I-Body	e.g., Microsoft Corp., Microsoft, and the company,	page=1 xpos=5 ypos=8 right-column full-justified aligned-line headchar-lower tailchar-comma
I-Body	but should still be mapped to a single entry in the	page=1 xpos=5 ypos=8 right-column full-justified aligned-line headchar-lower
I-Body	grid. Table 1 exemplifies the entity grid for the text	page=1 xpos=5 ypos=9 right-column full-justified aligned-line headchar-lower
I-Body	in Table 2 when coreference resolution is taken into	page=1 xpos=5 ypos=9 right-column full-justified aligned-line headchar-lower
I-Body	account. To automatically compute entity classes,	page=1 xpos=5 ypos=9 right-column full-justified aligned-line headchar-lower tailchar-comma column-bottom above-blank-line above-double-space above-line-space
Page	142	page=1 xpos=4 ypos=9 single-column left-indent right-indent column-top line-blank-line line-double-space line-space numeric-only page-bottom
Table	__Table 1__	page=2 xpos=0 ypos=-1 left-column centered left-indent right-indent box page-top table-area above-double-space above-line-space
B-Caption	Table 1: A fragment of the entity grid. Noun phrases	page=2 xpos=0 ypos=2 left-column full-justified line-double-space line-space string-table headchar-capital
E-Caption	are represented by their head nouns.	page=2 xpos=0 ypos=2 left-column right-indent aligned-line shorter-tail headchar-lower tailchar-period above-double-space above-line-space
Table	__Table 2__	page=2 xpos=0 ypos=2 left-column full-justified box aligned-line longer-tail line-double-space line-space table-area above-double-space above-line-space
B-Caption	Table 2: Summary augmented with syntactic anno-	page=2 xpos=0 ypos=5 left-column full-justified aligned-line line-double-space line-space string-table headchar-capital tailchar-hiphen
E-Caption	tations for grid computation.	page=2 xpos=0 ypos=5 left-column right-indent aligned-line shorter-tail headchar-lower tailchar-period above-blank-line above-double-space above-line-space
I-Body	we employ a state-of-the-art noun phrase coref-	page=2 xpos=0 ypos=6 left-column full-justified aligned-line longer-tail line-blank-line line-double-space line-space headchar-lower tailchar-hiphen
I-Body	erence resolution system (Ng and Cardie, 2002)	page=2 xpos=0 ypos=6 left-column full-justified aligned-line year headchar-lower
I-Body	trained on the MUC (6–7) data sets. The system de-	page=2 xpos=0 ypos=6 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	cides whether two NPs are coreferent by exploit-	page=2 xpos=0 ypos=6 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	ing a wealth of features that fall broadly into four	page=2 xpos=0 ypos=6 left-column full-justified aligned-line headchar-lower
I-Body	categories: lexical, grammatical, semantic and posi-	page=2 xpos=0 ypos=7 left-column full-justified aligned-line headchar-lower tailchar-hiphen
E-Body	tional.	page=2 xpos=0 ypos=7 left-column right-indent aligned-line shorter-tail headchar-lower tailchar-period above-line-space
B-Body	Once we have identified entity classes, the next	page=2 xpos=0 ypos=7 left-column left-indent indented-line longer-tail line-space headchar-capital
I-Body	step is to fill out grid entries with relevant syn-	page=2 xpos=0 ypos=7 left-column full-justified hanged-line headchar-lower tailchar-hiphen
I-Body	tactic information. We employ a robust statistical	page=2 xpos=0 ypos=7 left-column full-justified aligned-line headchar-lower
I-Body	parser (Collins, 1997) to determine the constituent	page=2 xpos=0 ypos=8 left-column full-justified aligned-line year headchar-lower
I-Body	structure for each sentence, from which subjects ( s ),	page=2 xpos=0 ypos=8 left-column full-justified font-larger aligned-line headchar-lower tailchar-comma
I-Body	objects ( o ), and relations other than subject or ob-	page=2 xpos=0 ypos=8 left-column full-justified font-larger aligned-line headchar-lower tailchar-hiphen
I-Body	ject ( x ) are identified. Passive verbs are recognized	page=2 xpos=0 ypos=8 left-column full-justified font-larger aligned-line headchar-lower
I-Body	using a small set of patterns, and the underlying deep	page=2 xpos=0 ypos=8 left-column full-justified aligned-line headchar-lower
I-Body	grammatical role for arguments involved in the pas-	page=2 xpos=0 ypos=9 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	sive construction is entered in the grid (see the grid	page=2 xpos=0 ypos=9 left-column full-justified aligned-line headchar-lower
E-Body	cell o for Microsoft, Sentence 2, Table 2).	page=2 xpos=0 ypos=9 left-column right-indent font-larger aligned-line shorter-tail headchar-lower tailchar-period column-bottom
B-Body	When a noun is attested more than once with a dif-	page=2 xpos=5 ypos=0 right-column left-indent column-top headchar-capital tailchar-hiphen
I-Body	ferent grammatical role in the same sentence, we de-	page=2 xpos=5 ypos=0 right-column full-justified hanged-line headchar-lower tailchar-hiphen
I-Body	fault to the role with the highest grammatical rank-	page=2 xpos=5 ypos=0 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	ing: subjects are ranked higher than objects, which	page=2 xpos=5 ypos=0 right-column full-justified aligned-line headchar-lower
I-Body	in turn are ranked higher than the rest. For exam-	page=2 xpos=5 ypos=0 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	ple, the entity Microsoft is mentioned twice in Sen-	page=2 xpos=5 ypos=0 right-column full-justified aligned-line headchar-lower tailchar-hiphen
