Title	Addressee Identification in Face-to-Face Meetings	page=0 xpos=1 ypos=0 single-column centered left-indent right-indent font-largest page-top headchar-capital above-blank-line above-double-space above-line-space
I-Abstract	fiers’ performances. Both classifiers per-	page=0 xpos=0 ypos=4 left-column centered left-indent right-indent aligned-line headchar-lower tailchar-hiphen
I-Abstract	form the best when conversational context	page=0 xpos=0 ypos=4 left-column centered left-indent right-indent aligned-line headchar-lower
I-Abstract	and utterance features are combined with	page=0 xpos=0 ypos=4 left-column centered left-indent right-indent aligned-line headchar-lower
I-Abstract	speaker’s gaze information. The classifiers	page=0 xpos=0 ypos=4 left-column centered left-indent right-indent aligned-line headchar-lower
I-Abstract	show little gain from information about	page=0 xpos=0 ypos=5 left-column centered left-indent right-indent aligned-line headchar-lower
I-Abstract	meeting context.	page=0 xpos=0 ypos=5 left-column left-indent right-indent aligned-line shorter-tail headchar-lower tailchar-period above-double-space above-line-space
B-SectionHeader	1 Introduction	page=0 xpos=0 ypos=5 left-column right-indent font-larger hanged-line shorter-tail line-double-space line-space numbered-heading1 above-double-space above-line-space
B-Body	Addressing is an aspect of every form of commu-	page=0 xpos=0 ypos=5 left-column full-justified aligned-line longer-tail line-double-space line-space headchar-capital tailchar-hiphen
I-Body	nication. It represents a form of orientation and	page=0 xpos=0 ypos=6 left-column full-justified aligned-line headchar-lower
I-Body	directionality of the act the current actor performs	page=0 xpos=0 ypos=6 left-column full-justified aligned-line headchar-lower
I-Body	toward the particular other(s) who are involved in	page=0 xpos=0 ypos=6 left-column full-justified aligned-line headchar-lower
I-Body	an interaction. In conversational communication	page=0 xpos=0 ypos=6 left-column full-justified aligned-line headchar-lower
I-Body	involving two participants, the hearer is always the	page=0 xpos=0 ypos=6 left-column full-justified aligned-line headchar-lower
I-Body	addressee of the speech act that the speaker per-	page=0 xpos=0 ypos=6 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	forms. Addressing, however, becomes a real issue	page=0 xpos=0 ypos=7 left-column full-justified aligned-line headchar-lower
E-Body	in multi-party conversation.	page=0 xpos=0 ypos=7 left-column right-indent aligned-line shorter-tail headchar-lower tailchar-period
B-Body	The concept of addressee as well as a vari-	page=0 xpos=0 ypos=7 left-column left-indent indented-line longer-tail headchar-capital tailchar-hiphen
I-Body	ety of mechanisms that people use in addressing	page=0 xpos=0 ypos=7 left-column full-justified hanged-line headchar-lower
I-Body	their speech have been extensively investigated	page=0 xpos=0 ypos=7 left-column full-justified aligned-line headchar-lower
I-Body	by conversational analysts and social psycholo-	page=0 xpos=0 ypos=8 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	gists (Goffman, 1981a; Goodwin, 1981; Clark and	page=0 xpos=0 ypos=8 left-column full-justified aligned-line year headchar-lower
E-Body	Carlson, 1982).	page=0 xpos=0 ypos=8 left-column right-indent aligned-line shorter-tail year headchar-capital tailchar-period
B-Body	Recently, addressing has received consider-	page=0 xpos=0 ypos=8 left-column left-indent indented-line longer-tail headchar-capital tailchar-hiphen
I-Body	able attention in modeling multi-party interac-	page=0 xpos=0 ypos=8 left-column full-justified hanged-line headchar-lower tailchar-hiphen
I-Body	tion in various domains. Research on au-	page=0 xpos=0 ypos=8 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	tomatic addressee identification has been con-	page=0 xpos=0 ypos=9 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	ducted in the context of mixed human-human	page=0 xpos=0 ypos=9 left-column full-justified aligned-line headchar-lower column-bottom
I-Body	and human-computer interaction (Bakx et al.,	page=0 xpos=5 ypos=2 right-column full-justified column-top headchar-lower tailchar-comma
I-Body	2003; van Turnhout et al., 2005), human-human-	page=0 xpos=5 ypos=2 right-column full-justified aligned-line year tailchar-hiphen
I-Body	robot interaction (Katzenmaier et al., 2004), and	page=0 xpos=5 ypos=2 right-column full-justified aligned-line year headchar-lower
I-Body	mixed human-agents and multi-agents interaction	page=0 xpos=5 ypos=3 right-column full-justified aligned-line headchar-lower
I-Body	(Traum, 2004). In the context of automatic anal-	page=0 xpos=5 ypos=3 right-column full-justified aligned-line year tailchar-hiphen
I-Body	ysis of multi-party face-to-face conversation, Ot-	page=0 xpos=5 ypos=3 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	suka et al. (2005) proposed a framework for	page=0 xpos=5 ypos=3 right-column full-justified aligned-line year headchar-lower
I-Body	automating inference of conversational structure	page=0 xpos=5 ypos=3 right-column full-justified aligned-line headchar-lower
I-Body	that is defined in terms of conversational roles:	page=0 xpos=5 ypos=3 right-column full-justified aligned-line headchar-lower tailchar-colon
E-Body	speaker, addressee and unaddressed participants.	page=0 xpos=5 ypos=4 right-column right-indent aligned-line shorter-tail headchar-lower tailchar-period above-line-space
B-Body	In this paper, we focus on addressee identifica-	page=0 xpos=5 ypos=4 right-column left-indent indented-line longer-tail line-space headchar-capital tailchar-hiphen
I-Body	tion in a special type of communication, namely,	page=0 xpos=5 ypos=4 right-column full-justified hanged-line headchar-lower tailchar-comma
I-Body	face-to-face meetings. Moreover, we restrict our	page=0 xpos=5 ypos=4 right-column full-justified aligned-line headchar-lower
I-Body	analysis to small group meetings with four partic-	page=0 xpos=5 ypos=4 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	ipants. Automatic analysis of recorded meetings	page=0 xpos=5 ypos=5 right-column full-justified aligned-line headchar-lower
I-Body	has become an emerging domain for a range of	page=0 xpos=5 ypos=5 right-column full-justified aligned-line headchar-lower
I-Body	research focusing on different aspects of interac-	page=0 xpos=5 ypos=5 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	tions among meeting participants. The outcomes	page=0 xpos=5 ypos=5 right-column full-justified aligned-line headchar-lower
I-Body	of this research should be combined in a targeted	page=0 xpos=5 ypos=5 right-column full-justified aligned-line headchar-lower
I-Body	application that would provide users with useful	page=0 xpos=5 ypos=5 right-column full-justified aligned-line headchar-lower
I-Body	information about meetings. For answering ques-	page=0 xpos=5 ypos=6 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	tions such as “Who was asked to prepare a presen-	page=0 xpos=5 ypos=6 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	tation for the next meeting?” or “Were there any	page=0 xpos=5 ypos=6 right-column full-justified aligned-line headchar-lower
I-Body	arguments between participants A and B?”, some	page=0 xpos=5 ypos=6 right-column full-justified aligned-line headchar-lower
I-Body	sort of understanding of dialogue structure is re-	page=0 xpos=5 ypos=6 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	quired. In addition to identification of dialogue	page=0 xpos=5 ypos=7 right-column full-justified aligned-line headchar-lower
I-Body	acts that participants perform in multi-party dia-	page=0 xpos=5 ypos=7 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	logues, identification of addressees of those acts is	page=0 xpos=5 ypos=7 right-column full-justified aligned-line headchar-lower
E-Body	also important for inferring dialogue structure.	page=0 xpos=5 ypos=7 right-column right-indent aligned-line shorter-tail headchar-lower tailchar-period above-line-space
B-Body	There are many applications related to meeting	page=0 xpos=5 ypos=7 right-column left-indent indented-line longer-tail line-space headchar-capital
I-Body	research that could benefit from studying address-	page=0 xpos=5 ypos=8 right-column full-justified hanged-line headchar-lower tailchar-hiphen
I-Body	ing in human-human interactions. The results	page=0 xpos=5 ypos=8 right-column full-justified aligned-line headchar-lower
I-Body	can be used by those who develop communicative	page=0 xpos=5 ypos=8 right-column full-justified aligned-line headchar-lower
I-Body	agents in interactive intelligent environments and	page=0 xpos=5 ypos=8 right-column full-justified aligned-line headchar-lower
I-Body	remote meeting assistants. These agents need to	page=0 xpos=5 ypos=8 right-column full-justified aligned-line headchar-lower
I-Body	recognize when they are being addressed and how	page=0 xpos=5 ypos=8 right-column full-justified aligned-line headchar-lower
E-Body	they should address people in the environment.	page=0 xpos=5 ypos=9 right-column right-indent aligned-line shorter-tail headchar-lower tailchar-period above-line-space
B-Body	This paper presents results on addressee identi-	page=0 xpos=5 ypos=9 right-column left-indent indented-line longer-tail line-space headchar-capital tailchar-hiphen column-bottom above-blank-line above-double-space above-line-space
Page	169	page=0 xpos=4 ypos=9 single-column left-indent right-indent font-smallest column-top line-blank-line line-double-space line-space numeric-only page-bottom
I-Body	fication in four-participants face-to-face meetings	page=1 xpos=0 ypos=0 left-column full-justified page-top headchar-lower
I-Body	using Bayesian Network and Naive Bayes classi-	page=1 xpos=0 ypos=0 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	fiers. The goals in the current paper are (1) to	page=1 xpos=0 ypos=0 left-column full-justified aligned-line headchar-lower
I-Body	find relevant features for addressee classification	page=1 xpos=0 ypos=0 left-column full-justified aligned-line headchar-lower
I-Body	in meeting conversations using information ob-	page=1 xpos=0 ypos=0 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	tained from multi-modal resources - gaze, speech	page=1 xpos=0 ypos=0 left-column full-justified aligned-line headchar-lower
I-Body	and conversational context, (2) to explore to what	page=1 xpos=0 ypos=1 left-column full-justified aligned-line headchar-lower
I-Body	extent the performances of classifiers can be im-	page=1 xpos=0 ypos=1 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	proved by combining different types of features	page=1 xpos=0 ypos=1 left-column full-justified aligned-line headchar-lower
I-Body	obtained from these resources, (3) to investigate	page=1 xpos=0 ypos=1 left-column full-justified aligned-line headchar-lower
I-Body	whether the information about meeting context	page=1 xpos=0 ypos=1 left-column full-justified aligned-line headchar-lower
I-Body	can aid the performances of classifiers, and (4) to	page=1 xpos=0 ypos=2 left-column full-justified aligned-line headchar-lower
I-Body	compare performances of the Bayesian Network	page=1 xpos=0 ypos=2 left-column full-justified aligned-line headchar-lower
I-Body	and Naive Bayes classifiers for the task of ad-	page=1 xpos=0 ypos=2 left-column full-justified aligned-line headchar-lower tailchar-hiphen
E-Body	dressee prediction over various feature sets.	page=1 xpos=0 ypos=2 left-column right-indent aligned-line shorter-tail headchar-lower tailchar-period above-double-space above-line-space
B-SectionHeader	2 Addressing in face-to-face meetings	page=1 xpos=0 ypos=2 left-column right-indent font-larger aligned-line longer-tail line-double-space line-space numbered-heading1 above-double-space above-line-space
B-Body	When a speaker contributes to the conversation, all	page=1 xpos=0 ypos=3 left-column full-justified aligned-line longer-tail line-double-space line-space headchar-capital
I-Body	those participants who happen to be in perceptual	page=1 xpos=0 ypos=3 left-column full-justified aligned-line headchar-lower
I-Body	range of this event will have “some sort of partic-	page=1 xpos=0 ypos=3 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	ipation status relative to it”. The conversational	page=1 xpos=0 ypos=3 left-column full-justified aligned-line headchar-lower
I-Body	roles that the participants take in a given conversa-	page=1 xpos=0 ypos=3 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	tional situation make up the “participation frame-	page=1 xpos=0 ypos=4 left-column full-justified aligned-line headchar-lower tailchar-hiphen
E-Body	work” (Goffman, 1981b).	page=1 xpos=0 ypos=4 left-column right-indent aligned-line shorter-tail year headchar-lower tailchar-period above-line-space
B-Body	Goffman (1976) distinguished three basic kinds	page=1 xpos=0 ypos=4 left-column left-indent indented-line longer-tail line-space year headchar-capital
I-Body	of hearers: those who overhear, whether or not	page=1 xpos=0 ypos=4 left-column full-justified hanged-line headchar-lower
I-Body	their unratified participation is unintentional or en-	page=1 xpos=0 ypos=4 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	couraged; those who are ratified but are not specif-	page=1 xpos=0 ypos=5 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	ically addressed by the speaker (also called unad-	page=1 xpos=0 ypos=5 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	dressed recipients (Goffman, 1981a)); and those	page=1 xpos=0 ypos=5 left-column full-justified aligned-line year headchar-lower
I-Body	ratified participants who are addressed. Ratified	page=1 xpos=0 ypos=5 left-column full-justified aligned-line headchar-lower
I-Body	participants are those participants who are allowed	page=1 xpos=0 ypos=5 left-column full-justified aligned-line headchar-lower
I-Body	to take part in conversation. Regarding hearers’	page=1 xpos=0 ypos=6 left-column full-justified aligned-line headchar-lower
I-Body	roles in meetings, we are focused only on ratified	page=1 xpos=0 ypos=6 left-column full-justified aligned-line headchar-lower
I-Body	participants. Therefore, the problem of addressee	page=1 xpos=0 ypos=6 left-column full-justified aligned-line headchar-lower
I-Body	identification amounts to the problem of distin-	page=1 xpos=0 ypos=6 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	guishing addressed from unaddressed participants	page=1 xpos=0 ypos=6 left-column full-justified aligned-line headchar-lower
E-Body	for each dialogue act that speakers perform.	page=1 xpos=0 ypos=6 left-column right-indent aligned-line shorter-tail headchar-lower tailchar-period above-line-space
B-Body	Goffman (1981a) defined addressees as those	page=1 xpos=0 ypos=7 left-column left-indent indented-line longer-tail line-space year headchar-capital
I-Body	“ratified participants () oriented to by the speaker	page=1 xpos=0 ypos=7 left-column full-justified hanged-line
I-Body	in a manner to suggest that his words are particu-	page=1 xpos=0 ypos=7 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	larly for them, and that some answer is therefore	page=1 xpos=0 ypos=7 left-column full-justified aligned-line headchar-lower
I-Body	anticipated from them, more so than from the other	page=1 xpos=0 ypos=7 left-column full-justified aligned-line headchar-lower
I-Body	ratified participants”. According to this, it is the	page=1 xpos=0 ypos=8 left-column full-justified aligned-line headchar-lower
I-Body	speaker who selects his addressee; the addressee is	page=1 xpos=0 ypos=8 left-column full-justified aligned-line headchar-lower
I-Body	the one who is expected by the speaker to react on	page=1 xpos=0 ypos=8 left-column full-justified aligned-line headchar-lower
I-Body	what the speaker says and to whom, therefore, the	page=1 xpos=0 ypos=8 left-column full-justified aligned-line headchar-lower
I-Body	speaker is giving primary attention in the present	page=1 xpos=0 ypos=8 left-column full-justified aligned-line headchar-lower
E-Body	act.	page=1 xpos=0 ypos=8 left-column right-indent aligned-line shorter-tail headchar-lower tailchar-period above-line-space
B-Body	In meeting conversations, a speaker may ad-	page=1 xpos=0 ypos=9 left-column left-indent indented-line longer-tail line-space headchar-capital tailchar-hiphen
I-Body	dress his utterance to the whole group of partici-	page=1 xpos=0 ypos=9 left-column full-justified hanged-line headchar-lower tailchar-hiphen column-bottom
I-Body	pants present in the meeting, or to a particular sub-	page=1 xpos=5 ypos=0 right-column full-justified column-top headchar-lower tailchar-hiphen
I-Body	group of them, or to a single participant in partic-	page=1 xpos=5 ypos=0 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	ular. A speaker can also just think aloud or mum-	page=1 xpos=5 ypos=0 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	ble to himself without really addressing anybody	page=1 xpos=5 ypos=0 right-column full-justified aligned-line headchar-lower
I-Body	(e.g.“What else do I want to say?” (while try-	page=1 xpos=5 ypos=0 right-column full-justified aligned-line tailchar-hiphen
I-Body	ing to evoke more details about the issue that he is	page=1 xpos=5 ypos=0 right-column full-justified aligned-line headchar-lower
I-Body	presenting)). We excluded self-addressed speech	page=1 xpos=5 ypos=1 right-column full-justified aligned-line headchar-lower
E-Body	from our study.	page=1 xpos=5 ypos=1 right-column right-indent aligned-line shorter-tail headchar-lower tailchar-period above-line-space
B-Body	Addressing behavior is behavior that speakers	page=1 xpos=5 ypos=1 right-column left-indent indented-line longer-tail line-space headchar-capital
I-Body	show to express to whom they are addressing their	page=1 xpos=5 ypos=1 right-column full-justified hanged-line headchar-lower
I-Body	speech. It depends on the course of the conver-	page=1 xpos=5 ypos=1 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	sation, the status of attention of participants, their	page=1 xpos=5 ypos=2 right-column full-justified aligned-line headchar-lower
I-Body	current involvement in the discussion as well as	page=1 xpos=5 ypos=2 right-column full-justified aligned-line headchar-lower
I-Body	on what the participants know about each others’	page=1 xpos=5 ypos=2 right-column full-justified aligned-line headchar-lower
I-Body	roles and knowledge, whether explicit addressing	page=1 xpos=5 ypos=2 right-column full-justified aligned-line headchar-lower
I-Body	behavior is called for. Using a vocative is the ex-	page=1 xpos=5 ypos=2 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	plicit verbal way to address someone. In some	page=1 xpos=5 ypos=2 right-column full-justified aligned-line headchar-lower
I-Body	cases the speaker identifies the addressee of his	page=1 xpos=5 ypos=3 right-column full-justified aligned-line headchar-lower
I-Body	speech by looking at the addressee, sometimes ac-	page=1 xpos=5 ypos=3 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	companying this by deictic hand gestures. Ad-	page=1 xpos=5 ypos=3 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	dressees can also be designated by the manner of	page=1 xpos=5 ypos=3 right-column full-justified aligned-line headchar-lower
I-Body	speaking. For example, by whispering, a speaker	page=1 xpos=5 ypos=3 right-column full-justified aligned-line headchar-lower
I-Body	can select a single individual or a group of people	page=1 xpos=5 ypos=4 right-column full-justified aligned-line headchar-lower
I-Body	as addressees. Addressees are often designated by	page=1 xpos=5 ypos=4 right-column full-justified aligned-line headchar-lower
I-Body	the content of what is being said. For example,	page=1 xpos=5 ypos=4 right-column full-justified aligned-line headchar-lower tailchar-comma
I-Body	when making the suggestion “We all have to de-	page=1 xpos=5 ypos=4 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	cide together about the design”, the speaker is ad-	page=1 xpos=5 ypos=4 right-column full-justified aligned-line headchar-lower tailchar-hiphen
E-Body	dressing the whole group.	page=1 xpos=5 ypos=4 right-column right-indent aligned-line shorter-tail headchar-lower tailchar-period above-line-space
B-Body	In meetings, people may perform various group	page=1 xpos=5 ypos=5 right-column left-indent indented-line longer-tail line-space headchar-capital
I-Body	actions (termed as meeting actions) such as pre-	page=1 xpos=5 ypos=5 right-column full-justified hanged-line headchar-lower tailchar-hiphen
I-Body	sentations, discussions or monologues (McCowan	page=1 xpos=5 ypos=5 right-column full-justified aligned-line headchar-lower
I-Body	et al., 2003). A type of group action that meeting	page=1 xpos=5 ypos=5 right-column full-justified aligned-line year headchar-lower
I-Body	participants perform may influence the speaker’s	page=1 xpos=5 ypos=5 right-column full-justified aligned-line headchar-lower
I-Body	addressing behavior. For example, speakers may	page=1 xpos=5 ypos=6 right-column full-justified aligned-line headchar-lower
I-Body	show different behavior during a presentation than	page=1 xpos=5 ypos=6 right-column full-justified aligned-line headchar-lower
I-Body	during a discussion when addressing an individ-	page=1 xpos=5 ypos=6 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	ual: regardless of the fact that a speaker has	page=1 xpos=5 ypos=6 right-column full-justified aligned-line headchar-lower
I-Body	turned his back to a participant in the audience	page=1 xpos=5 ypos=6 right-column full-justified aligned-line headchar-lower
I-Body	during a presentation, he most probably addresses	page=1 xpos=5 ypos=7 right-column full-justified aligned-line headchar-lower
I-Body	his speech to the group including that participant,	page=1 xpos=5 ypos=7 right-column full-justified aligned-line headchar-lower tailchar-comma
I-Body	whereas the same behavior during a discussion, in	page=1 xpos=5 ypos=7 right-column full-justified aligned-line headchar-lower
I-Body	many situations, indicates that that participant is	page=1 xpos=5 ypos=7 right-column full-justified aligned-line headchar-lower
E-Body	unaddressed.	page=1 xpos=5 ypos=7 right-column right-indent aligned-line shorter-tail headchar-lower tailchar-period above-line-space
B-Body	In this paper, we focus on speech and gaze as-	page=1 xpos=5 ypos=7 right-column left-indent indented-line longer-tail line-space headchar-capital tailchar-hiphen
I-Body	pects of addressing behavior as well as on con-	page=1 xpos=5 ypos=8 right-column full-justified hanged-line headchar-lower tailchar-hiphen
I-Body	textual aspects such as conversational history and	page=1 xpos=5 ypos=8 right-column full-justified aligned-line headchar-lower
E-Body	meeting actions.	page=1 xpos=5 ypos=8 right-column right-indent aligned-line shorter-tail headchar-lower tailchar-period above-double-space above-line-space
B-SectionHeader	3 Cues for addressee identification	page=1 xpos=5 ypos=8 right-column right-indent font-larger aligned-line longer-tail line-double-space line-space numbered-heading1 above-double-space above-line-space
B-Body	In this section, we present our motivation for fea-	page=1 xpos=5 ypos=9 right-column full-justified aligned-line longer-tail line-double-space line-space headchar-capital tailchar-hiphen
I-Body	ture selection, referring also to some existing work	page=1 xpos=5 ypos=9 right-column full-justified aligned-line headchar-lower column-bottom above-blank-line above-double-space above-line-space
Page	170	page=1 xpos=4 ypos=9 single-column left-indent right-indent font-smallest column-top line-blank-line line-double-space line-space numeric-only page-bottom
I-Body	on the examination of cues that are relevant for ad-	page=2 xpos=0 ypos=0 left-column full-justified page-top headchar-lower tailchar-hiphen
E-Body	dressee identification.	page=2 xpos=0 ypos=0 left-column right-indent aligned-line shorter-tail headchar-lower tailchar-period above-double-space above-line-space
B-Body	Adjacency pairs and addressing - Adjacency	page=2 xpos=0 ypos=0 left-column full-justified aligned-line longer-tail line-double-space line-space headchar-capital
I-Body	pairs (AP) are minimal dialogic units that con-	page=2 xpos=0 ypos=0 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	sist of pairs of utterances called “first pair-part”	page=2 xpos=0 ypos=0 left-column full-justified aligned-line headchar-lower
I-Body	(or a-part) and the “second pair-part” (or b-part)	page=2 xpos=0 ypos=1 left-column full-justified aligned-line
I-Body	that are produced by different speakers. Examples	page=2 xpos=0 ypos=1 left-column full-justified aligned-line headchar-lower
I-Body	include question-answers or statement-agreement.	page=2 xpos=0 ypos=1 left-column full-justified aligned-line headchar-lower tailchar-period
I-Body	In the exploration of the conversational organiza-	page=2 xpos=0 ypos=1 left-column full-justified aligned-line headchar-capital tailchar-hiphen
I-Body	tion, special attention has been given to the a-parts	page=2 xpos=0 ypos=1 left-column full-justified aligned-line headchar-lower
I-Body	that are used as one of the basic techniques for se-	page=2 xpos=0 ypos=1 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	lecting a next speaker (Sacks et al., 1974). For ad-	page=2 xpos=0 ypos=2 left-column full-justified aligned-line year headchar-lower tailchar-hiphen
I-Body	dressee identification, the main focus is on b-parts	page=2 xpos=0 ypos=2 left-column full-justified aligned-line headchar-lower
I-Body	and their addressees. It is to be expected that the	page=2 xpos=0 ypos=2 left-column full-justified aligned-line headchar-lower
I-Body	a-part provides a useful cue for identification of	page=2 xpos=0 ypos=2 left-column full-justified aligned-line headchar-lower
I-Body	addressee of the b-part (Galley et al., 2004). How-	page=2 xpos=0 ypos=2 left-column full-justified aligned-line year headchar-lower tailchar-hiphen
I-Body	ever, it does not imply that the speaker of the a-part	page=2 xpos=0 ypos=3 left-column full-justified aligned-line headchar-lower
I-Body	is always the addressee of the b-part. For example,	page=2 xpos=0 ypos=3 left-column full-justified aligned-line headchar-lower tailchar-comma
I-Body	A can address a question to B, whereas B’s reply	page=2 xpos=0 ypos=3 left-column full-justified aligned-line headchar-capital
I-Body	to A’s question is addressed to the whole group. In	page=2 xpos=0 ypos=3 left-column full-justified aligned-line headchar-lower
I-Body	this case, the addressee of the b-part includes the	page=2 xpos=0 ypos=3 left-column full-justified aligned-line headchar-lower
E-Body	speaker of the a-part.	page=2 xpos=0 ypos=3 left-column right-indent aligned-line shorter-tail headchar-lower tailchar-period above-double-space above-line-space
B-Body	Dialogue acts and addressing When designing	page=2 xpos=0 ypos=4 left-column full-justified aligned-line longer-tail line-double-space line-space headchar-capital
I-Body	an utterance, a speaker intends not only to per-	page=2 xpos=0 ypos=4 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	form a certain communicative act that contributes	page=2 xpos=0 ypos=4 left-column full-justified aligned-line headchar-lower
I-Body	to a coherent dialogue (in the literature referred	page=2 xpos=0 ypos=4 left-column full-justified aligned-line headchar-lower
I-Body	to as dialogue act), but also to perform that act to-	page=2 xpos=0 ypos=5 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	ward the particular others. Within a turn, a speaker	page=2 xpos=0 ypos=5 left-column full-justified aligned-line headchar-lower
I-Body	may perform several dialogue acts, each of those	page=2 xpos=0 ypos=5 left-column full-justified aligned-line headchar-lower
I-Body	having its own addressee ( e.g. I agree with you	page=2 xpos=0 ypos=5 left-column full-justified aligned-line headchar-lower
I-Body	[agreement; addressed to a previous speaker] but	page=2 xpos=0 ypos=5 left-column full-justified aligned-line
I-Body	is this what we want [information request; ad-	page=2 xpos=0 ypos=5 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	dressed to the group]). Dialogue act types can	page=2 xpos=0 ypos=6 left-column full-justified aligned-line headchar-lower
I-Body	provide useful information about addressing types	page=2 xpos=0 ypos=6 left-column full-justified aligned-line headchar-lower
I-Body	since some types of dialogue acts -such as agree-	page=2 xpos=0 ypos=6 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	ments or disagreements- tend to be addressed to	page=2 xpos=0 ypos=6 left-column full-justified aligned-line headchar-lower
I-Body	an individual rather than to a group. More infor-	page=2 xpos=0 ypos=6 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	mation about the addressee of a dialogue can be	page=2 xpos=0 ypos=7 left-column full-justified aligned-line headchar-lower
I-Body	induced by combining the dialogue act informa-	page=2 xpos=0 ypos=7 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	tion with some lexical markers that are used as ad-	page=2 xpos=0 ypos=7 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	dressee “indicators” (e.g. you, we, everybody, all	page=2 xpos=0 ypos=7 left-column full-justified aligned-line headchar-lower
