Title	Language Model Based Arabic Word Segmentation	page=0 xpos=1 ypos=0 single-column left-indent right-indent font-largest page-top headchar-capital above-blank-line above-double-space above-line-space
I-Abstract	trigram language model to determine the	page=0 xpos=0 ypos=5 left-column full-justified aligned-line headchar-lower
I-Abstract	most probable morpheme sequence for a	page=0 xpos=0 ypos=5 left-column full-justified aligned-line headchar-lower
I-Abstract	given input. The language model is	page=0 xpos=0 ypos=5 left-column full-justified aligned-line headchar-lower
I-Abstract	initially estimated from a small manually	page=0 xpos=0 ypos=5 left-column full-justified aligned-line headchar-lower
I-Abstract	segmented corpus of about 110,000	page=0 xpos=0 ypos=5 left-column full-justified aligned-line headchar-lower
I-Abstract	words. To improve the segmentation	page=0 xpos=0 ypos=6 left-column full-justified aligned-line headchar-lower
I-Abstract	accuracy, we use an unsupervised	page=0 xpos=0 ypos=6 left-column full-justified aligned-line headchar-lower
I-Abstract	algorithm for automatically acquiring	page=0 xpos=0 ypos=6 left-column full-justified aligned-line headchar-lower
I-Abstract	new stems from a 155 million word	page=0 xpos=0 ypos=6 left-column full-justified aligned-line headchar-lower
I-Abstract	unsegmented corpus, and re-estimate the	page=0 xpos=0 ypos=6 left-column full-justified aligned-line headchar-lower
I-Abstract	model parameters with the expanded	page=0 xpos=0 ypos=7 left-column full-justified aligned-line headchar-lower
I-Abstract	vocabulary and training corpus. The	page=0 xpos=0 ypos=7 left-column full-justified aligned-line headchar-lower
I-Abstract	resulting Arabic word segmentation	page=0 xpos=0 ypos=7 left-column full-justified aligned-line headchar-lower
I-Abstract	system achieves around 97% exact match	page=0 xpos=0 ypos=7 left-column full-justified aligned-line headchar-lower
I-Abstract	accuracy on a test corpus containing	page=0 xpos=0 ypos=7 left-column full-justified aligned-line headchar-lower
I-Abstract	28,449 word tokens. We believe this is a	page=0 xpos=0 ypos=8 left-column full-justified aligned-line
I-Abstract	state-of-the-art performance and the	page=0 xpos=0 ypos=8 left-column full-justified aligned-line headchar-lower
I-Abstract	algorithm can be used for many highly	page=0 xpos=0 ypos=8 left-column full-justified aligned-line headchar-lower
I-Abstract	inflected languages provided that one can	page=0 xpos=0 ypos=8 left-column full-justified aligned-line headchar-lower
I-Abstract	create a small manually segmented	page=0 xpos=0 ypos=8 left-column full-justified aligned-line headchar-lower
I-Abstract	corpus of the language of interest.	page=0 xpos=0 ypos=9 left-column right-indent aligned-line shorter-tail headchar-lower tailchar-period column-bottom
B-SectionHeader	1 Introduction	page=0 xpos=5 ypos=2 right-column right-indent font-larger column-top numbered-heading1 above-blank-line above-double-space above-line-space
B-Body	Morphologically rich languages like	page=0 xpos=5 ypos=3 right-column full-justified aligned-line longer-tail line-blank-line line-double-space line-space headchar-capital
I-Body	Arabic present significant challenges to many	page=0 xpos=5 ypos=3 right-column full-justified aligned-line headchar-capital
I-Body	natural language processing applications	page=0 xpos=5 ypos=3 right-column full-justified aligned-line headchar-lower
I-Body	because a word often conveys complex	page=0 xpos=5 ypos=3 right-column full-justified aligned-line headchar-lower
I-Body	meanings decomposable into several	page=0 xpos=5 ypos=3 right-column full-justified aligned-line headchar-lower
I-Body	morphemes (i.e. prefix, stem, suffix). By	page=0 xpos=5 ypos=4 right-column full-justified aligned-line headchar-lower
I-Body	segmenting words into morphemes, we can	page=0 xpos=5 ypos=4 right-column full-justified aligned-line headchar-lower
I-Body	improve the performance of natural language	page=0 xpos=5 ypos=4 right-column full-justified aligned-line headchar-lower
I-Body	systems including machine translation (Brown	page=0 xpos=5 ypos=4 right-column full-justified aligned-line headchar-lower
I-Body	et al. 1993) and information retrieval (Franz,	page=0 xpos=5 ypos=4 right-column full-justified aligned-line year headchar-lower tailchar-comma
I-Body	M. and McCarley, S. 2002). In this paper, we	page=0 xpos=5 ypos=5 right-column full-justified aligned-line year headchar-capital
I-Body	present a general word segmentation algorithm	page=0 xpos=5 ypos=5 right-column full-justified aligned-line headchar-lower
I-Body	for handling inflectional morphology capable	page=0 xpos=5 ypos=5 right-column full-justified aligned-line headchar-lower
I-Body	of segmenting a word into a prefix*-stem-	page=0 xpos=5 ypos=5 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	suffix* sequence, using a small manually	page=0 xpos=5 ypos=5 right-column full-justified aligned-line headchar-lower
I-Body	segmented corpus and a table of	page=0 xpos=5 ypos=5 right-column full-justified aligned-line headchar-lower
I-Body	prefixes/suffixes of the language. We do not	page=0 xpos=5 ypos=6 right-column full-justified aligned-line headchar-lower
I-Body	address Arabic infix morphology where many	page=0 xpos=5 ypos=6 right-column full-justified aligned-line headchar-lower
I-Body	stems correspond to the same root with various	page=0 xpos=5 ypos=6 right-column full-justified aligned-line headchar-lower
I-Body	infix variations; we treat all the stems of a	page=0 xpos=5 ypos=6 right-column full-justified aligned-line headchar-lower
I-Body	common root as separate atomic units. The use	page=0 xpos=5 ypos=6 right-column full-justified aligned-line headchar-lower
I-Body	of a stem as a morpheme (unit of meaning) is	page=0 xpos=5 ypos=7 right-column full-justified aligned-line headchar-lower
I-Body	better suited than the use of a root for the	page=0 xpos=5 ypos=7 right-column full-justified aligned-line headchar-lower
I-Body	applications we are considering in information	page=0 xpos=5 ypos=7 right-column full-justified aligned-line headchar-lower
I-Body	retrieval and machine translation (e.g. different	page=0 xpos=5 ypos=7 right-column full-justified aligned-line headchar-lower
I-Body	stems of the same root translate into different	page=0 xpos=5 ypos=7 right-column full-justified aligned-line headchar-lower
I-Body	English words.) Examples of Arabic words and	page=0 xpos=5 ypos=8 right-column full-justified aligned-line headchar-capital
I-Body	their segmentation into prefix*-stem-suffix* are	page=0 xpos=5 ypos=8 right-column full-justified aligned-line headchar-lower
I-Body	given in Table 1, where '#' indicates a	page=0 xpos=5 ypos=8 right-column full-justified aligned-line headchar-lower
I-Body	morpheme being a prefix, and '+' a suffix. <sup>1</sup> As	page=0 xpos=5 ypos=8 right-column right-indent font-largest aligned-line shorter-tail headchar-lower above-blank-line above-double-space above-line-space
B-Footnote	<sup>1</sup> Arabic is presented in both native and Buckwalter	page=0 xpos=5 ypos=9 right-column full-justified aligned-line longer-tail line-blank-line line-double-space line-space headchar-super
I-Footnote	transliterated Arabic whenever possible. All native	page=0 xpos=5 ypos=9 right-column full-justified font-smallest aligned-line headchar-lower
I-Footnote	Arabic is to be read from right-to-left, and transliterated	page=0 xpos=5 ypos=9 right-column full-justified font-smallest aligned-line headchar-capital
I-Footnote	Arabic is to be read from left-to-right. The convention of	page=0 xpos=5 ypos=9 right-column full-justified font-smallest aligned-line headchar-capital page-bottom
I-Body	shown in Table 1, a word may include multiple	page=1 xpos=0 ypos=0 left-column full-justified page-top headchar-lower
I-Body	prefixes, as in ﻞ ﻟ (l: for, Al: the), or multiple	page=1 xpos=0 ypos=0 left-column full-justified aligned-line headchar-lower
I-Body	suffixes, as in ﻪ ﺗ (t: feminine singular, h: his).	page=1 xpos=0 ypos=0 left-column full-justified aligned-line headchar-lower tailchar-period
I-Body	A word may also consist only of a stem, as in	page=1 xpos=0 ypos=0 left-column full-justified aligned-line headchar-capital
E-Body	ﻰ ﻟا (AlY, to/towards).	page=1 xpos=0 ypos=0 left-column right-indent aligned-line shorter-tail tailchar-period
B-Body	The algorithm implementation involves (i)	page=1 xpos=0 ypos=0 left-column left-indent indented-line longer-tail headchar-capital
I-Body	language model training on a morpheme-	page=1 xpos=0 ypos=1 left-column full-justified hanged-line headchar-lower tailchar-hiphen
I-Body	segmented corpus, (ii) segmentation of input	page=1 xpos=0 ypos=1 left-column full-justified aligned-line headchar-lower
I-Body	text into a sequence of morphemes using the	page=1 xpos=0 ypos=1 left-column full-justified aligned-line headchar-lower
I-Body	language model parameters, and (iii)	page=1 xpos=0 ypos=1 left-column full-justified aligned-line headchar-lower
I-Body	unsupervised acquisition of new stems from a	page=1 xpos=0 ypos=1 left-column full-justified aligned-line headchar-lower
I-Body	large unsegmented corpus. The only linguistic	page=1 xpos=0 ypos=2 left-column full-justified aligned-line headchar-lower
I-Body	resources required include a small manually	page=1 xpos=0 ypos=2 left-column full-justified aligned-line headchar-lower
I-Body	segmented corpus ranging from 20,000 words	page=1 xpos=0 ypos=2 left-column full-justified aligned-line headchar-lower
I-Body	to 100,000 words, a table of prefixes and	page=1 xpos=0 ypos=2 left-column full-justified aligned-line headchar-lower
I-Body	suffixes of the language and a large	page=1 xpos=0 ypos=2 left-column full-justified aligned-line headchar-lower
E-Body	unsegmented corpus.	page=1 xpos=0 ypos=2 left-column right-indent aligned-line shorter-tail headchar-lower tailchar-period
B-Body	In Section 2, we discuss related work. In	page=1 xpos=0 ypos=3 left-column left-indent indented-line longer-tail headchar-capital
I-Body	Section 3, we describe the segmentation	page=1 xpos=0 ypos=3 left-column full-justified hanged-line headchar-capital
I-Body	algorithm. In Section 4, we discuss the	page=1 xpos=0 ypos=3 left-column full-justified aligned-line headchar-lower
I-Body	unsupervised algorithm for new stem	page=1 xpos=0 ypos=3 left-column full-justified aligned-line headchar-lower
I-Body	acquisition. In Section 5, we present	page=1 xpos=0 ypos=3 left-column full-justified aligned-line headchar-lower
I-Body	experimental results. In Section 6, we	page=1 xpos=0 ypos=4 left-column full-justified aligned-line headchar-lower
E-Body	summarize the paper.	page=1 xpos=0 ypos=4 left-column right-indent aligned-line shorter-tail headchar-lower tailchar-period above-double-space above-line-space
B-SectionHeader	2 Related Work	page=1 xpos=0 ypos=4 left-column right-indent font-larger aligned-line shorter-tail line-double-space line-space numbered-heading1 above-double-space above-line-space
B-Body	Our work adopts major components of the	page=1 xpos=0 ypos=4 left-column full-justified aligned-line longer-tail line-double-space line-space headchar-capital
I-Body	algorithm from (Luo & Roukos 1996):	page=1 xpos=0 ypos=5 left-column full-justified aligned-line year headchar-lower tailchar-colon
I-Body	language model (LM) parameter estimation	page=1 xpos=0 ypos=5 left-column full-justified aligned-line headchar-lower
I-Body	from a segmented corpus and input	page=1 xpos=0 ypos=5 left-column full-justified aligned-line headchar-lower
I-Body	segmentation on the basis of LM probabilities.	page=1 xpos=0 ypos=5 left-column full-justified aligned-line headchar-lower tailchar-period
I-Body	However, our work diverges from their work	page=1 xpos=0 ypos=5 left-column full-justified aligned-line headchar-capital
I-Body	in two crucial respects: (i) new technique of	page=1 xpos=0 ypos=6 left-column full-justified aligned-line headchar-lower
I-Body	computing all possible segmentations of a	page=1 xpos=0 ypos=6 left-column full-justified aligned-line headchar-lower
I-Body	word into prefix*-stem-suffix* for decoding,	page=1 xpos=0 ypos=6 left-column full-justified aligned-line headchar-lower tailchar-comma
I-Body	and (ii) unsupervised algorithm for new stem	page=1 xpos=0 ypos=6 left-column full-justified aligned-line headchar-lower
I-Body	acquisition based on a stem candidate's	page=1 xpos=0 ypos=6 left-column full-justified aligned-line headchar-lower
I-Body	similarity to stems occurring in the training	page=1 xpos=0 ypos=7 left-column full-justified aligned-line headchar-lower
E-Body	corpus.	page=1 xpos=0 ypos=7 left-column right-indent aligned-line shorter-tail headchar-lower tailchar-period
B-Body	(Darwish 2002) presents a supervised	page=1 xpos=0 ypos=7 left-column left-indent indented-line longer-tail year
I-Body	technique which identifies the root of an	page=1 xpos=0 ypos=7 left-column full-justified hanged-line headchar-lower
I-Body	Arabic word by stripping away the prefix and	page=1 xpos=0 ypos=7 left-column full-justified aligned-line headchar-capital
I-Body	the suffix of the word on the basis of manually	page=1 xpos=0 ypos=7 left-column full-justified aligned-line headchar-lower
I-Body	acquired dictionary of word-root pairs and the	page=1 xpos=0 ypos=8 left-column full-justified aligned-line headchar-lower
I-Body	likelihood that a prefix and a suffix would	page=1 xpos=0 ypos=8 left-column full-justified aligned-line headchar-lower
I-Body	occur with the template from which the root is	page=1 xpos=0 ypos=8 left-column full-justified aligned-line headchar-lower
I-Body	derived. He reports 92.7% segmentation	page=1 xpos=0 ypos=8 left-column full-justified aligned-line headchar-lower above-blank-line above-double-space above-line-space
B-Footnote	marking a prefix with '#" and a suffix with '+' will be	page=1 xpos=0 ypos=9 left-column full-justified font-smallest aligned-line line-blank-line line-double-space line-space headchar-lower
I-Footnote	adopted throughout the paper.	page=1 xpos=0 ypos=9 left-column right-indent font-smallest aligned-line shorter-tail headchar-lower tailchar-period column-bottom
I-Body	accuracy on a 9,606 word evaluation corpus.	page=1 xpos=5 ypos=0 right-column full-justified column-top headchar-lower tailchar-period
I-Body	His technique pre-supposes at most one prefix	page=1 xpos=5 ypos=0 right-column full-justified aligned-line headchar-capital
I-Body	and one suffix per stem regardless of the actual	page=1 xpos=5 ypos=0 right-column full-justified aligned-line headchar-lower
I-Body	number and meanings of prefixes/suffixes	page=1 xpos=5 ypos=0 right-column full-justified aligned-line headchar-lower
I-Body	associated with the stem. (Beesley 1996)	page=1 xpos=5 ypos=0 right-column full-justified aligned-line year headchar-lower
I-Body	presents a finite-state morphological analyzer	page=1 xpos=5 ypos=0 right-column full-justified aligned-line headchar-lower
I-Body	for Arabic, which displays the root, pattern,	page=1 xpos=5 ypos=1 right-column full-justified aligned-line headchar-lower tailchar-comma
I-Body	and prefixes/suffixes. The analyses are based	page=1 xpos=5 ypos=1 right-column full-justified aligned-line headchar-lower
I-Body	on manually acquired lexicons and rules.	page=1 xpos=5 ypos=1 right-column full-justified aligned-line headchar-lower tailchar-period
I-Body	Although his analyzer is comprehensive in the	page=1 xpos=5 ypos=1 right-column full-justified aligned-line headchar-capital
I-Body	types of knowledge it presents, it has been	page=1 xpos=5 ypos=1 right-column full-justified aligned-line headchar-lower
I-Body	criticized for their extensive development time	page=1 xpos=5 ypos=2 right-column full-justified aligned-line headchar-lower
E-Body	and lack of robustness, cf. (Darwish 2002).	page=1 xpos=5 ypos=2 right-column right-indent aligned-line shorter-tail year headchar-lower tailchar-period
B-Body	(Yarowsky and Wicentowsky 2000)	page=1 xpos=5 ypos=2 right-column left-indent indented-line longer-tail year
I-Body	presents a minimally supervised morphological	page=1 xpos=5 ypos=2 right-column full-justified hanged-line headchar-lower
I-Body	analysis with a performance of over 99.2%	page=1 xpos=5 ypos=2 right-column full-justified aligned-line headchar-lower
I-Body	accuracy for the 3,888 past-tense test cases in	page=1 xpos=5 ypos=2 right-column full-justified aligned-line headchar-lower
I-Body	English. The core algorithm lies in the	page=1 xpos=5 ypos=3 right-column full-justified aligned-line headchar-capital
I-Body	estimation of a probabilistic alignment	page=1 xpos=5 ypos=3 right-column full-justified aligned-line headchar-lower
I-Body	between inflected forms and root forms. The	page=1 xpos=5 ypos=3 right-column full-justified aligned-line headchar-lower
I-Body	probability estimation is based on the lemma	page=1 xpos=5 ypos=3 right-column full-justified aligned-line headchar-lower
I-Body	alignment by frequency ratio similarity among	page=1 xpos=5 ypos=3 right-column full-justified aligned-line headchar-lower
I-Body	different inflectional forms derived from the	page=1 xpos=5 ypos=4 right-column full-justified aligned-line headchar-lower
I-Body	same lemma, given a table of inflectional	page=1 xpos=5 ypos=4 right-column full-justified aligned-line headchar-lower
I-Body	parts-of-speech, a list of the canonical suffixes	page=1 xpos=5 ypos=4 right-column full-justified aligned-line headchar-lower
I-Body	for each part of speech, and a list of the	page=1 xpos=5 ypos=4 right-column full-justified aligned-line headchar-lower
I-Body	candidate noun, verb and adjective roots of the	page=1 xpos=5 ypos=4 right-column full-justified aligned-line headchar-lower
I-Body	language. Their algorithm does not handle	page=1 xpos=5 ypos=4 right-column full-justified aligned-line headchar-lower
E-Body	multiple affixes per word.	page=1 xpos=5 ypos=5 right-column right-indent aligned-line shorter-tail headchar-lower tailchar-period
B-Body	(Goldsmith 2000) presents an unsupervised	page=1 xpos=5 ypos=5 right-column left-indent indented-line longer-tail year
I-Body	technique based on the expectation-	page=1 xpos=5 ypos=5 right-column full-justified hanged-line headchar-lower tailchar-hiphen
I-Body	maximization algorithm and minimum	page=1 xpos=5 ypos=5 right-column full-justified aligned-line headchar-lower
I-Body	description length to segment exactly one	page=1 xpos=5 ypos=5 right-column full-justified aligned-line headchar-lower
I-Body	suffix per word, resulting in an F-score of 81.8	page=1 xpos=5 ypos=6 right-column full-justified aligned-line headchar-lower
I-Body	for suffix identification in English according to	page=1 xpos=5 ypos=6 right-column full-justified aligned-line headchar-lower
I-Body	(Schone and Jurafsky 2001). (Schone and	page=1 xpos=5 ypos=6 right-column full-justified aligned-line year
I-Body	Jurafsky 2001) proposes an unsupervised	page=1 xpos=5 ypos=6 right-column full-justified aligned-line year headchar-capital
I-Body	algorithm capable of automatically inducing	page=1 xpos=5 ypos=6 right-column full-justified aligned-line headchar-lower
I-Body	the morphology of inflectional languages using	page=1 xpos=5 ypos=7 right-column full-justified aligned-line headchar-lower
I-Body	only text corpora. Their algorithm combines	page=1 xpos=5 ypos=7 right-column full-justified aligned-line headchar-lower
I-Body	cues from orthography, semantics, and	page=1 xpos=5 ypos=7 right-column full-justified aligned-line headchar-lower
I-Body	contextual information to induce	page=1 xpos=5 ypos=7 right-column full-justified aligned-line headchar-lower
I-Body	morphological relationships in German, Dutch,	page=1 xpos=5 ypos=7 right-column full-justified aligned-line headchar-lower tailchar-comma
I-Body	and English, among others. They report F-	page=1 xpos=5 ypos=7 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	scores between 85 and 93 for suffix analyses	page=1 xpos=5 ypos=8 right-column full-justified aligned-line headchar-lower
I-Body	and between 78 and 85 for circumfix analyses	page=1 xpos=5 ypos=8 right-column full-justified aligned-line headchar-lower
I-Body	in these languages. Although their algorithm	page=1 xpos=5 ypos=8 right-column full-justified aligned-line headchar-lower
I-Body	captures prefix-suffix combinations or	page=1 xpos=5 ypos=8 right-column full-justified aligned-line headchar-lower
I-Body	circumfixes, it does not handle the multiple	page=1 xpos=5 ypos=8 right-column full-justified aligned-line headchar-lower
E-Body	affixes per word we observe in Arabic.	page=1 xpos=5 ypos=9 right-column full-justified aligned-line headchar-lower tailchar-period column-bottom above-blank-line above-double-space above-line-space
Page	2	page=1 xpos=4 ypos=9 single-column centered left-indent right-indent font-smallest column-top line-blank-line line-double-space line-space numeric-only page-bottom
Table	__Table 1__	page=2 xpos=0 ypos=-2 single-column left-indent right-indent box page-top table-area
B-Caption	Table 1 Segmentation of Arabic Words into Prefix*-Stem-Suffix*	page=2 xpos=1 ypos=0 single-column left-indent right-indent indented-line shorter-tail string-table headchar-capital column-bottom above-double-space above-line-space
B-SectionHeader	3 Morpheme Segmentation	page=2 xpos=0 ypos=0 left-column right-indent font-larger column-top line-double-space line-space numbered-heading1 above-double-space above-line-space
B-SubsectionHeader	3.1 Trigram Language Model	page=2 xpos=0 ypos=0 left-column right-indent font-larger aligned-line longer-tail line-double-space line-space numbered-heading2 above-double-space above-line-space
B-Body	Given an Arabic sentence, we use a trigram	page=2 xpos=0 ypos=1 left-column full-justified aligned-line longer-tail line-double-space line-space headchar-capital
I-Body	language model on morphemes to segment it	page=2 xpos=0 ypos=1 left-column full-justified aligned-line headchar-lower
I-Body	into a sequence of morphemes {m <sub>1</sub> , m 2, …, m n }.	page=2 xpos=0 ypos=1 left-column full-justified font-larger aligned-line headchar-lower tailchar-period
I-Body	The input to the morpheme segmenter is a	page=2 xpos=0 ypos=1 left-column full-justified aligned-line headchar-capital
I-Body	sequence of Arabic tokens – we use a	page=2 xpos=0 ypos=2 left-column full-justified aligned-line headchar-lower
I-Body	tokenizer that looks only at white space and	page=2 xpos=0 ypos=2 left-column full-justified aligned-line headchar-lower
I-Body	other punctuation, e.g. quotation marks,	page=2 xpos=0 ypos=2 left-column full-justified aligned-line headchar-lower tailchar-comma
I-Body	parentheses, period, comma, etc. A sample of	page=2 xpos=0 ypos=2 left-column full-justified aligned-line headchar-lower
I-Body	a manually segmented corpus is given below <sup>2</sup> .	page=2 xpos=0 ypos=3 left-column full-justified font-largest aligned-line itemization headchar-lower tailchar-period
I-Body	Here multiple occurrences of prefixes and	page=2 xpos=0 ypos=3 left-column full-justified aligned-line headchar-capital
I-Body	suffixes per word are marked with an	page=2 xpos=0 ypos=3 left-column full-justified aligned-line headchar-lower
E-Body	underline.	page=2 xpos=0 ypos=3 left-column right-indent aligned-line shorter-tail headchar-lower tailchar-period above-double-space above-line-space
B-Quote	ﺰآﺮﻣ # لا ﰲ ﻞﺣ يﺬﻟا ﻦﻳﺎﻓﺮﻳا نﺎآ # و	page=2 xpos=0 ypos=4 left-column full-justified font-smaller aligned-line longer-tail line-double-space line-space
I-Quote	مﺎﻋ # لا ﺎﺴﳕ # لا ة + ﺰﺋﺎﺟ ﰲ لوا # لا	page=2 xpos=0 ypos=4 left-column full-justified font-smaller aligned-line
I-Quote	# ب ﺮﻌﺷ يراﲑﻓ ة + رﺎﻴﺳ ﻲﻠﻋ ﻲﺿﺎﻣ # لا	page=2 xpos=0 ypos=4 left-column full-justified font-smaller aligned-line
I-Quote	# لا ﱄا ﻩ + ت + ﺮﻄﺿا ﻩ + ﻦﻄﺑ ﰲ مﻻا	page=2 xpos=0 ypos=4 left-column full-justified font-smaller aligned-line
I-Quote	دﻮﻋ # ي # س ﻮه # و برﺎﲡ # لا ﻦﻣ بﺎﺤﺴﻧا	page=2 xpos=0 ypos=4 left-column full-justified font-smaller aligned-line
I-Quote	# لا تا + صﻮﺤﻓ # لا ء اﺮﺟا # ل نﺪﻨﻟ ﱄا	page=2 xpos=0 ypos=5 left-column full-justified font-smaller aligned-line
I-Quote	. راﻮﻏﺎﺟ ﻖﻳﺮﻓ رﺎﺷا ﺎﻣ ﺐﺴﺣ ة + يروﺮﺿ	page=2 xpos=0 ypos=5 left-column full-justified font-smaller aligned-line
I-Quote	راﻮﻏﺎﺟ ﰲ برﺎﲡ # لا ﻖﺋﺎﺳ ﻞﺣ # ي # س # و	page=2 xpos=0 ypos=5 left-column full-justified font-smaller aligned-line
I-Quote	نﺎﻜﻣ ﻲﺗرﻮﺑ ﻮﻧﺎﻴﺳﻮﻟ ﻲﻠﻳزاﺮﺑ # لا	page=2 xpos=0 ypos=5 left-column full-justified font-smaller aligned-line
I-Quote	ﺪﺣا # لا اﺪﻏ قﺎﺒﺳ # لا ﰲ ﻦﻳﺎﻓﺮﻳا	page=2 xpos=0 ypos=5 left-column full-justified font-smaller aligned-line
I-Quote	ﰲ ﻩ + تا + ﻮﻄﺧ ﱄوا نﻮآ # ي # س يﺬﻟا	page=2 xpos=0 ypos=6 left-column full-justified font-smaller aligned-line
I-Quote	ﻻﻮﻣرﻮﻔﻟا تا + قﺎﺒﺳ ﱂﺎﻋ	page=2 xpos=1 ypos=6 left-column left-indent font-smaller indented-line above-double-space above-line-space
B-Quote	w# kAn AyrfAyn Al*y Hl fy Al# mrkz Al#	page=2 xpos=0 ypos=6 left-column full-justified hanged-line line-double-space line-space headchar-lower
I-Quote	Awl fy jA}z +p Al# nmsA Al# EAm Al#	page=2 xpos=0 ypos=6 left-column full-justified aligned-line headchar-capital
I-Quote	mADy Ely syAr +p fyrAry $Er b# AlAm fy	page=2 xpos=0 ypos=7 left-column full-justified aligned-line headchar-lower
I-Quote	bTn +h ADTr +t +h Aly Al# AnsHAb mn Al#	page=2 xpos=0 ypos=7 left-column right-indent aligned-line shorter-tail headchar-lower
I-Quote	tjArb w# hw s# y# Ewd Aly lndn l# AjrA' Al#	page=2 xpos=0 ypos=7 left-column full-justified aligned-line longer-tail headchar-lower
I-Quote	fHwS +At Al# Drwry +p Hsb mA A$Ar fryq	page=2 xpos=0 ypos=7 left-column right-indent aligned-line shorter-tail headchar-lower above-blank-line above-double-space above-line-space
B-Footnote	<sup>2</sup> A manually segmented Arabic corpus containing about	page=2 xpos=0 ypos=8 left-column full-justified aligned-line longer-tail line-blank-line line-double-space line-space headchar-super
I-Footnote	140K word tokens has been provided by LDC	page=2 xpos=0 ypos=8 left-column full-justified font-smallest aligned-line
I-Footnote	(http://www.ldc.upenn.edu). We divided this corpus into	page=2 xpos=0 ypos=8 left-column full-justified font-smallest aligned-line
I-Footnote	training and the development test sets as described in	page=2 xpos=0 ypos=8 left-column full-justified font-smallest aligned-line headchar-lower
I-Footnote	Section 5.	page=2 xpos=0 ypos=9 left-column right-indent font-smallest aligned-line shorter-tail headchar-capital tailchar-period column-bottom
I-Quote	jAgwAr. w# s# y# Hl sA}q Al# tjArb fy	page=2 xpos=5 ypos=0 right-column full-justified column-top headchar-lower
I-Quote	jAgwAr Al# brAzyly lwsyAnw bwrty mkAn	page=2 xpos=5 ypos=0 right-column full-justified aligned-line headchar-lower
I-Quote	AyrfAyn fy Al# sbAq gdA Al# AHd Al*y s#	page=2 xpos=5 ypos=0 right-column full-justified aligned-line headchar-capital
I-Quote	y# kwn Awly xTw +At +h fy EAlm sbAq +At	page=2 xpos=5 ypos=1 right-column full-justified aligned-line headchar-lower
I-Quote	AlfwrmwlA	page=2 xpos=5 ypos=1 right-column right-indent aligned-line shorter-tail headchar-capital above-double-space above-line-space
B-Body	Many instances of prefixes and suffixes in	page=2 xpos=5 ypos=1 right-column full-justified aligned-line longer-tail line-double-space line-space headchar-capital
I-Body	Arabic are meaning bearing and correspond to	page=2 xpos=5 ypos=1 right-column full-justified aligned-line headchar-capital
I-Body	a word in English such as pronouns and	page=2 xpos=5 ypos=2 right-column full-justified aligned-line itemization headchar-lower
I-Body	prepositions. Therefore, we choose a	page=2 xpos=5 ypos=2 right-column full-justified aligned-line headchar-lower
