Title	Towards a Model of Face-to-Face Grounding	page=0 xpos=2 ypos=0 single-column centered left-indent right-indent font-largest page-top headchar-capital above-double-space above-line-space
I-Body	focus of attention on the task (dash-dot lines un-	page=0 xpos=0 ypos=9 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	derneath the words) is the listener’s public signal	page=0 xpos=0 ypos=9 left-column full-justified aligned-line headchar-lower column-bottom
B-Affiliation	<sup>††</sup> Research Institute of Science and	page=0 xpos=5 ypos=0 right-column left-indent right-indent font-largest column-top symbol-dagger headchar-super
I-Affiliation	Technology for Society (RISTEX)	page=0 xpos=5 ypos=0 right-column left-indent right-indent font-larger headchar-capital
Address	2-5-1 Atago Minato-ku,	page=0 xpos=6 ypos=1 right-column left-indent right-indent font-larger indented-line shorter-tail tailchar-comma
Address	Tokyo 105-6218, Japan	page=0 xpos=6 ypos=1 right-column left-indent right-indent font-larger aligned-line headchar-capital
Email	nakano@kc.t.u-tokyo.ac.jp	page=0 xpos=6 ypos=1 right-column left-indent right-indent font-larger hanged-line longer-tail symbol-atmark headchar-lower above-double-space above-line-space
Figure	__Figure 1__	page=0 xpos=5 ypos=2 right-column left-indent right-indent box hanged-line longer-tail line-double-space line-space figure-area above-line-space
B-Caption	Figure 1: Human face-to-face conversation	page=0 xpos=6 ypos=3 right-column left-indent right-indent font-smallest indented-line shorter-tail line-space string-figure headchar-capital above-double-space above-line-space
I-Body	of understanding S’s utterance sufficiently for the	page=0 xpos=5 ypos=3 right-column full-justified hanged-line longer-tail line-double-space line-space headchar-lower
I-Body	task at hand. Because S is manifestly attending to	page=0 xpos=5 ypos=4 right-column full-justified aligned-line headchar-lower
I-Body	this signal, the signal allows the two jointly to rec-	page=0 xpos=5 ypos=4 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	ognize S’s contribution as grounded. This paper	page=0 xpos=5 ypos=4 right-column full-justified aligned-line headchar-lower
I-Body	provides empirical support for an essential role for	page=0 xpos=5 ypos=4 right-column full-justified aligned-line headchar-lower
I-Body	nonverbal behaviors in grounding, motivating an	page=0 xpos=5 ypos=4 right-column full-justified aligned-line headchar-lower
I-Body	architecture for an embodied conversational agent	page=0 xpos=5 ypos=5 right-column full-justified aligned-line headchar-lower
I-Body	that can establish common ground using eye gaze,	page=0 xpos=5 ypos=5 right-column full-justified aligned-line headchar-lower tailchar-comma
E-Body	head nods, and attentional focus.	page=0 xpos=5 ypos=5 right-column right-indent aligned-line shorter-tail headchar-lower tailchar-period
B-Body	Although grounding has received significant at-	page=0 xpos=5 ypos=5 right-column left-indent indented-line longer-tail headchar-capital tailchar-hiphen
I-Body	tention in the literature, previous work has not ad-	page=0 xpos=5 ypos=5 right-column full-justified hanged-line headchar-lower tailchar-hiphen
I-Body	dressed the following questions: (1) what	page=0 xpos=5 ypos=6 right-column full-justified aligned-line headchar-lower
I-Body	predictive factors account for how people use non-	page=0 xpos=5 ypos=6 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	verbal signals to ground information, (2) how can a	page=0 xpos=5 ypos=6 right-column full-justified aligned-line headchar-lower
I-Body	model of the face-to-face grounding process be	page=0 xpos=5 ypos=6 right-column full-justified aligned-line headchar-lower
I-Body	used to adapt dialogue management to face-to-face	page=0 xpos=5 ypos=6 right-column full-justified aligned-line headchar-lower
I-Body	conversation with an embodied conversational	page=0 xpos=5 ypos=7 right-column full-justified aligned-line headchar-lower
I-Body	agent. This paper addresses these issues, with the	page=0 xpos=5 ypos=7 right-column full-justified aligned-line headchar-lower
I-Body	goal of contributing to the literature on discourse	page=0 xpos=5 ypos=7 right-column full-justified aligned-line headchar-lower
I-Body	phenomena, and of building more advanced con-	page=0 xpos=5 ypos=7 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	versational humanoids that can engage in human	page=0 xpos=5 ypos=7 right-column full-justified aligned-line headchar-lower
E-Body	conversational protocols.	page=0 xpos=5 ypos=8 right-column right-indent aligned-line shorter-tail headchar-lower tailchar-period
B-Body	In the next section, we discuss relevant previous	page=0 xpos=5 ypos=8 right-column left-indent indented-line longer-tail headchar-capital
I-Body	work, report results from our own empirical study	page=0 xpos=5 ypos=8 right-column full-justified hanged-line headchar-lower
I-Body	and, based on our analysis of conversational data,	page=0 xpos=5 ypos=8 right-column full-justified aligned-line headchar-lower tailchar-comma
I-Body	propose a model of grounding using both verbal	page=0 xpos=5 ypos=8 right-column full-justified aligned-line headchar-lower
I-Body	and nonverbal information, and present our im-	page=0 xpos=5 ypos=8 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	plementation of that model into an embodied con-	page=0 xpos=5 ypos=9 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	versational agent. As a preliminary evaluation, we	page=0 xpos=5 ypos=9 right-column full-justified aligned-line headchar-lower
I-Body	compare a user interacting with the embodied con-	page=0 xpos=5 ypos=9 right-column full-justified aligned-line headchar-lower tailchar-hiphen
E-Body	versational agent with and without grounding.	page=0 xpos=5 ypos=9 right-column right-indent aligned-line shorter-tail headchar-lower tailchar-period page-bottom
B-SectionHeader	2 Related Work	page=1 xpos=0 ypos=0 left-column right-indent font-larger page-top numbered-heading1 above-double-space above-line-space
B-Body	Conversation can be seen as a collaborative activ-	page=1 xpos=0 ypos=0 left-column full-justified aligned-line longer-tail line-double-space line-space headchar-capital tailchar-hiphen
I-Body	ity to accomplish information-sharing and to pur-	page=1 xpos=0 ypos=0 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	sue joint goals and tasks. Under this view,	page=1 xpos=0 ypos=0 left-column full-justified aligned-line headchar-lower tailchar-comma
I-Body	agreeing on what has been said, and what is meant,	page=1 xpos=0 ypos=0 left-column full-justified aligned-line headchar-lower tailchar-comma
I-Body	is crucial to conversation. The part of what has	page=1 xpos=0 ypos=1 left-column full-justified aligned-line headchar-lower
I-Body	been said that the interlocutors understand to be	page=1 xpos=0 ypos=1 left-column full-justified aligned-line headchar-lower
I-Body	mutually shared is called the common ground, and	page=1 xpos=0 ypos=1 left-column full-justified aligned-line headchar-lower
I-Body	the process of establishing parts of the conversa-	page=1 xpos=0 ypos=1 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	tion as shared is called grounding [1]. As [2] point	page=1 xpos=0 ypos=1 left-column full-justified aligned-line headchar-lower
I-Body	out, participants in a conversation attempt to	page=1 xpos=0 ypos=2 left-column full-justified aligned-line headchar-lower
I-Body	minimize the effort expended in grounding. Thus,	page=1 xpos=0 ypos=2 left-column full-justified aligned-line headchar-lower tailchar-comma
I-Body	interlocutors do not always convey all the informa-	page=1 xpos=0 ypos=2 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	tion at their disposal; sometimes it takes less effort	page=1 xpos=0 ypos=2 left-column full-justified aligned-line headchar-lower
I-Body	to produce an incomplete utterance that can be re-	page=1 xpos=0 ypos=2 left-column full-justified aligned-line headchar-lower tailchar-hiphen
E-Body	paired if needs be.	page=1 xpos=0 ypos=3 left-column right-indent aligned-line shorter-tail headchar-lower tailchar-period
B-Body	[3] has proposed a computational approach to	page=1 xpos=0 ypos=3 left-column left-indent indented-line longer-tail
I-Body	grounding where the status of contributions as	page=1 xpos=0 ypos=3 left-column full-justified hanged-line headchar-lower
I-Body	provisional or shared is part of the dialogue	page=1 xpos=0 ypos=3 left-column full-justified aligned-line headchar-lower
I-Body	system’s representation of the “information state”	page=1 xpos=0 ypos=3 left-column full-justified aligned-line headchar-lower
I-Body	of the conversation. Conversational actions can	page=1 xpos=0 ypos=4 left-column full-justified aligned-line headchar-lower
I-Body	trigger updates that register provisional	page=1 xpos=0 ypos=4 left-column full-justified aligned-line headchar-lower
I-Body	information as shared. These actions achieve	page=1 xpos=0 ypos=4 left-column full-justified aligned-line headchar-lower
I-Body	grounding. Acknowledgment acts are directly as-	page=1 xpos=0 ypos=4 left-column full-justified aligned-line string-acknowledgement headchar-lower tailchar-hiphen
I-Body	sociated with grounding updates while other utter-	page=1 xpos=0 ypos=4 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	ances effect grounding updates indirectly, because	page=1 xpos=0 ypos=5 left-column full-justified aligned-line headchar-lower
I-Body	they proceed with the task in a way that presup-	page=1 xpos=0 ypos=5 left-column full-justified aligned-line headchar-lower tailchar-hiphen
E-Body	poses that prior utterances are uncontroversial.	page=1 xpos=0 ypos=5 left-column right-indent aligned-line shorter-tail headchar-lower tailchar-period
B-Body	[4], on the other hand, suggest that actions in	page=1 xpos=0 ypos=5 left-column left-indent indented-line longer-tail
I-Body	conversation give probabilistic evidence of under-	page=1 xpos=0 ypos=5 left-column full-justified hanged-line headchar-lower tailchar-hiphen
I-Body	standing, which is represented on a par with other	page=1 xpos=0 ypos=6 left-column full-justified aligned-line headchar-lower
I-Body	uncertainties in the dialogue system (e.g., speech	page=1 xpos=0 ypos=6 left-column full-justified aligned-line headchar-lower
I-Body	recognizer unreliability). The dialogue manager	page=1 xpos=0 ypos=6 left-column full-justified aligned-line headchar-lower
I-Body	assumes that content is grounded as long as it	page=1 xpos=0 ypos=6 left-column full-justified aligned-line headchar-lower
E-Body	judges the risk of misunderstanding as acceptable.	page=1 xpos=0 ypos=6 left-column right-indent aligned-line shorter-tail headchar-lower tailchar-period
B-Body	[1, 5] mention that eye gaze is the most basic	page=1 xpos=0 ypos=7 left-column left-indent indented-line longer-tail
I-Body	form of positive evidence that the addressee is at-	page=1 xpos=0 ypos=7 left-column full-justified hanged-line headchar-lower tailchar-hiphen
I-Body	tending to the speaker, and that head nods have a	page=1 xpos=0 ypos=7 left-column full-justified aligned-line headchar-lower
I-Body	similar function to verbal acknowledgements. They	page=1 xpos=0 ypos=7 left-column full-justified aligned-line headchar-lower
I-Body	suggest that nonverbal behaviors mainly contribute	page=1 xpos=0 ypos=7 left-column full-justified aligned-line headchar-lower
I-Body	to lower levels of grounding, to signify that inter-	page=1 xpos=0 ypos=8 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	locutors have access to each other’s communica-	page=1 xpos=0 ypos=8 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	tive actions, and are attending. With a similar goal	page=1 xpos=0 ypos=8 left-column full-justified aligned-line headchar-lower
I-Body	of broadening the notion of communicative action	page=1 xpos=0 ypos=8 left-column full-justified aligned-line headchar-lower
I-Body	beyond the spoken word, [6] examine other kinds	page=1 xpos=0 ypos=8 left-column full-justified aligned-line headchar-lower
I-Body	of multimodal grounding behaviors, such as post-	page=1 xpos=0 ypos=9 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	ing information on a whiteboard. Although these	page=1 xpos=0 ypos=9 left-column full-justified aligned-line headchar-lower
I-Body	and other researchers have suggested that nonver-	page=1 xpos=0 ypos=9 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	bal behaviors undoubtedly play a role in grounding,	page=1 xpos=0 ypos=9 left-column right-over aligned-line headchar-lower tailchar-comma column-bottom
I-Body	previous literature does not characterize their pre-	page=1 xpos=5 ypos=0 right-column full-justified column-top headchar-lower tailchar-hiphen
E-Body	cise role with respect to dialogue state.	page=1 xpos=5 ypos=0 right-column right-indent aligned-line shorter-tail headchar-lower tailchar-period
B-Body	On the other hand, a number of studies on these	page=1 xpos=5 ypos=0 right-column left-indent indented-line longer-tail headchar-capital
I-Body	particular nonverbal behaviors do exist. An early	page=1 xpos=5 ypos=0 right-column full-justified hanged-line headchar-lower
I-Body	study, [7], reported that conversation involves eye	page=1 xpos=5 ypos=0 right-column full-justified aligned-line headchar-lower
I-Body	gaze about 60% of the time. Speakers look up at	page=1 xpos=5 ypos=0 right-column full-justified aligned-line headchar-lower
I-Body	grammatical pauses for feedback on how utter-	page=1 xpos=5 ypos=1 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	ances are being received, and also look at the task.	page=1 xpos=5 ypos=1 right-column full-justified aligned-line headchar-lower tailchar-period
I-Body	Listeners look at speakers to follow their direction	page=1 xpos=5 ypos=1 right-column full-justified aligned-line headchar-capital
I-Body	of gaze. In fact, [8] claimed speakers will pause	page=1 xpos=5 ypos=1 right-column full-justified aligned-line headchar-lower
I-Body	and restart until they obtain the listener’s gaze. [9]	page=1 xpos=5 ypos=1 right-column full-justified aligned-line headchar-lower
I-Body	found that during conversational difficulties, mu-	page=1 xpos=5 ypos=2 right-column full-justified aligned-line headchar-lower tailchar-hiphen
E-Body	tual gaze was held longer at turn boundaries.	page=1 xpos=5 ypos=2 right-column right-indent aligned-line shorter-tail headchar-lower tailchar-period
B-Body	Previous work on embodied conversational	page=1 xpos=5 ypos=2 right-column left-indent indented-line longer-tail headchar-capital
I-Body	agents (ECAs) has demonstrated that it is possible	page=1 xpos=5 ypos=2 right-column full-justified hanged-line headchar-lower
I-Body	to implement face-to-face conversational protocols	page=1 xpos=5 ypos=2 right-column full-justified aligned-line headchar-lower
I-Body	in human-computer interaction, and that correct	page=1 xpos=5 ypos=3 right-column full-justified aligned-line headchar-lower
I-Body	relationships among verbal and nonverbal signals	page=1 xpos=5 ypos=3 right-column full-justified aligned-line headchar-lower
I-Body	enhances the naturalness and effectiveness of em-	page=1 xpos=5 ypos=3 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	bodied dialogue systems [10], [11]. [12] reported	page=1 xpos=5 ypos=3 right-column full-justified aligned-line headchar-lower
I-Body	that users felt the agent to be more helpful, lifelike,	page=1 xpos=5 ypos=3 right-column full-justified aligned-line headchar-lower tailchar-comma
I-Body	and smooth in its interaction style when it demon-	page=1 xpos=5 ypos=4 right-column full-justified aligned-line headchar-lower tailchar-hiphen
E-Body	strated nonverbal conversational behaviors.	page=1 xpos=5 ypos=4 right-column right-indent aligned-line shorter-tail headchar-lower tailchar-period above-double-space above-line-space
B-SectionHeader	3 Empirical Study	page=1 xpos=5 ypos=4 right-column right-indent font-larger aligned-line shorter-tail line-double-space line-space numbered-heading1 above-double-space above-line-space
B-Body	In order to get an empirical basis for modeling	page=1 xpos=5 ypos=5 right-column full-justified aligned-line longer-tail line-double-space line-space headchar-capital
I-Body	face-to-face grounding, and implementing an ECA,	page=1 xpos=5 ypos=5 right-column full-justified aligned-line headchar-lower tailchar-comma
E-Body	we analyzed conversational data in two conditions.	page=1 xpos=5 ypos=5 right-column right-indent aligned-line headchar-lower tailchar-period above-double-space above-line-space
B-SubsectionHeader	3.1 Experiment Design	page=1 xpos=5 ypos=5 right-column right-indent font-larger aligned-line shorter-tail line-double-space line-space numbered-heading2 above-double-space above-line-space
B-Body	Based on previous direction-giving tasks, students	page=1 xpos=5 ypos=6 right-column full-justified aligned-line longer-tail line-double-space line-space headchar-capital
I-Body	from two different universities gave directions to	page=1 xpos=5 ypos=6 right-column full-justified aligned-line headchar-lower
I-Body	campus locations to one another. Each pair had a	page=1 xpos=5 ypos=6 right-column full-justified aligned-line headchar-lower
I-Body	conversation in a (1) Face-to-face condition	page=1 xpos=5 ypos=6 right-column full-justified aligned-line headchar-lower
I-Body	(F2F): where two subjects sat with a map drawn	page=1 xpos=5 ypos=6 right-column full-justified aligned-line
I-Body	by the direction-giver sitting between them, and in	page=1 xpos=5 ypos=7 right-column full-justified aligned-line headchar-lower
I-Body	a (2) Shared Reference condition (SR): where an	page=1 xpos=5 ypos=7 right-column full-justified aligned-line string-reference itemization headchar-lower
I-Body	L-shaped screen between the subjects let them	page=1 xpos=5 ypos=7 right-column full-justified aligned-line headchar-capital
I-Body	share a map drawn by the direction-giver, but not	page=1 xpos=5 ypos=7 right-column full-justified aligned-line headchar-lower
E-Body	to see the other’s face or body.	page=1 xpos=5 ypos=7 right-column right-indent aligned-line shorter-tail headchar-lower tailchar-period
B-Body	Interactions between the subjects were video-	page=1 xpos=5 ypos=8 right-column left-indent indented-line longer-tail headchar-capital tailchar-hiphen
I-Body	recorded from four different angles, and combined	page=1 xpos=5 ypos=8 right-column full-justified hanged-line headchar-lower
E-Body	by a video mixer into synchronized video clips.	page=1 xpos=5 ypos=8 right-column right-indent aligned-line shorter-tail headchar-lower tailchar-period above-double-space above-line-space
B-SubsectionHeader	3.2 Data Coding	page=1 xpos=5 ypos=8 right-column right-indent font-larger aligned-line shorter-tail line-double-space line-space numbered-heading2 above-double-space above-line-space
B-Body	10 experiment sessions resulted in 10 dialogues per	page=1 xpos=5 ypos=9 right-column full-justified aligned-line longer-tail line-double-space line-space numbered-heading1
I-Body	condition (20 in total), transcribed as follows.	page=1 xpos=5 ypos=9 right-column right-indent aligned-line shorter-tail headchar-lower tailchar-period
B-Body	Coding verbal behaviors: As grounding oc-	page=1 xpos=5 ypos=9 right-column left-indent indented-line longer-tail headchar-capital tailchar-hiphen
I-Body	curs within a turn, which consists of consecutive	page=1 xpos=5 ypos=9 right-column full-justified hanged-line headchar-lower page-bottom
Table	__Table 1__	page=2 xpos=0 ypos=-1 left-column left-indent right-indent box page-top table-area
B-Caption	Table 1: NV statuses	page=2 xpos=1 ypos=1 left-column left-indent right-indent font-smallest indented-line shorter-tail string-table headchar-capital above-double-space above-line-space
Table	__Table 2__	page=2 xpos=0 ypos=1 left-column left-indent right-indent box hanged-line longer-tail line-double-space line-space table-area above-line-space
B-Caption	Table 2: Salient transitions	page=2 xpos=1 ypos=3 left-column left-indent right-indent font-smallest indented-line shorter-tail line-space string-table headchar-capital above-double-space above-line-space
I-Body	utterances by a speaker, following [13] we token-	page=2 xpos=0 ypos=3 left-column full-justified hanged-line longer-tail line-double-space line-space headchar-lower tailchar-hiphen
I-Body	ized a turn into utterance units (UU), correspond-	page=2 xpos=0 ypos=3 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	ing to a single intonational phrase [14]. Each UU	page=2 xpos=0 ypos=3 left-column full-justified aligned-line headchar-lower
I-Body	was categorized using the DAMSL coding scheme	page=2 xpos=0 ypos=4 left-column full-justified aligned-line headchar-lower
I-Body	[15]. In the statistical analysis, we concentrated on	page=2 xpos=0 ypos=4 left-column full-justified aligned-line
I-Body	the following four categories with regular occur-	page=2 xpos=0 ypos=4 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	rence in our data: Acknowledgement, Answer, In-	page=2 xpos=0 ypos=4 left-column full-justified aligned-line string-acknowledgement headchar-lower tailchar-hiphen
E-Body	formation request (Info-req), and Assertion.	page=2 xpos=0 ypos=4 left-column right-indent aligned-line shorter-tail headchar-lower tailchar-period
B-Body	Coding nonverbal behaviors: Based on previ-	page=2 xpos=0 ypos=5 left-column left-indent indented-line longer-tail headchar-capital tailchar-hiphen
I-Body	ous studies, four types of behaviors were coded:	page=2 xpos=0 ypos=5 left-column right-indent hanged-line shorter-tail headchar-lower tailchar-colon above-line-space
B-Listitem	Gaze At Partner (gP): Looking at the partner’s	page=2 xpos=0 ypos=5 left-column left-indent indented-line longer-tail line-space headchar-capital
I-Listitem	eyes, eye region, or face.	page=2 xpos=0 ypos=5 left-column left-indent right-indent indented-line shorter-tail headchar-lower tailchar-period
B-Listitem	Gaze At Map (gM): Looking at the map	page=2 xpos=0 ypos=5 left-column left-indent right-indent hanged-line longer-tail headchar-capital
B-Listitem	Gaze Elsewhere (gE): Looking away elsewhere	page=2 xpos=0 ypos=6 left-column centered left-indent right-indent aligned-line longer-tail headchar-capital
B-Listitem	Head nod (Nod): Head moves up and down in a	page=2 xpos=0 ypos=6 left-column left-indent aligned-line longer-tail headchar-capital
I-Listitem	single continuous movement on a vertical axis,	page=2 xpos=0 ypos=6 left-column left-indent indented-line headchar-lower tailchar-comma
I-Listitem	but eyes do not go above the horizontal axis.	page=2 xpos=0 ypos=6 left-column left-indent right-indent aligned-line shorter-tail headchar-lower tailchar-period above-line-space
B-Body	By combining Gaze and Nod, six complex catego-	page=2 xpos=0 ypos=6 left-column full-justified hanged-line longer-tail line-space headchar-capital tailchar-hiphen
I-Body	ries (ex. gP with nod, gP without nod, etc) are gen-	page=2 xpos=0 ypos=7 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	erated. In what follows, however, we analyze only	page=2 xpos=0 ypos=7 left-column full-justified aligned-line headchar-lower
I-Body	categories with more than 10 instances. In order to	page=2 xpos=0 ypos=7 left-column full-justified aligned-line headchar-lower
I-Body	analyze dyadic behavior, 16 combinations of the	page=2 xpos=0 ypos=7 left-column full-justified aligned-line headchar-lower
I-Body	nonverbal behaviors are defined, as shown in Table	page=2 xpos=0 ypos=7 left-column full-justified aligned-line headchar-lower
I-Body	1. Thus, gP/gM stands for a combination of	page=2 xpos=0 ypos=8 left-column full-justified aligned-line itemization
E-Body	speaker gaze at partner and listener gaze at map.	page=2 xpos=0 ypos=8 left-column right-indent aligned-line shorter-tail headchar-lower tailchar-period above-double-space above-line-space
B-BlockHeader	Results	page=2 xpos=0 ypos=8 left-column right-indent aligned-line shorter-tail line-double-space line-space headchar-capital above-double-space above-line-space
B-Body	We examine differences between the F2F and SR	page=2 xpos=0 ypos=8 left-column full-justified aligned-line longer-tail line-double-space line-space headchar-capital
I-Body	conditions, correlate verbal and nonverbal behav-	page=2 xpos=0 ypos=9 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	iors within those conditions, and finally look at	page=2 xpos=0 ypos=9 left-column full-justified aligned-line headchar-lower
E-Body	correlations between speaker and listener behavior.	page=2 xpos=0 ypos=9 left-column right-indent aligned-line headchar-lower tailchar-period column-bottom
B-Body	Basic Statistics: The analyzed corpus consists	page=2 xpos=5 ypos=0 right-column left-indent column-top headchar-capital
I-Body	of 1088 UUs for F2F, and 1145 UUs for SR. The	page=2 xpos=5 ypos=0 right-column full-justified hanged-line headchar-lower
I-Body	mean length of conversations in F2F is 3.24 min-	page=2 xpos=5 ypos=0 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	utes, and in SR is 3.78 minutes (t(7)=-1.667 p<.07	page=2 xpos=5 ypos=0 right-column full-justified aligned-line headchar-lower
I-Body	(one-tail)). The mean length of utterances in F2F	page=2 xpos=5 ypos=0 right-column full-justified aligned-line
I-Body	(5.26 words per UU) is significantly longer than in	page=2 xpos=5 ypos=0 right-column full-justified aligned-line
I-Body	SR (4.43 words per UU) (t(7)=3.389 p< .01 (one-	page=2 xpos=5 ypos=1 right-column full-justified aligned-line headchar-capital tailchar-hiphen
