B-Header	Proceedings of HLT-NAACL 2003	page=0 xpos=6 ypos=0 right-column left-indent font-smallest page-top year headchar-capital
I-Body	the generated sentences need to be syntactically well-	page=0 xpos=0 ypos=9 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	formed and need to retain the most salient information of	page=0 xpos=0 ypos=9 left-column full-justified aligned-line headchar-lower column-bottom
I-Body	the original document. For example a sentence extraction	page=0 xpos=5 ypos=3 right-column full-justified column-top headchar-lower
I-Body	system might choose a sentence like:	page=0 xpos=5 ypos=3 right-column right-indent aligned-line shorter-tail headchar-lower tailchar-colon above-double-space above-line-space
B-Quote	The UNIX operating system, with implementations	page=0 xpos=5 ypos=3 right-column centered left-indent right-indent font-smallest indented-line longer-tail line-double-space line-space headchar-capital above-line-space
I-Quote	from Apples to Crays, appears to have the advan-	page=0 xpos=5 ypos=3 right-column centered left-indent right-indent font-smallest aligned-line line-space headchar-lower tailchar-hiphen above-line-space
I-Quote	tage.	page=0 xpos=5 ypos=4 right-column left-indent right-indent font-smallest aligned-line shorter-tail line-space headchar-lower tailchar-period above-double-space above-line-space
I-Body	from a document, which could be condensed as:	page=0 xpos=5 ypos=4 right-column right-indent hanged-line longer-tail line-double-space line-space headchar-lower tailchar-colon above-double-space above-line-space
B-Quote	UNIX appears to have the advantage.	page=0 xpos=5 ypos=4 right-column left-indent right-indent font-smallest indented-line shorter-tail line-double-space line-space headchar-capital tailchar-period above-double-space above-line-space
B-Body	In the approach of Witbrock and Mittal (1999), selec-	page=0 xpos=5 ypos=4 right-column left-indent hanged-line longer-tail line-double-space line-space year headchar-capital tailchar-hiphen
I-Body	tion and ordering of summary terms is based on bag-	page=0 xpos=5 ypos=5 right-column full-justified hanged-line headchar-lower tailchar-hiphen
I-Body	of-words models and n-grams. Such models may well	page=0 xpos=5 ypos=5 right-column full-justified aligned-line headchar-lower
I-Body	produce summaries that are indicative of the original’s	page=0 xpos=5 ypos=5 right-column full-justified aligned-line headchar-lower
I-Body	content; however, n-gram models seem to be insufficient	page=0 xpos=5 ypos=5 right-column full-justified aligned-line headchar-lower
I-Body	to guarantee grammatical well-formedness of the system	page=0 xpos=5 ypos=5 right-column full-justified aligned-line headchar-lower
I-Body	output. To overcome this problem, linguistic parsing and	page=0 xpos=5 ypos=6 right-column full-justified aligned-line headchar-lower
I-Body	generation systems are used in the sentence condensation	page=0 xpos=5 ypos=6 right-column full-justified aligned-line headchar-lower
I-Body	approaches of Knight and Marcu (2000) and Jing (2000).	page=0 xpos=5 ypos=6 right-column full-justified aligned-line year headchar-lower tailchar-period
I-Body	In these approaches, decisions about which material to in-	page=0 xpos=5 ypos=6 right-column full-justified aligned-line headchar-capital tailchar-hiphen
I-Body	clude/delete in the sentence summaries do not rely on rel-	page=0 xpos=5 ypos=6 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	ative frequency information on words, but rather on prob-	page=0 xpos=5 ypos=6 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	ability models of subtree deletions that are learned from	page=0 xpos=5 ypos=7 right-column full-justified aligned-line headchar-lower
E-Body	a corpus of parses for sentences and their summaries.	page=0 xpos=5 ypos=7 right-column right-indent aligned-line shorter-tail itemization headchar-lower tailchar-period
B-Body	A related area where linguistic parsing systems	page=0 xpos=5 ypos=7 right-column left-indent indented-line longer-tail headchar-capital
I-Body	have been applied successfully is sentence simplifica-	page=0 xpos=5 ypos=7 right-column full-justified hanged-line headchar-lower tailchar-hiphen
I-Body	tion. Grefenstette (1998) presented a sentence reduction	page=0 xpos=5 ypos=7 right-column full-justified aligned-line year headchar-lower
I-Body	method that is based on finite-state technology for lin-	page=0 xpos=5 ypos=7 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	guistic markup and selection, and Carroll et al. (1998)	page=0 xpos=5 ypos=8 right-column full-justified aligned-line year headchar-lower
I-Body	present a sentence simplification system based on linguis-	page=0 xpos=5 ypos=8 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	tic parsing. However, these approaches do not employ	page=0 xpos=5 ypos=8 right-column full-justified aligned-line headchar-lower
I-Body	statistical learning techniques to disambiguate simplifi-	page=0 xpos=5 ypos=8 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	cation decisions, but iteratively apply symbolic reduction	page=0 xpos=5 ypos=8 right-column full-justified aligned-line headchar-lower
E-Body	rules, producing a single output for each sentence.	page=0 xpos=5 ypos=8 right-column right-indent aligned-line shorter-tail headchar-lower tailchar-period
B-Body	The goal of our approach is to apply the fine-grained	page=0 xpos=5 ypos=9 right-column left-indent indented-line longer-tail headchar-capital
I-Body	tools for stochastic Lexical-Functional Grammar (LFG)	page=0 xpos=5 ypos=9 right-column full-justified hanged-line headchar-lower
I-Body	parsing to the task of sentence condensation. The system	page=0 xpos=5 ypos=9 right-column full-justified aligned-line headchar-lower
I-Body	presented in this paper is conceptualized as a tool that can	page=0 xpos=5 ypos=9 right-column full-justified aligned-line headchar-lower
I-Body	be used as a standalone system for sentence condensation	page=0 xpos=5 ypos=9 right-column full-justified aligned-line headchar-lower page-bottom
I-Body	or simplification, or in combination with sentence extrac-	page=1 xpos=0 ypos=0 left-column full-justified page-top headchar-lower tailchar-hiphen
I-Body	tion for text-summarization beyond the sentence-level. In	page=1 xpos=0 ypos=0 left-column full-justified aligned-line headchar-lower
I-Body	our system, to produce a condensed version of a sen-	page=1 xpos=0 ypos=0 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	tence, the sentence is first parsed using a broad-coverage	page=1 xpos=0 ypos=0 left-column full-justified aligned-line headchar-lower
I-Body	LFG grammar for English. The parser produces a set of	page=1 xpos=0 ypos=0 left-column full-justified aligned-line headchar-capital
I-Body	functional (f )-structures for an ambiguous sentence in a	page=1 xpos=0 ypos=0 left-column full-justified aligned-line headchar-lower
I-Body	packed format. It presents these to the transfer compo-	page=1 xpos=0 ypos=1 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	nent in a single packed data structure that represents in	page=1 xpos=0 ypos=1 left-column full-justified aligned-line headchar-lower
I-Body	one place the substructures shared by several different in-	page=1 xpos=0 ypos=1 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	terpretations. The transfer component operates on these	page=1 xpos=0 ypos=1 left-column full-justified aligned-line headchar-lower
I-Body	packed representations and modifies the parser output to	page=1 xpos=0 ypos=1 left-column full-justified aligned-line headchar-lower
I-Body	produce reduced f -structures. The reduced f -structures	page=1 xpos=0 ypos=2 left-column full-justified aligned-line headchar-lower
I-Body	are then filtered by the generator to determine syntac-	page=1 xpos=0 ypos=2 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	tic well-formedness. A stochastic disambiguator using a	page=1 xpos=0 ypos=2 left-column full-justified aligned-line headchar-lower
I-Body	maximum entropy model is trained on parsed and manu-	page=1 xpos=0 ypos=2 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	ally disambiguated f -structures for pairs of sentences and	page=1 xpos=0 ypos=2 left-column full-justified aligned-line headchar-lower
I-Body	their condensations. Using the disambiguator, the string	page=1 xpos=0 ypos=2 left-column full-justified aligned-line headchar-lower
I-Body	generated from the most probable reduced f -structure	page=1 xpos=0 ypos=3 left-column full-justified aligned-line headchar-lower
I-Body	produced by the transfer system is chosen. In contrast	page=1 xpos=0 ypos=3 left-column full-justified aligned-line headchar-lower
I-Body	to the approaches mentioned above, our system guaran-	page=1 xpos=0 ypos=3 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	tees the grammaticality of generated strings through the	page=1 xpos=0 ypos=3 left-column full-justified aligned-line headchar-lower
I-Body	use of a constraint-based generator for LFG which uses	page=1 xpos=0 ypos=3 left-column full-justified aligned-line headchar-lower
I-Body	a slightly tighter version of the grammar than is used by	page=1 xpos=0 ypos=4 left-column full-justified aligned-line itemization headchar-lower
I-Body	the parser. As shown in an experimental evaluation, sum-	page=1 xpos=0 ypos=4 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	marization quality of our system is high, due to the com-	page=1 xpos=0 ypos=4 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	bination of linguistically fine-grained analysis tools and	page=1 xpos=0 ypos=4 left-column full-justified aligned-line headchar-lower
E-Body	expressive stochastic disambiguation models.	page=1 xpos=0 ypos=4 left-column right-indent aligned-line shorter-tail headchar-lower tailchar-period above-double-space above-line-space
B-Body	A second goal of our approach is to apply the standard	page=1 xpos=0 ypos=5 left-column left-indent indented-line longer-tail line-double-space line-space headchar-capital
I-Body	evaluation methods for parsing to an automatic evaluation	page=1 xpos=0 ypos=5 left-column full-justified hanged-line headchar-lower
I-Body	of summarization quality for sentence condensation sys-	page=1 xpos=0 ypos=5 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	tems. Instead of deploying costly and non-reusable hu-	page=1 xpos=0 ypos=5 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	man evaluation, or using automatic evaluation methods	page=1 xpos=0 ypos=5 left-column full-justified aligned-line headchar-lower
I-Body	based on word error rate or n-gram match, summariza-	page=1 xpos=0 ypos=5 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	tion quality can be evaluated directly and automatically	page=1 xpos=0 ypos=6 left-column full-justified aligned-line headchar-lower
I-Body	by matching the reduced f -structures that were produced	page=1 xpos=0 ypos=6 left-column full-justified aligned-line headchar-lower
I-Body	by the system against manually selected f -structures that	page=1 xpos=0 ypos=6 left-column full-justified aligned-line headchar-lower
I-Body	were produced by parsing a set of manually created con-	page=1 xpos=0 ypos=6 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	densations. Such an evaluation only requires human labor	page=1 xpos=0 ypos=6 left-column full-justified aligned-line headchar-lower
I-Body	for the construction and manual structural disambigua-	page=1 xpos=0 ypos=7 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	tion of a reusable gold standard test set. Matching against	page=1 xpos=0 ypos=7 left-column full-justified aligned-line headchar-lower
I-Body	the test set can be done automatically and rapidly, and	page=1 xpos=0 ypos=7 left-column full-justified aligned-line headchar-lower
I-Body	is repeatable for development purposes and system com-	page=1 xpos=0 ypos=7 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	parison. As shown in an experimental evaluation, a close	page=1 xpos=0 ypos=7 left-column full-justified aligned-line headchar-lower
I-Body	correspondence can be established for rankings produced	page=1 xpos=0 ypos=8 left-column full-justified aligned-line headchar-lower
I-Body	by the f -structure based automatic evaluation and a man-	page=1 xpos=0 ypos=8 left-column full-justified aligned-line headchar-lower tailchar-hiphen
E-Body	ual evaluation of generated strings.	page=1 xpos=0 ypos=8 left-column right-indent aligned-line shorter-tail headchar-lower tailchar-period above-blank-line above-double-space above-line-space
B-SectionHeader	2 Statistical Sentence Condensation in the	page=1 xpos=0 ypos=8 left-column right-indent font-largest aligned-line longer-tail line-blank-line line-double-space line-space numbered-heading1
I-SectionHeader	LFG Framework	page=1 xpos=0 ypos=9 left-column left-indent right-indent font-largest indented-line shorter-tail headchar-capital above-blank-line above-double-space above-line-space
B-Body	In this section, each of the system components will be	page=1 xpos=0 ypos=9 left-column full-justified hanged-line longer-tail line-blank-line line-double-space line-space headchar-capital
E-Body	described in more detail.	page=1 xpos=0 ypos=9 left-column right-indent aligned-line shorter-tail headchar-lower tailchar-period column-bottom
B-SubsectionHeader	2.1 Parsing and Transfer	page=1 xpos=5 ypos=0 right-column right-indent column-top numbered-heading2 above-double-space above-line-space
B-Body	In this project, a broad-coverage LFG gram-	page=1 xpos=5 ypos=0 right-column right-over aligned-line longer-tail line-double-space line-space headchar-capital tailchar-hiphen
I-Body	mar and parser for English was employed (see	page=1 xpos=5 ypos=0 right-column right-over aligned-line headchar-lower
I-Body	Riezler et al. (2002)). The parser produces a set of	page=1 xpos=5 ypos=0 right-column right-over aligned-line year headchar-capital
I-Body	context-free constituent (c-)structures and associated	page=1 xpos=5 ypos=0 right-column right-over aligned-line headchar-lower
I-Body	functional (f -)structures for each input sentence, repre-	page=1 xpos=5 ypos=0 right-column right-over aligned-line headchar-lower tailchar-hiphen
I-Body	sented in packed form (see Maxwell and Kaplan (1989)).	page=1 xpos=5 ypos=1 right-column right-over aligned-line year headchar-lower tailchar-period
I-Body	For sentence condensation we are only interested in the	page=1 xpos=5 ypos=1 right-column right-over aligned-line headchar-capital
I-Body	predicate-argument structures encoded in f -structures.	page=1 xpos=5 ypos=1 right-column right-over aligned-line headchar-lower tailchar-period
I-Body	For example, Fig. 1 shows an f -structure manually	page=1 xpos=5 ypos=1 right-column right-over aligned-line headchar-capital
I-Body	selected out of the 40 f -structures for the sentence:	page=1 xpos=5 ypos=1 right-column right-indent aligned-line shorter-tail headchar-lower tailchar-colon above-double-space above-line-space
B-Quote	A prototype is ready for testing, and Leary hopes to	page=1 xpos=5 ypos=2 right-column left-indent font-smallest indented-line line-double-space line-space headchar-capital
I-Quote	set requirements for a full system by the end of the	page=1 xpos=5 ypos=2 right-column left-indent font-smallest aligned-line headchar-lower
I-Quote	year.	page=1 xpos=5 ypos=2 right-column left-indent right-indent font-smallest aligned-line shorter-tail headchar-lower tailchar-period above-double-space above-line-space
B-Body	The transfer component for the sentence condensation	page=1 xpos=5 ypos=2 right-column left-indent right-over hanged-line longer-tail line-double-space line-space headchar-capital
I-Body	system is based on a component previously used in a ma-	page=1 xpos=5 ypos=3 right-column right-over hanged-line headchar-lower tailchar-hiphen
I-Body	chine translation system (see Frank (1999)). It consists	page=1 xpos=5 ypos=3 right-column right-over aligned-line year headchar-lower
I-Body	of an ordered set of rules that rewrite one f -structure	page=1 xpos=5 ypos=3 right-column right-over aligned-line headchar-lower
I-Body	into another. Structures are broken down into flat lists	page=1 xpos=5 ypos=3 right-column right-over aligned-line headchar-lower
I-Body	of facts, and rules may add, delete, or change individ-	page=1 xpos=5 ypos=3 right-column right-over aligned-line headchar-lower tailchar-hiphen
I-Body	ual facts. Rules may be optional or obligatory. In the case	page=1 xpos=5 ypos=3 right-column right-over aligned-line headchar-lower
I-Body	of optional rules, transfer of a single input structure may	page=1 xpos=5 ypos=4 right-column right-over aligned-line headchar-lower
I-Body	lead to multiple alternate output structures. The transfer	page=1 xpos=5 ypos=4 right-column right-over aligned-line headchar-lower
I-Body	component is designed to operate on packed input from	page=1 xpos=5 ypos=4 right-column right-over aligned-line headchar-lower
I-Body	the parser and can also produce packed representations	page=1 xpos=5 ypos=4 right-column right-over aligned-line headchar-lower
I-Body	of the condensation alternatives, using methods adapted	page=1 xpos=5 ypos=4 right-column right-over aligned-line headchar-lower
E-Body	from parse packing. <sup>1</sup>	page=1 xpos=5 ypos=5 right-column right-indent font-largest aligned-line shorter-tail headchar-lower
B-Body	An example rule that (optionally) removes an adjunct	page=1 xpos=5 ypos=5 right-column left-indent right-over indented-line longer-tail headchar-capital
I-Body	is shown below:	page=1 xpos=5 ypos=5 right-column right-indent hanged-line shorter-tail headchar-lower tailchar-colon above-double-space above-line-space
B-Listitem	+adjunct(X,Y), in-set(Z,Y) ?=>	page=1 xpos=5 ypos=5 right-column right-indent font-smallest aligned-line longer-tail line-double-space line-space
I-Listitem	delete-node(Z,r1), rule-trace(r1,del(Z,X)).	page=1 xpos=5 ypos=5 right-column right-over font-smallest aligned-line longer-tail headchar-lower tailchar-period above-double-space above-line-space
B-Body	This rule eliminates an adjunct, Z, by deleting the fact that	page=1 xpos=5 ypos=6 right-column right-over aligned-line shorter-tail line-double-space line-space headchar-capital
I-Body	Z is contained within the set of adjuncts, Y, associated	page=1 xpos=5 ypos=6 right-column right-over aligned-line headchar-capital
I-Body	with the expression X. The + before the adjunct(X,Y)	page=1 xpos=5 ypos=6 right-column right-over aligned-line headchar-lower
I-Body	fact marks this fact as one that needs to be present for the	page=1 xpos=5 ypos=6 right-column right-over aligned-line headchar-lower
I-Body	rule to be applied, but which is left unaltered by the rule	page=1 xpos=5 ypos=6 right-column right-over aligned-line headchar-lower
I-Body	application. The in-set(Z,Y) fact is deleted. Two	page=1 xpos=5 ypos=7 right-column right-over aligned-line headchar-lower
I-Body	new facts are added. delete-node(Z,r1) indicates	page=1 xpos=5 ypos=7 right-column right-over aligned-line headchar-lower
I-Body	that the structure rooted at node Z is to be deleted, and	page=1 xpos=5 ypos=7 right-column right-over aligned-line headchar-lower
I-Body	rule-trace(r1,del(Z,X)) adds a trace of this	page=1 xpos=5 ypos=7 right-column right-over aligned-line headchar-lower
I-Body	rule to an accumulating history of rule applications. This	page=1 xpos=5 ypos=7 right-column right-over aligned-line headchar-lower
I-Body	history records the relation of transferred f -structures to	page=1 xpos=5 ypos=7 right-column right-over aligned-line headchar-lower
I-Body	the original f -structure and is available for stochastic dis-	page=1 xpos=5 ypos=8 right-column right-over aligned-line headchar-lower tailchar-hiphen
E-Body	ambiguation.	page=1 xpos=5 ypos=8 right-column right-indent aligned-line shorter-tail headchar-lower tailchar-period
B-Body	Rules used in the sentence condensation transfer sys-	page=1 xpos=5 ypos=8 right-column left-indent right-over indented-line longer-tail headchar-capital tailchar-hiphen
I-Body	tem include the optional deletion of all intersective ad-	page=1 xpos=5 ypos=8 right-column right-over hanged-line headchar-lower tailchar-hiphen
I-Body	juncts (e.g., He slept in the bed. can become He slept.,	page=1 xpos=5 ypos=8 right-column right-over aligned-line headchar-lower tailchar-comma
I-Body	but He did not sleep. cannot become He did sleep. or He	page=1 xpos=5 ypos=9 right-column right-over aligned-line headchar-lower above-double-space above-line-space
B-Footnote	<sup>1</sup> The packing feature of the transfer component could not	page=1 xpos=5 ypos=9 right-column left-indent right-over font-largest indented-line line-double-space line-space headchar-super
I-Footnote	be employed in these experiments since the current interface	page=1 xpos=5 ypos=9 right-column right-over font-smallest hanged-line headchar-lower
I-Footnote	to the generator and stochastic disambiguation component still	page=1 xpos=5 ypos=9 right-column right-over font-smallest aligned-line headchar-lower
I-Footnote	requires unpacked representations.	page=1 xpos=5 ypos=9 right-column right-indent font-smallest aligned-line shorter-tail headchar-lower tailchar-period page-bottom
Figure	__Figure 1__	page=2 xpos=1 ypos=-13 single-column left-indent right-indent box page-top figure-area above-blank-line above-double-space above-line-space
B-Caption	Figure 1: F -structure for non-condensed sentence.	page=2 xpos=2 ypos=0 single-column left-indent right-indent indented-line shorter-tail line-blank-line line-double-space line-space string-figure headchar-capital tailchar-period column-bottom above-blank-line above-double-space above-line-space
I-Body	slept.), the optional deletion of parts of coordinate struc-	page=2 xpos=0 ypos=1 left-column full-justified column-top line-blank-line line-double-space line-space headchar-lower tailchar-hiphen
I-Body	tures (e.g., They laughed and giggled. can become They	page=2 xpos=0 ypos=1 left-column full-justified aligned-line headchar-lower
I-Body	giggled.), and certain simplifications (e.g. It is clear that	page=2 xpos=0 ypos=1 left-column full-justified aligned-line headchar-lower
I-Body	the earth is round. can become The earth is round. but	page=2 xpos=0 ypos=2 left-column full-justified aligned-line headchar-lower
I-Body	It seems that he is asleep. cannot become He is asleep.).	page=2 xpos=0 ypos=2 left-column full-justified aligned-line headchar-capital tailchar-period
I-Body	For example, one possible post-transfer output of the sen-	page=2 xpos=0 ypos=3 left-column full-justified aligned-line headchar-capital tailchar-hiphen
E-Body	tence in Fig. 1 is shown in Fig. 2.	page=2 xpos=0 ypos=3 left-column right-indent aligned-line shorter-tail headchar-lower tailchar-period above-blank-line above-double-space above-line-space
B-SubsectionHeader	2.2 Stochastic Selection and Generation	page=2 xpos=0 ypos=4 left-column right-indent aligned-line longer-tail line-blank-line line-double-space line-space numbered-heading2 above-double-space above-line-space
B-Body	The transfer rules are independent of the grammar and are	page=2 xpos=0 ypos=5 left-column full-justified aligned-line longer-tail line-double-space line-space headchar-capital
I-Body	not constrained to preserve the grammaticality or well-	page=2 xpos=0 ypos=5 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	formedness of the reduced f-structures. Some of the re-	page=2 xpos=0 ypos=5 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	duced structures therefore may not correspond to any En-	page=2 xpos=0 ypos=6 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	glish sentence, and these are eliminated from future con-	page=2 xpos=0 ypos=6 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	sideration by using the generator as a filter. The filter-	page=2 xpos=0 ypos=7 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	ing is done by running each transferred structure through	page=2 xpos=0 ypos=7 left-column full-justified aligned-line headchar-lower
I-Body	the generator to see whether it produces an output string.	page=2 xpos=0 ypos=8 left-column full-justified aligned-line headchar-lower tailchar-period
I-Body	If it does not, the structure is rejected. For example, for	page=2 xpos=0 ypos=8 left-column full-justified aligned-line headchar-capital
I-Body	the f -structure in Fig. 1, the transfer system proposed	page=2 xpos=0 ypos=8 left-column full-justified aligned-line headchar-lower
I-Body	32 possible reductions. After filtering these structures by	page=2 xpos=0 ypos=9 left-column full-justified aligned-line numbered-heading1
I-Body	generation, 16 reduced f -structures comprising possible	page=2 xpos=0 ypos=9 left-column full-justified aligned-line headchar-lower column-bottom
Figure	__Figure 2__	page=2 xpos=5 ypos=2 right-column left-indent right-over box column-top figure-area above-blank-line above-double-space above-line-space
B-Body	Figure 2: Gold standard f -structure reduction.	page=2 xpos=5 ypos=8 right-column left-indent indented-line shorter-tail line-blank-line line-double-space line-space string-figure headchar-capital tailchar-period page-bottom
I-Body	condensations of the input sentence survive. The 16 well-	page=3 xpos=0 ypos=0 left-column full-justified page-top headchar-lower tailchar-hiphen
I-Body	formed structures correspond to the following strings that	page=3 xpos=0 ypos=0 left-column full-justified aligned-line headchar-lower
I-Body	were outputted by the generator (note that a single struc-	page=3 xpos=0 ypos=0 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	ture may correspond to more than one string and a given	page=3 xpos=0 ypos=0 left-column full-justified aligned-line headchar-lower
