B-Header	Proceedings of HLT-NAACL 2003	page=0 xpos=6 ypos=0 right-column left-indent font-smallest page-top year headchar-capital above-line-space
I-Abstract	training data. In this paper, we present a	page=0 xpos=0 ypos=4 left-column centered left-indent right-indent aligned-line headchar-lower
I-Abstract	summarization system that uses the web as the	page=0 xpos=0 ypos=4 left-column centered left-indent right-indent aligned-line headchar-lower
I-Abstract	source of training data. The procedure involves	page=0 xpos=0 ypos=4 left-column centered left-indent right-indent aligned-line headchar-lower
I-Abstract	structuring the articles downloaded from	page=0 xpos=0 ypos=4 left-column centered left-indent right-indent aligned-line headchar-lower
I-Abstract	various websites, building adequate corpora of	page=0 xpos=0 ypos=5 left-column centered left-indent right-indent aligned-line headchar-lower
I-Abstract	(summary, text) and (extract, text) pairs,	page=0 xpos=0 ypos=5 left-column centered left-indent right-indent aligned-line tailchar-comma
I-Abstract	training on positive and negative data, and	page=0 xpos=0 ypos=5 left-column centered left-indent right-indent aligned-line headchar-lower
I-Abstract	automatically learning to perform the task of	page=0 xpos=0 ypos=5 left-column centered left-indent right-indent aligned-line headchar-lower
I-Abstract	extraction-based summarization at a level	page=0 xpos=0 ypos=5 left-column centered left-indent right-indent aligned-line headchar-lower
I-Abstract	comparable to the best DUC systems.	page=0 xpos=0 ypos=5 left-column left-indent right-indent aligned-line shorter-tail headchar-lower tailchar-period above-blank-line above-double-space above-line-space
B-SectionHeader	1 Introduction	page=0 xpos=0 ypos=6 left-column right-indent font-largest hanged-line shorter-tail line-blank-line line-double-space line-space numbered-heading1 above-blank-line above-double-space above-line-space
B-Body	The task of an extraction-based text summarizer is to	page=0 xpos=0 ypos=6 left-column left-indent indented-line longer-tail line-blank-line line-double-space line-space headchar-capital
I-Body	select from a text the most important sentences that are	page=0 xpos=0 ypos=7 left-column full-justified hanged-line headchar-lower
I-Body	in size a small percentage of the original text yet still as	page=0 xpos=0 ypos=7 left-column full-justified aligned-line headchar-lower
I-Body	informative as the full text (Kupiec et al., 1995).	page=0 xpos=0 ypos=7 left-column full-justified aligned-line year headchar-lower tailchar-period
I-Body	Typically, trainable summarization systems characterize	page=0 xpos=0 ypos=7 left-column full-justified aligned-line headchar-capital
I-Body	each sentence according to a set of predefined features	page=0 xpos=0 ypos=7 left-column full-justified aligned-line headchar-lower
I-Body	and then learn from training material which feature	page=0 xpos=0 ypos=7 left-column full-justified aligned-line headchar-lower
I-Body	combinations are indicative of good extract sentences.	page=0 xpos=0 ypos=8 left-column full-justified aligned-line headchar-lower tailchar-period
I-Body	In order to learn the characteristics of indicative	page=0 xpos=0 ypos=8 left-column full-justified aligned-line headchar-capital
I-Body	summarizing sentences, a large enough collection of	page=0 xpos=0 ypos=8 left-column full-justified aligned-line headchar-lower
E-Body	(summary, text) pairs must be provided to the system.	page=0 xpos=0 ypos=8 left-column right-indent aligned-line shorter-tail tailchar-period
B-Body	Research in automated text summarization is	page=0 xpos=0 ypos=8 left-column left-indent indented-line longer-tail headchar-capital
I-Body	constantly troubled by the difficulty of finding or	page=0 xpos=0 ypos=8 left-column full-justified hanged-line headchar-lower
I-Body	constructing large collections of (extract, text) pairs.	page=0 xpos=0 ypos=9 left-column full-justified aligned-line headchar-lower tailchar-period
I-Body	Usually, (abstract, text) pairs are available and can be	page=0 xpos=0 ypos=9 left-column full-justified aligned-line headchar-capital
I-Body	easily obtained (though not in sufficient quantity to	page=0 xpos=0 ypos=9 left-column full-justified aligned-line headchar-lower
I-Body	support fully automated learning for large domains). But	page=0 xpos=0 ypos=9 left-column full-justified aligned-line headchar-lower
I-Body	abstract sentences are not identical to summary	page=0 xpos=0 ypos=9 left-column full-justified aligned-line headchar-lower column-bottom
I-Body	sentences and hence make direct comparison difficult.	page=0 xpos=5 ypos=2 right-column full-justified column-top headchar-lower tailchar-period
I-Body	Therefore, some algorithms have been introduced to	page=0 xpos=5 ypos=3 right-column full-justified aligned-line headchar-capital
I-Body	generate (extract, text) pairs expanded from (abstract,	page=0 xpos=5 ypos=3 right-column full-justified aligned-line headchar-lower tailchar-comma
E-Body	text) inputs (Marcu, 1999).	page=0 xpos=5 ypos=3 right-column right-indent aligned-line shorter-tail year headchar-lower tailchar-period
B-Body	The explosion of the World Wide Web has made	page=0 xpos=5 ypos=3 right-column left-indent indented-line longer-tail headchar-capital
I-Body	accessible billions of documents and newspaper articles.	page=0 xpos=5 ypos=3 right-column full-justified hanged-line headchar-lower tailchar-period
I-Body	If one could automatically find short forms of longer	page=0 xpos=5 ypos=3 right-column full-justified aligned-line headchar-capital
I-Body	documents, one could build large training sets over	page=0 xpos=5 ypos=4 right-column full-justified aligned-line headchar-lower
I-Body	time. However, one cannot today retrieve short and long	page=0 xpos=5 ypos=4 right-column full-justified aligned-line headchar-lower
E-Body	texts on the same topic directly.	page=0 xpos=5 ypos=4 right-column right-indent aligned-line shorter-tail headchar-lower tailchar-period
B-Body	News published on the Internet is an exception.	page=0 xpos=5 ypos=4 right-column left-indent indented-line longer-tail headchar-capital tailchar-period
I-Body	Although it is not ideally organized, the topic	page=0 xpos=5 ypos=4 right-column full-justified hanged-line headchar-capital
I-Body	orientation and temporal nature of news makes it	page=0 xpos=5 ypos=4 right-column full-justified aligned-line headchar-lower
I-Body	possible to impose an organization and thereby obtain a	page=0 xpos=5 ypos=5 right-column full-justified aligned-line headchar-lower
I-Body	training corpus on the same topic. We hypothesize that	page=0 xpos=5 ypos=5 right-column full-justified aligned-line headchar-lower
I-Body	weekly articles are sophisticated summaries of daily	page=0 xpos=5 ypos=5 right-column full-justified aligned-line headchar-lower
I-Body	ones, and monthly articles are summaries of weekly	page=0 xpos=5 ypos=5 right-column full-justified aligned-line headchar-lower
I-Body	ones, as shown in Figure 1. Under this hypothesis, how	page=0 xpos=5 ypos=5 right-column full-justified aligned-line headchar-lower
I-Body	accurate an extract summarizer can one train? In this	page=0 xpos=5 ypos=5 right-column full-justified aligned-line headchar-lower
I-Body	paper we first describe the corpus reorganization, then	page=0 xpos=5 ypos=6 right-column full-justified aligned-line headchar-lower
I-Body	in Section 3 the training data formulation and the	page=0 xpos=5 ypos=6 right-column full-justified aligned-line headchar-lower
I-Body	system, the system evaluation in Section 4, and finally	page=0 xpos=5 ypos=6 right-column full-justified aligned-line headchar-lower
E-Body	future work in Section 5.	page=0 xpos=5 ypos=6 right-column right-indent aligned-line shorter-tail headchar-lower tailchar-period above-double-space above-line-space
Figure	__Figure 1__	page=0 xpos=5 ypos=6 right-column left-indent right-indent box indented-line longer-tail line-double-space line-space figure-area above-double-space above-line-space
B-Caption	Figure 1. Corpus structure.	page=0 xpos=6 ypos=9 right-column left-indent right-indent indented-line shorter-tail line-double-space line-space string-figure headchar-capital tailchar-period page-bottom
B-SectionHeader	2 Corpus Construction	page=1 xpos=0 ypos=0 left-column right-indent font-largest page-top numbered-heading1 above-blank-line above-double-space above-line-space
B-SubsectionHeader	2.1 Download Initial Collection	page=1 xpos=0 ypos=0 left-column right-indent aligned-line longer-tail line-blank-line line-double-space line-space numbered-heading2 above-double-space above-line-space
B-Body	The Yahoo Full Coverage Collection (YFCC) was	page=1 xpos=0 ypos=0 left-column left-indent indented-line longer-tail line-double-space line-space headchar-capital
I-Body	downloaded from http://fullcoverage.yahoo.com during	page=1 xpos=0 ypos=0 left-column full-justified hanged-line headchar-lower
I-Body	December 2001. The full coverage texts were	page=1 xpos=0 ypos=1 left-column full-justified aligned-line year headchar-capital
I-Body	downloaded based on a snapshot of the links contained	page=1 xpos=0 ypos=1 left-column full-justified aligned-line headchar-lower
I-Body	in Yahoo Full Coverage at that time. A spider crawled	page=1 xpos=0 ypos=1 left-column full-justified aligned-line headchar-lower
I-Body	the top eight categories: U.S., World, Business,	page=1 xpos=0 ypos=1 left-column full-justified aligned-line headchar-lower tailchar-comma
I-Body	Technology, Science, Health, Entertainment, and	page=1 xpos=0 ypos=1 left-column full-justified aligned-line headchar-capital
I-Body	Sports. All news links in each category were saved in an	page=1 xpos=0 ypos=2 left-column full-justified aligned-line headchar-capital
I-Body	index page that contained the headline and its full text	page=1 xpos=0 ypos=2 left-column full-justified aligned-line headchar-lower
I-Body	URL. A page fetcher then downloaded all the pages	page=1 xpos=0 ypos=2 left-column full-justified aligned-line headchar-capital
E-Body	listed in the snapshot index file.	page=1 xpos=0 ypos=2 left-column right-indent aligned-line shorter-tail headchar-lower tailchar-period
B-Body	Under the eight categories, there are 463	page=1 xpos=0 ypos=2 left-column left-indent indented-line longer-tail headchar-capital
E-Body	subcategories, 216590 news articles.	page=1 xpos=0 ypos=2 left-column right-indent hanged-line shorter-tail headchar-lower tailchar-period above-blank-line above-double-space above-line-space
B-SubsectionHeader	2.2 Preprocessing	page=1 xpos=0 ypos=3 left-column right-indent aligned-line shorter-tail line-blank-line line-double-space line-space numbered-heading2 above-blank-line above-double-space above-line-space
B-Body	All the articles in the YFCC are preprocessed as	page=1 xpos=0 ypos=3 left-column left-indent indented-line longer-tail line-blank-line line-double-space line-space headchar-capital
I-Body	following. Each article is in the original raw html form	page=1 xpos=0 ypos=3 left-column full-justified hanged-line headchar-lower
I-Body	with actual contents buried in layers of irrelevant tags	page=1 xpos=0 ypos=4 left-column full-justified aligned-line headchar-lower
I-Body	and markings. Identifying the text body is a challenging	page=1 xpos=0 ypos=4 left-column full-justified aligned-line headchar-lower
I-Body	process (Finn et al., 2001). The system identifies the	page=1 xpos=0 ypos=4 left-column full-justified aligned-line year headchar-lower
I-Body	main body of the article using a set of retrieval	page=1 xpos=0 ypos=4 left-column full-justified aligned-line headchar-lower
I-Body	templates, and then further eliminates useless	page=1 xpos=0 ypos=4 left-column full-justified aligned-line headchar-lower
I-Body	information embedded in the main body by considering	page=1 xpos=0 ypos=4 left-column full-justified aligned-line headchar-lower
I-Body	each opening and closing tag set. For example, if the tag	page=1 xpos=0 ypos=5 left-column full-justified aligned-line headchar-lower
I-Body	name indicates the contents between the opening and	page=1 xpos=0 ypos=5 left-column full-justified aligned-line headchar-lower
I-Body	closing tags are images or just meta-info, the contents is	page=1 xpos=0 ypos=5 left-column full-justified aligned-line headchar-lower
E-Body	discarded.	page=1 xpos=0 ypos=5 left-column right-indent aligned-line shorter-tail headchar-lower tailchar-period
B-Body	The clean texts are then processed by a sentence	page=1 xpos=0 ypos=5 left-column left-indent indented-line longer-tail headchar-capital
I-Body	breaker, Lovin’s stemmer, a part-of-speech tagger, and	page=1 xpos=0 ypos=6 left-column full-justified hanged-line headchar-lower
E-Body	converted into standard XML form.	page=1 xpos=0 ypos=6 left-column right-indent aligned-line shorter-tail headchar-lower tailchar-period column-bottom
B-SubsectionHeader	2.3 Chronological Reorganization	page=1 xpos=5 ypos=0 right-column right-indent column-top numbered-heading2 above-double-space above-line-space
B-Body	The news articles posted under Yahoo Full Coverage	page=1 xpos=5 ypos=0 right-column left-indent indented-line longer-tail line-double-space line-space headchar-capital
I-Body	are from 125 different web publishers. Except for some	page=1 xpos=5 ypos=0 right-column full-justified hanged-line headchar-lower
I-Body	well-known sites, the publishing frequencies for the rest	page=1 xpos=5 ypos=0 right-column full-justified aligned-line headchar-lower
I-Body	of the sites are not known. But Yahoo tends to use those	page=1 xpos=5 ypos=0 right-column full-justified aligned-line headchar-lower
I-Body	publishers over and over again, leaving for each	page=1 xpos=5 ypos=1 right-column full-justified aligned-line headchar-lower
I-Body	publisher a trail of publishing habit. Our system records	page=1 xpos=5 ypos=1 right-column full-justified aligned-line headchar-lower
I-Body	the publishing date for each article from each publisher	page=1 xpos=5 ypos=1 right-column full-justified aligned-line headchar-lower
I-Body	chronologically, and then calculates the publishing	page=1 xpos=5 ypos=1 right-column full-justified aligned-line headchar-lower
I-Body	frequency for each publisher. Over all the articles from	page=1 xpos=5 ypos=1 right-column full-justified aligned-line headchar-lower
I-Body	a publisher, the system computes the minimum	page=1 xpos=5 ypos=1 right-column full-justified aligned-line itemization headchar-lower
I-Body	publishing gap (MPG) between two articles. If the MPG	page=1 xpos=5 ypos=2 right-column full-justified aligned-line headchar-lower
I-Body	is less than 3 days or the MPG is unknown in the case of	page=1 xpos=5 ypos=2 right-column full-justified aligned-line headchar-lower
I-Body	publishers seen only once in the YFCC, then this	page=1 xpos=5 ypos=2 right-column full-justified aligned-line headchar-lower
I-Body	publisher is labeled as a daily publisher. If the MPG is	page=1 xpos=5 ypos=2 right-column full-justified aligned-line headchar-lower
I-Body	greater than 3 days but less than 15, it is labeled as a	page=1 xpos=5 ypos=2 right-column full-justified aligned-line headchar-lower
I-Body	weekly publisher. Publishers with all other MPG values	page=1 xpos=5 ypos=3 right-column full-justified aligned-line headchar-lower
E-Body	are labeled as monthly publishers.	page=1 xpos=5 ypos=3 right-column right-indent aligned-line shorter-tail headchar-lower tailchar-period
B-Body	For each article in the collection, the system relabels	page=1 xpos=5 ypos=3 right-column left-indent indented-line longer-tail headchar-capital
I-Body	it as a daily, weekly, or monthly publication. Each	page=1 xpos=5 ypos=3 right-column full-justified hanged-line headchar-lower
I-Body	domain under each category in the collection is then	page=1 xpos=5 ypos=3 right-column full-justified aligned-line headchar-lower
I-Body	restructured into a hierarchy by year, months within the	page=1 xpos=5 ypos=3 right-column full-justified aligned-line headchar-lower
I-Body	year, weeks of each month, and finally days of each	page=1 xpos=5 ypos=4 right-column full-justified aligned-line headchar-lower
I-Body	week. The visualization of an example of the	page=1 xpos=5 ypos=4 right-column full-justified aligned-line headchar-lower
I-Body	hierarchical structure of the domain Africa under	page=1 xpos=5 ypos=4 right-column full-justified aligned-line headchar-lower
E-Body	category World is shown in Figure 2.	page=1 xpos=5 ypos=4 right-column right-indent aligned-line shorter-tail headchar-lower tailchar-period above-double-space above-line-space
B-SectionHeader	3 System	page=1 xpos=5 ypos=5 right-column right-indent font-largest aligned-line shorter-tail line-double-space line-space numbered-heading1 above-blank-line above-double-space above-line-space
B-Body	Recognizing (summary, text) pairs automatically	page=1 xpos=5 ypos=5 right-column left-indent indented-line longer-tail line-blank-line line-double-space line-space headchar-capital
I-Body	from the web repository is the key to overcoming the	page=1 xpos=5 ypos=5 right-column full-justified hanged-line headchar-lower
I-Body	constant shortage of summarization training data. After	page=1 xpos=5 ypos=5 right-column full-justified aligned-line headchar-lower
I-Body	taking a closer examination of the reorganized YFCC,	page=1 xpos=5 ypos=6 right-column full-justified aligned-line headchar-lower tailchar-comma
I-Body	one notices that for each day, there are a number of	page=1 xpos=5 ypos=6 right-column right-indent aligned-line shorter-tail headchar-lower column-bottom above-blank-line above-double-space above-line-space
B-Figure	Africa	page=1 xpos=4 ypos=6 single-column left-indent right-indent column-top line-blank-line line-double-space line-space headchar-capital above-blank-line above-double-space above-line-space
I-Figure	1999 2000 Year 2001	page=1 xpos=2 ypos=7 single-column left-indent right-indent hanged-line longer-tail line-blank-line line-double-space line-space year above-blank-line above-double-space above-line-space
I-Figure	3 6 7 8 10 Month 1 2 3 … 1 2 3 …	page=1 xpos=0 ypos=7 single-column left-indent right-indent font-larger hanged-line longer-tail line-blank-line line-double-space line-space numbered-heading1 column-bottom above-blank-line above-double-space above-line-space
I-Figure	1 2 3 4 Week	page=1 xpos=4 ypos=8 left-column left-indent right-over column-top line-blank-line line-double-space line-space numbered-heading1 column-bottom above-blank-line above-double-space above-line-space
I-Figure	Day	page=1 xpos=5 ypos=9 right-column left-indent right-indent column-top line-blank-line line-double-space line-space headchar-capital above-double-space above-line-space
E-Figure	Articles	page=1 xpos=5 ypos=9 right-column left-indent right-indent aligned-line longer-tail line-double-space line-space headchar-capital column-bottom above-blank-line above-double-space above-line-space
B-Caption	Figure 2: The hierarchical structure for domain Africa.	page=1 xpos=2 ypos=9 single-column left-indent right-indent column-top line-blank-line line-double-space line-space string-figure headchar-capital tailchar-period page-bottom
I-Body	articles published that update the progress of a particular	page=2 xpos=0 ypos=0 left-column full-justified page-top headchar-lower
I-Body	news topic. Daily articles are published by identified	page=2 xpos=0 ypos=0 left-column full-justified aligned-line headchar-lower
I-Body	daily publishers. Then at the end of each week, there are	page=2 xpos=0 ypos=0 left-column full-justified aligned-line headchar-lower
I-Body	several weekly articles published by weekly publishers	page=2 xpos=0 ypos=0 left-column full-justified aligned-line headchar-lower
I-Body	on the same topic. At the end of each month, again there	page=2 xpos=0 ypos=0 left-column full-justified aligned-line headchar-lower
I-Body	are articles on the same topic posted by publishers	page=2 xpos=0 ypos=0 left-column full-justified aligned-line headchar-lower
I-Body	labeled as monthly publishers. There is a common	page=2 xpos=0 ypos=1 left-column full-justified aligned-line headchar-lower
I-Body	thematic connection between the daily articles and the	page=2 xpos=0 ypos=1 left-column full-justified aligned-line headchar-lower
I-Body	weekly articles, and between the weekly articles and the	page=2 xpos=0 ypos=1 left-column full-justified aligned-line headchar-lower
I-Body	monthly articles. The daily articles on a particular event	page=2 xpos=0 ypos=1 left-column full-justified aligned-line headchar-lower
I-Body	are more detailed, and are written step-by-step as it was	page=2 xpos=0 ypos=1 left-column full-justified aligned-line headchar-lower
I-Body	happening. The weekly articles review the daily articles	page=2 xpos=0 ypos=2 left-column full-justified aligned-line headchar-lower
I-Body	and recite important snippets from the daily news. The	page=2 xpos=0 ypos=2 left-column full-justified aligned-line headchar-lower
I-Body	monthly articles are written in a more condensed	page=2 xpos=0 ypos=2 left-column full-justified aligned-line headchar-lower column-bottom
B-Body	To generate sentence level alignment, we	page=2 xpos=5 ypos=0 right-column left-indent column-top headchar-capital
I-Body	replaced the input with (summary sentence, text)	page=2 xpos=5 ypos=0 right-column full-justified hanged-line headchar-lower
I-Body	pairs. Starting with a nonsummary text,	page=2 xpos=5 ypos=0 right-column right-indent aligned-line shorter-tail headchar-lower tailchar-comma
I-Body	the sentences that are irrelevant to the summary	page=2 xpos=5 ypos=0 right-column full-justified aligned-line longer-tail headchar-lower
I-Body	sentence are deleted repeatedly, resulting in the	page=2 xpos=5 ypos=0 right-column full-justified aligned-line headchar-lower
I-Body	preservation of sentences similar in meaning to the	page=2 xpos=5 ypos=0 right-column full-justified aligned-line headchar-lower
I-Body	summary sentence. For each sentence in the	page=2 xpos=5 ypos=1 right-column full-justified aligned-line headchar-lower
I-Body	summary, it is aligned with a number of	page=2 xpos=5 ypos=1 right-column full-justified aligned-line headchar-lower
I-Body	nonsummary sentences to form (summary	page=2 xpos=5 ypos=1 right-column full-justified aligned-line headchar-lower
I-Body	sentence, nonsummary sentences) pairs. This	page=2 xpos=5 ypos=1 right-column full-justified aligned-line headchar-lower
I-Body	alignment is done for each sentence of the	page=2 xpos=5 ypos=1 right-column full-justified aligned-line headchar-lower
I-Body	summary articles. Finally for each nonsummary	page=2 xpos=5 ypos=2 right-column full-justified aligned-line headchar-lower
I-Body	we group together all the aligned sentences to form	page=2 xpos=5 ypos=2 right-column full-justified aligned-line headchar-lower
I-Body	the pair (extract, text).	page=2 xpos=5 ypos=2 right-column right-indent aligned-line shorter-tail headchar-lower tailchar-period column-bottom
I-Body	fashion quoting from the weeklies. • similarity-based: inspired by sentence alignment	page=2 xpos=0 ypos=2 single-column full-justified font-largest column-top headchar-lower column-bottom
I-Body	Instead of asking human judges to identify	page=2 xpos=0 ypos=2 left-column left-indent column-top headchar-capital
I-Body	informative sentences in documents, and since	page=2 xpos=0 ypos=2 left-column full-justified hanged-line headchar-lower
I-Body	beautifully written “summaries” are already available,	page=2 xpos=0 ypos=3 left-column full-justified aligned-line headchar-lower tailchar-comma
I-Body	we need to align the sentences from the daily articles	page=2 xpos=0 ypos=3 left-column full-justified aligned-line headchar-lower
I-Body	with each weekly article sentence, and align weekly	page=2 xpos=0 ypos=3 left-column full-justified aligned-line headchar-lower
I-Body	article sentences with each monthly article sentence, in	page=2 xpos=0 ypos=3 left-column full-justified aligned-line headchar-lower
I-Body	order to collect the (summary, text) pairs and eventually	page=2 xpos=0 ypos=3 left-column full-justified aligned-line headchar-lower
I-Body	generate (extract, text) pairs. The pairs are constructed	page=2 xpos=0 ypos=4 left-column full-justified aligned-line headchar-lower
E-Body	at both sentence and document levels.	page=2 xpos=0 ypos=4 left-column right-indent aligned-line shorter-tail headchar-lower tailchar-period above-blank-line above-double-space above-line-space
B-SubsectionHeader	3.1 Alignment	page=2 xpos=0 ypos=4 left-column right-indent aligned-line shorter-tail line-blank-line line-double-space line-space numbered-heading2 above-blank-line above-double-space above-line-space
B-Body	In our system, three methods for sentence-level and	page=2 xpos=0 ypos=5 left-column left-indent indented-line longer-tail line-blank-line line-double-space line-space headchar-capital
I-Body	document-level alignment are investigated:	page=2 xpos=0 ypos=5 left-column right-indent hanged-line shorter-tail headchar-lower tailchar-colon
B-Listitem	• extraction-based: Marcu (1999) introduces an	page=2 xpos=0 ypos=5 left-column full-justified font-largest aligned-line longer-tail itemization year
I-Listitem	algorithm that produces corresponding extracts	page=2 xpos=0 ypos=5 left-column left-indent indented-line headchar-lower
I-Listitem	given (abstract, text) tuples with maximal	page=2 xpos=0 ypos=5 left-column left-indent aligned-line headchar-lower
I-Listitem	semantic similarity. We duplicated this algorithm	page=2 xpos=0 ypos=5 left-column left-indent aligned-line headchar-lower
I-Listitem	but replaced inputs with (summary, text), parents	page=2 xpos=0 ypos=6 left-column left-indent aligned-line headchar-lower
I-Listitem	and their respective children in the hierarchical	page=2 xpos=0 ypos=6 left-column left-indent aligned-line headchar-lower
I-Listitem	domain tree. Thus for example, the summary is a	page=2 xpos=0 ypos=6 left-column left-indent aligned-line headchar-lower
I-Listitem	monthly article when the text is a weekly article or	page=2 xpos=0 ypos=6 left-column left-indent aligned-line headchar-lower
I-Listitem	a weekly article when the text is a daily one. We	page=2 xpos=0 ypos=6 left-column left-indent aligned-line itemization headchar-lower
I-Listitem	start with the cosine-similarity metric stated in	page=2 xpos=0 ypos=7 left-column left-indent aligned-line headchar-lower
I-Listitem	(Marcu 1999) and keep deleting sentences that are	page=2 xpos=0 ypos=7 left-column left-indent aligned-line year column-bottom
I-Listitem	for multilingual parallel corpora in Machine	page=2 xpos=5 ypos=2 right-column full-justified column-top headchar-lower
I-Listitem	Translation (Church, 1993; Fung and Church,	page=2 xpos=5 ypos=2 right-column full-justified aligned-line year headchar-capital tailchar-comma
I-Listitem	1994; Melamed, 1999), we view the alignment	page=2 xpos=5 ypos=3 right-column full-justified aligned-line year
I-Listitem	between sentences from summaries and sentences	page=2 xpos=5 ypos=3 right-column full-justified aligned-line headchar-lower
I-Listitem	from nonsummaries as the alignment of	page=2 xpos=5 ypos=3 right-column full-justified aligned-line headchar-lower
I-Listitem	monolingual parallel texts at the sentence level. In	page=2 xpos=5 ypos=3 right-column full-justified aligned-line headchar-lower
I-Listitem	every domain of the YFCC, each article is	page=2 xpos=5 ypos=3 right-column full-justified aligned-line headchar-lower
I-Listitem	represented as a vector in a vector space where	page=2 xpos=5 ypos=4 right-column full-justified aligned-line headchar-lower
I-Listitem	each dimension is a distinct non-stop word	page=2 xpos=5 ypos=4 right-column full-justified aligned-line headchar-lower
I-Listitem	appearing in this domain. Measuring the cosine-	page=2 xpos=5 ypos=4 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Listitem	similarity between two articles, we can decide	page=2 xpos=5 ypos=4 right-column full-justified aligned-line headchar-lower
I-Listitem	whether they are close semantically. This method	page=2 xpos=5 ypos=4 right-column full-justified aligned-line headchar-lower
I-Listitem	has been widely used in Information Retrieval	page=2 xpos=5 ypos=5 right-column full-justified aligned-line headchar-lower
I-Listitem	(Salton, 1975). To extend this idea, we measure	page=2 xpos=5 ypos=5 right-column full-justified aligned-line year
I-Listitem	the cosine-similarity between two sentences, one	page=2 xpos=5 ypos=5 right-column full-justified aligned-line headchar-lower
I-Listitem	from a summary (weekly or monthly article) and	page=2 xpos=5 ypos=5 right-column full-justified aligned-line headchar-lower
I-Listitem	the other one from a nonsummary (daily or weekly	page=2 xpos=5 ypos=5 right-column full-justified aligned-line headchar-lower
I-Listitem	article). If the similarity score between the two	page=2 xpos=5 ypos=5 right-column full-justified aligned-line headchar-lower
I-Listitem	crosses a predetermined threshold, the two	page=2 xpos=5 ypos=6 right-column full-justified aligned-line headchar-lower
I-Listitem	sentences are aligned to form the pair (summary	page=2 xpos=5 ypos=6 right-column full-justified aligned-line headchar-lower
I-Listitem	sentence, text sentence). The relationship between	page=2 xpos=5 ypos=6 right-column full-justified aligned-line headchar-lower
I-Listitem	sentences is many-to-many. With any particular	page=2 xpos=5 ypos=6 right-column full-justified aligned-line headchar-lower
I-Listitem	nonsummary article, sentences that are aligned	page=2 xpos=5 ypos=6 right-column full-justified aligned-line headchar-lower
I-Listitem	with summary sentences form the extract and the	page=2 xpos=5 ypos=7 right-column full-justified aligned-line headchar-lower
I-Listitem	pair (extract, text).	page=2 xpos=5 ypos=7 right-column right-indent aligned-line shorter-tail headchar-lower tailchar-period column-bottom
I-Listitem	not related to the summary document until any • summary-based: concerned with the noise that	page=2 xpos=0 ypos=7 single-column left-indent font-largest column-top headchar-lower column-bottom
I-Listitem	more deletion would result in a drop in similarity	page=2 xpos=0 ypos=7 left-column left-indent column-top headchar-lower
I-Listitem	with the summary. The resulting set of sentences is	page=2 xpos=0 ypos=7 left-column left-indent aligned-line headchar-lower
I-Listitem	the extract concerning the topic discussed in the	page=2 xpos=0 ypos=7 left-column left-indent aligned-line headchar-lower
I-Listitem	summary. It forms the pair (extract, text). If there	page=2 xpos=0 ypos=8 left-column left-indent aligned-line headchar-lower
I-Listitem	is more than one summary for a particular text	page=2 xpos=0 ypos=8 left-column left-indent aligned-line headchar-lower
