B-Header	Proceedings of HLT-NAACL 2003	page=0 xpos=6 ypos=0 right-column left-indent font-smallest page-top year headchar-capital
I-Body	are put together to create , since they will be part of	page=1 xpos=5 ypos=7 right-column full-justified aligned-line headchar-lower
I-Body	the OCR output (not as #, but most likely as spaces).	page=1 xpos=5 ypos=8 right-column full-justified aligned-line headchar-lower tailchar-period
I-Body	For   our example G , a possible JH result for *I this step is:	page=1 xpos=5 ypos=8 right-column full-justified font-largest aligned-line headchar-capital tailchar-colon
I-Body	% <sup>=</sup>   QP “Tlmsis”,  D 1 :   D 1 : F  . The = final “an”, generated = “cx”, string would = “amp1e.”; there-	page=1 xpos=5 ypos=8 right-column full-justified box aligned-line tailchar-hiphen
E-Body	fore be = “Tlmsis#an#cx#am1e.”.	page=1 xpos=5 ypos=8 right-column right-indent aligned-line shorter-tail headchar-lower tailchar-period
B-Body	Assuming independence of the individual steps, the	page=1 xpos=5 ypos=9 right-column left-indent indented-line longer-tail headchar-capital
I-Body	complete model estimates joint probability	page=1 xpos=5 ypos=9 right-column right-indent hanged-line shorter-tail headchar-lower
B-Equation	  %      	page=1 xpos=5 ypos=9 right-column left-indent right-indent box indented-line shorter-tail
I-Equation	  %                       	page=1 xpos=5 ypos=9 right-column left-indent right-indent box indented-line longer-tail page-bottom
B-Body	        can be computed by summing over all possible	page=2 xpos=0 ypos=0 left-column full-justified box page-top
I-Body	%  that can transform  to :	page=2 xpos=0 ypos=0 left-column right-indent box aligned-line shorter-tail tailchar-colon
B-Equation	      )      %      	page=2 xpos=0 ypos=0 left-column left-indent right-indent box indented-line longer-tail above-double-space above-line-space
B-SectionHeader	3 Implementation	page=2 xpos=0 ypos=1 left-column right-indent font-largest hanged-line shorter-tail line-double-space line-space numbered-heading1 above-double-space above-line-space
B-Body	We have implemented the generative model using a	page=2 xpos=0 ypos=1 left-column full-justified aligned-line longer-tail line-double-space line-space headchar-capital
I-Body	weighted finite state model (FSM) framework, which	page=2 xpos=0 ypos=1 left-column full-justified aligned-line headchar-lower
I-Body	provides a strong theoretical foundation, ease of integra-	page=2 xpos=0 ypos=1 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	tion for different components, and reduced implementa-	page=2 xpos=0 ypos=2 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	tion time thanks to available toolkits such as the AT&T	page=2 xpos=0 ypos=2 left-column full-justified aligned-line headchar-lower
I-Body	FSM Toolkit (Mohri et al., 1998). Each step is repre-	page=2 xpos=0 ypos=2 left-column full-justified aligned-line year headchar-capital tailchar-hiphen
I-Body	sented and trained as a separate FSM, and the resulting	page=2 xpos=0 ypos=2 left-column full-justified aligned-line headchar-lower
I-Body	FSMs are then composed together to create a single FSM	page=2 xpos=0 ypos=2 left-column full-justified aligned-line headchar-capital
I-Body	that encodes the whole model. Details of parameter esti-	page=2 xpos=0 ypos=3 left-column full-justified aligned-line headchar-lower tailchar-hiphen
E-Body	mation and decoding follow.	page=2 xpos=0 ypos=3 left-column right-indent aligned-line shorter-tail headchar-lower tailchar-period above-double-space above-line-space
B-SubsectionHeader	3.1 Parameter Estimation	page=2 xpos=0 ypos=3 left-column right-indent aligned-line line-double-space line-space numbered-heading2 above-double-space above-line-space
B-Body	The specific model definition and estimation methods	page=2 xpos=0 ypos=3 left-column full-justified aligned-line longer-tail line-double-space line-space headchar-capital
I-Body	assume     that  <sub>triples.</sub> a training corpus is available, containing	page=2 xpos=0 ypos=3 left-column full-justified font-largest aligned-line headchar-lower above-double-space above-line-space
B-Body	Generation of True Word Sequence. We use an n-	page=2 xpos=0 ypos=4 left-column full-justified aligned-line line-double-space line-space headchar-capital tailchar-hiphen
I-Body	gram language model as the source model for the origi-	page=2 xpos=0 ypos=4 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	nal word sequence: an open vocabulary, trigram language	page=2 xpos=0 ypos=4 left-column full-justified aligned-line headchar-lower
I-Body	model with back-off generated using CMU-Cambridge	page=2 xpos=0 ypos=4 left-column full-justified aligned-line headchar-lower
I-Body	trained on the from the training data using the Witten- Toolkit (Clarkson  and Rosenfeld, 1997). The model is	page=2 xpos=0 ypos=5 left-column full-justified font-largest aligned-line year headchar-lower
I-Body	Bell discounting option for smoothing, and encoded as	page=2 xpos=0 ypos=5 left-column full-justified aligned-line headchar-capital
I-Body	a simple FSM. We made a closed vocabulary assump-	page=2 xpos=0 ypos=5 left-column full-justified aligned-line itemization headchar-lower tailchar-hiphen
I-Body	tion to evaluate the effectiveness of our model when all	page=2 xpos=0 ypos=5 left-column full-justified aligned-line headchar-lower
I-Body	correct words are in its lexicon. Therefore, although the	page=2 xpos=0 ypos=6 left-column full-justified aligned-line headchar-lower
I-Body	language model is trained on only the training data, the	page=2 xpos=0 ypos=6 left-column full-justified aligned-line headchar-lower
I-Body	words in the test set are included in the language model	page=2 xpos=0 ypos=6 left-column full-justified aligned-line headchar-lower
E-Body	FSM, and treated as unseen vocabulary.	page=2 xpos=0 ypos=6 left-column right-indent aligned-line shorter-tail headchar-capital tailchar-period above-double-space above-line-space
B-Body	From Words to Characters. We generate three dif-	page=2 xpos=0 ypos=6 left-column full-justified aligned-line longer-tail line-double-space line-space headchar-capital tailchar-hiphen
I-Body	per  ferent <sub>THIS,</sub> case, character this, lower case, sequence This and leading variants case for each (e.g. word: this up- 	page=2 xpos=0 ypos=6 left-column full-justified box aligned-line headchar-lower
I-Body	bution over case variations  ). is For learned each from word, the the    distri- 	page=2 xpos=0 ypos=7 left-column full-justified box aligned-line headchar-lower
I-Body	pairs in the training corpus. For words that do not ap-	page=2 xpos=0 ypos=7 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	pear in the corpus, or do not have enough number of oc-	page=2 xpos=0 ypos=7 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	currences to allow a reliable estimation, we back off to	page=2 xpos=0 ypos=8 left-column full-justified aligned-line headchar-lower
E-Body	word-independent case variant probabilities. <sup>3</sup>	page=2 xpos=0 ypos=8 left-column right-indent font-largest aligned-line shorter-tail headchar-lower above-double-space above-line-space
B-Body	Segmentation. Our current implementation makes an	page=2 xpos=0 ypos=8 left-column full-justified aligned-line longer-tail line-double-space line-space headchar-capital
I-Body	independent decision for each character pair whether to	page=2 xpos=0 ypos=8 left-column full-justified aligned-line headchar-lower
I-Body	insert a boundary between them. To reduce the search	page=2 xpos=0 ypos=8 left-column full-justified aligned-line headchar-lower
I-Body	space associated with the model, we limit the number of	page=2 xpos=0 ypos=9 left-column full-justified aligned-line headchar-lower above-double-space above-line-space
B-Footnote	<sup>3</sup> Currently, we assume a Latin alphabet. Mixed case text is	page=2 xpos=0 ypos=9 left-column left-indent font-largest indented-line line-double-space line-space headchar-super
I-Footnote	not included since it increases the number of alternatives drasti-	page=2 xpos=0 ypos=9 left-column full-justified font-smallest hanged-line headchar-lower tailchar-hiphen
I-Footnote	cally; at run time mixed-case words are normalized as a prepro-	page=2 xpos=0 ypos=9 left-column full-justified font-smallest aligned-line headchar-lower tailchar-hiphen
