Title	A Machine Learning Approach to Pronoun Resolution in Spoken Dialogue	page=0 xpos=0 ypos=0 single-column centered left-indent right-indent font-largest page-top headchar-capital above-blank-line above-double-space above-line-space
I-Body	(1998) report that about 50% of the pronouns in the	page=0 xpos=5 ypos=3 right-column full-justified aligned-line year
I-Body	TRAINS93 corpus have non-NP-antecedents. Eck-	page=0 xpos=5 ypos=3 right-column full-justified aligned-line headchar-capital tailchar-hiphen
I-Body	ert & Strube (2000) note that only about 45% of	page=0 xpos=5 ypos=3 right-column full-justified aligned-line year headchar-lower
I-Body	the pronouns in a set of Switchboard dialogues have	page=0 xpos=5 ypos=4 right-column full-justified aligned-line headchar-lower
I-Body	NP-antecedents. The remainder consists of 22%	page=0 xpos=5 ypos=4 right-column full-justified aligned-line headchar-capital
I-Body	which have non-NP-antecedents and 33% without	page=0 xpos=5 ypos=4 right-column full-justified aligned-line headchar-lower
I-Body	antecedents. These studies suggest that the perfor-	page=0 xpos=5 ypos=4 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	mance of a pronoun resolution algorithm can be im-	page=0 xpos=5 ypos=4 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	proved considerably by enabling it to resolve also	page=0 xpos=5 ypos=5 right-column full-justified aligned-line headchar-lower
E-Body	pronouns with non-NP-antecedents.	page=0 xpos=5 ypos=5 right-column right-indent aligned-line shorter-tail headchar-lower tailchar-period
B-Body	Because of the difficulties a pronoun resolution	page=0 xpos=5 ypos=5 right-column left-indent indented-line longer-tail headchar-capital
I-Body	algorithm encounters in spoken dialogue, previous	page=0 xpos=5 ypos=5 right-column full-justified hanged-line headchar-lower
I-Body	approaches were applied only to tiny domains, they	page=0 xpos=5 ypos=5 right-column full-justified aligned-line headchar-lower
I-Body	needed deep semantic analysis and discourse pro-	page=0 xpos=5 ypos=6 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	cessing and relied on hand-crafted knowledge bases.	page=0 xpos=5 ypos=6 right-column full-justified aligned-line headchar-lower tailchar-period
I-Body	In contrast, we build on our existing anaphora res-	page=0 xpos=5 ypos=6 right-column full-justified aligned-line headchar-capital tailchar-hiphen
I-Body	olution system and incrementally add new features	page=0 xpos=5 ypos=6 right-column full-justified aligned-line headchar-lower
I-Body	specifically devised for spoken dialogue. That way	page=0 xpos=5 ypos=7 right-column full-justified aligned-line headchar-lower
I-Body	we are able to determine relatively powerful yet	page=0 xpos=5 ypos=7 right-column full-justified aligned-line headchar-lower
I-Body	computationally cheap features. To our knowledge	page=0 xpos=5 ypos=7 right-column full-justified aligned-line headchar-lower
I-Body	the work presented here describes the first imple-	page=0 xpos=5 ypos=7 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	mented system for corpus-based anaphora resolution	page=0 xpos=5 ypos=7 right-column full-justified aligned-line headchar-lower
E-Body	dealing also with non-NP-antecedents.	page=0 xpos=5 ypos=8 right-column right-indent aligned-line shorter-tail headchar-lower tailchar-period above-double-space above-line-space
B-SectionHeader	2 NP- vs. Non-NP-Antecedents	page=0 xpos=5 ypos=8 right-column right-indent font-larger aligned-line line-double-space line-space numbered-heading1 above-double-space above-line-space
B-Body	Spoken dialogue contains more pronouns with non-	page=0 xpos=5 ypos=8 right-column full-justified aligned-line longer-tail line-double-space line-space headchar-capital tailchar-hiphen
I-Body	NP-antecedents than written text does. However,	page=0 xpos=5 ypos=9 right-column full-justified aligned-line headchar-capital tailchar-comma
I-Body	pronouns with NP-antecedents (like 3rd pers. mas-	page=0 xpos=5 ypos=9 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	culine/feminine pronouns, cf. he in the example be-	page=0 xpos=5 ypos=9 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	low) still constitute the largest fraction of all coref-	page=0 xpos=5 ypos=9 right-column full-justified aligned-line headchar-lower tailchar-hiphen
E-Body	erential pronouns in the Switchboard corpus.	page=0 xpos=5 ypos=9 right-column right-indent aligned-line shorter-tail headchar-lower tailchar-period page-bottom
B-Body	In spoken dialogue there are considerable num-	page=1 xpos=0 ypos=0 left-column left-indent page-top headchar-capital tailchar-hiphen
I-Body	bers of pronouns that pick up different kinds of	page=1 xpos=0 ypos=0 left-column full-justified hanged-line headchar-lower
I-Body	abstract objects from the previous discourse, e.g.	page=1 xpos=0 ypos=0 left-column full-justified aligned-line headchar-lower tailchar-period
I-Body	events, states, concepts, propositions or facts (Web-	page=1 xpos=0 ypos=0 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	ber, 1991; Asher, 1993). These anaphors then have	page=1 xpos=0 ypos=0 left-column full-justified aligned-line year headchar-lower
I-Body	VP-antecedents (“it ” in (B6) below) or sentential	page=1 xpos=0 ypos=1 left-column full-justified aligned-line headchar-capital
E-Body	antecedents (“that  ” in (B5)).	page=1 xpos=0 ypos=1 left-column right-indent aligned-line shorter-tail headchar-lower tailchar-period above-double-space above-line-space
B-Listitem	A1: . . . [he]  ’s nine months old. . . .	page=1 xpos=0 ypos=1 left-column left-indent right-indent font-smallest line-double-space line-space headchar-capital tailchar-period above-double-space above-line-space
B-Listitem	A2: [He]  likes to dig around a little bit.	page=1 xpos=0 ypos=1 left-column left-indent right-indent font-smallest aligned-line longer-tail line-double-space line-space headchar-capital tailchar-period above-double-space above-line-space
B-Listitem	A3: [His]  mother comes in and says, why did you let [him] 	page=1 xpos=0 ypos=2 left-column centered left-indent right-indent font-smallest aligned-line longer-tail line-double-space line-space headchar-capital
I-Listitem	[play in the dirt]  ,	page=1 xpos=0 ypos=2 left-column left-indent right-indent font-smallest indented-line shorter-tail tailchar-comma above-double-space above-line-space
B-Listitem	A:4 I guess [[he]  ’s enjoying himself]  .	page=1 xpos=0 ypos=2 left-column left-indent right-indent font-smallest hanged-line longer-tail line-double-space line-space headchar-capital tailchar-period above-double-space above-line-space
B-Listitem	B5: [That]  ’s right.	page=1 xpos=0 ypos=2 left-column left-indent right-indent font-smallest aligned-line shorter-tail line-double-space line-space headchar-capital tailchar-period above-double-space above-line-space
B-Listitem	B6: [It]  ’s healthy, . . .	page=1 xpos=0 ypos=3 left-column left-indent right-indent font-smallest aligned-line longer-tail line-double-space line-space headchar-capital tailchar-period above-double-space above-line-space
B-Body	A major problem for pronoun resolution in spo-	page=1 xpos=0 ypos=3 left-column left-indent indented-line longer-tail line-double-space line-space headchar-capital tailchar-hiphen
I-Body	ken dialogue is the large number of personal and	page=1 xpos=0 ypos=3 left-column full-justified hanged-line headchar-lower
I-Body	demonstrative pronouns which are either not refer-	page=1 xpos=0 ypos=3 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	ential at all (e.g. expletive pronouns) or for which a	page=1 xpos=0 ypos=4 left-column full-justified aligned-line headchar-lower
I-Body	particular antecedent cannot easily be determined by	page=1 xpos=0 ypos=4 left-column full-justified aligned-line headchar-lower
I-Body	humans (called vague anaphors by Eckert & Strube	page=1 xpos=0 ypos=4 left-column full-justified aligned-line headchar-lower
E-Body	(2000)).	page=1 xpos=0 ypos=4 left-column right-indent aligned-line shorter-tail year tailchar-period
B-Body	In the following example, the “that  ” in utter-	page=1 xpos=0 ypos=4 left-column left-indent indented-line longer-tail headchar-capital tailchar-hiphen
I-Body	ance (A3) refers back to utterance (A1). As for	page=1 xpos=0 ypos=5 left-column full-justified hanged-line headchar-lower
I-Body	the first two pronouns in (B4), following Eckert &	page=1 xpos=0 ypos=5 left-column full-justified aligned-line headchar-lower
I-Body	Strube (2000) and Byron (2002) we assume that re-	page=1 xpos=0 ypos=5 left-column full-justified aligned-line year headchar-capital tailchar-hiphen
I-Body	ferring expressions in disfluencies, abandoned utter-	page=1 xpos=0 ypos=5 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	ances etc. are excluded from the resolution. The	page=1 xpos=0 ypos=6 left-column full-justified aligned-line headchar-lower
I-Body	third pronoun in (B4) is an expletive. The pronoun	page=1 xpos=0 ypos=6 left-column full-justified aligned-line headchar-lower
I-Body	in (A5) is different in that it is indeed referential: it	page=1 xpos=0 ypos=6 left-column full-justified aligned-line headchar-lower
E-Body	refers back to“that  ” from (A3).	page=1 xpos=0 ypos=6 left-column right-indent aligned-line shorter-tail headchar-lower tailchar-period above-double-space above-line-space
B-Listitem	A1: . . . [There is a lot of theft, a lot of assault dealing with, uh,	page=1 xpos=0 ypos=6 left-column left-indent font-smallest longer-tail line-double-space line-space headchar-capital tailchar-comma
I-Listitem	people trying to get money for drugs.  ]	page=1 xpos=0 ypos=7 left-column left-indent right-indent font-smallest indented-line shorter-tail headchar-lower above-double-space above-line-space
B-Listitem	B2: Yeah.	page=1 xpos=0 ypos=7 left-column left-indent right-indent font-smallest hanged-line shorter-tail line-double-space line-space headchar-capital tailchar-period above-double-space above-line-space
B-Listitem	A3: And, uh, I think [that  ]’s a national problem, though.	page=1 xpos=0 ypos=7 left-column left-indent right-indent font-smallest aligned-line longer-tail line-double-space line-space headchar-capital tailchar-period above-double-space above-line-space
B-Listitem	B4: It, it, it’s pretty bad here, too.	page=1 xpos=0 ypos=7 left-column left-indent right-indent font-smallest aligned-line shorter-tail line-double-space line-space headchar-capital tailchar-period above-double-space above-line-space
B-Listitem	A5: [It  ]’s not unique . . .	page=1 xpos=0 ypos=8 left-column left-indent right-indent font-smallest aligned-line shorter-tail line-double-space line-space headchar-capital tailchar-period above-double-space above-line-space
B-Body	Pronoun resolution in spoken dialogue also has	page=1 xpos=0 ypos=8 left-column left-indent indented-line longer-tail line-double-space line-space headchar-capital
I-Body	to deal with the whole range of difficulties that	page=1 xpos=0 ypos=8 left-column full-justified hanged-line headchar-lower
I-Body	come with processing spoken language: disfluen-	page=1 xpos=0 ypos=9 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	cies, hesitations, abandoned utterances, interrup-	page=1 xpos=0 ypos=9 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	tions, backchannels, etc. These phenomena have to	page=1 xpos=0 ypos=9 left-column full-justified aligned-line headchar-lower
I-Body	be taken into account when formulating constraints	page=1 xpos=0 ypos=9 left-column full-justified aligned-line headchar-lower
I-Body	on e.g. the search space in which an anaphor looks	page=1 xpos=0 ypos=9 left-column full-justified aligned-line headchar-lower column-bottom
I-Body	for its antecedent. E.g., utterance (B2) in the previ-	page=1 xpos=5 ypos=0 right-column full-justified column-top headchar-lower tailchar-hiphen
I-Body	ous example does not contain any referring expres-	page=1 xpos=5 ypos=0 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	sions. So the demonstrative pronoun in (A3) has to	page=1 xpos=5 ypos=0 right-column full-justified aligned-line headchar-lower
E-Body	have access not only to (B2) but also to (A1).	page=1 xpos=5 ypos=0 right-column right-indent aligned-line shorter-tail headchar-lower tailchar-period above-double-space above-line-space
B-SectionHeader	3 Data	page=1 xpos=5 ypos=1 right-column right-indent font-larger aligned-line shorter-tail line-double-space line-space numbered-heading1 above-double-space above-line-space
B-SubsectionHeader	3.1 Corpus	page=1 xpos=5 ypos=1 right-column right-indent aligned-line longer-tail line-double-space line-space numbered-heading2 above-double-space above-line-space
B-Body	Our work is based on twenty randomly chosen	page=1 xpos=5 ypos=1 right-column full-justified aligned-line longer-tail line-double-space line-space headchar-capital
I-Body	Switchboard dialogues. Taken together, the dia-	page=1 xpos=5 ypos=1 right-column full-justified aligned-line headchar-capital tailchar-hiphen
I-Body	logues contain 30810 tokens (words and punctua-	page=1 xpos=5 ypos=2 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	tion) in 3275 sentences / 1771 turns. The annotation	page=1 xpos=5 ypos=2 right-column full-justified aligned-line headchar-lower
I-Body	consists of 16601 markables, i.e. sequences of words	page=1 xpos=5 ypos=2 right-column full-justified aligned-line headchar-lower
I-Body	and attributes associated with them. On the top level,	page=1 xpos=5 ypos=2 right-column full-justified aligned-line headchar-lower tailchar-comma
I-Body	different types of markables are distinguished: NP-	page=1 xpos=5 ypos=2 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	markables identify referring expressions like noun	page=1 xpos=5 ypos=3 right-column full-justified aligned-line headchar-lower
I-Body	phrases, pronouns and proper names. Some of	page=1 xpos=5 ypos=3 right-column full-justified aligned-line headchar-lower
I-Body	the attributes for these markables are derived from	page=1 xpos=5 ypos=3 right-column full-justified aligned-line headchar-lower
I-Body	the Penn Treebank version of the Switchboard dia-	page=1 xpos=5 ypos=3 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	logues, e.g. grammatical function, NP form, gram-	page=1 xpos=5 ypos=3 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	matical case and depth of embedding in the syn-	page=1 xpos=5 ypos=4 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	tactical structure. VP-markables are verb phrases,	page=1 xpos=5 ypos=4 right-column full-justified aligned-line headchar-lower tailchar-comma
I-Body	S-markables sentences. Disfluency-markables are	page=1 xpos=5 ypos=4 right-column full-justified aligned-line headchar-capital
I-Body	noun phrases or pronouns which occur in unfin-	page=1 xpos=5 ypos=4 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	ished or abandoned utterances. Among other (type-	page=1 xpos=5 ypos=5 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	dependent) attributes, markables contain a member	page=1 xpos=5 ypos=5 right-column full-justified aligned-line headchar-lower
I-Body	attribute with the ID of the coreference class they	page=1 xpos=5 ypos=5 right-column full-justified aligned-line headchar-lower
I-Body	are part of (if any). If an expression is used to re-	page=1 xpos=5 ypos=5 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	fer to an entity that is not referred to by any other	page=1 xpos=5 ypos=5 right-column full-justified aligned-line headchar-lower
E-Body	expression, it is considered a singleton.	page=1 xpos=5 ypos=6 right-column right-indent aligned-line shorter-tail headchar-lower tailchar-period
B-Body	Table 1 gives the distribution of the npform at-	page=1 xpos=5 ypos=6 right-column left-indent indented-line longer-tail string-table headchar-capital tailchar-hiphen
I-Body	tribute for NP-markables. The second and third row	page=1 xpos=5 ypos=6 right-column full-justified hanged-line headchar-lower
I-Body	give the number of non-singletons and singletons re-	page=1 xpos=5 ypos=6 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	spectively that add up to the total number given in	page=1 xpos=5 ypos=6 right-column full-justified aligned-line headchar-lower
E-Body	the first row.	page=1 xpos=5 ypos=7 right-column right-indent aligned-line shorter-tail headchar-lower tailchar-period
B-Body	Table 2 shows the distribution of the agreement	page=1 xpos=5 ypos=7 right-column left-indent indented-line longer-tail string-table headchar-capital
I-Body	attribute (i.e. person, gender, and number) for the	page=1 xpos=5 ypos=7 right-column full-justified hanged-line headchar-lower
I-Body	pronominal expressions in our corpus. The left fig-	page=1 xpos=5 ypos=7 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	ure in each cell gives the total number of expres-	page=1 xpos=5 ypos=7 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	sions, the right figure gives the number of non-	page=1 xpos=5 ypos=8 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	singletons. Note the relatively high number of sin-	page=1 xpos=5 ypos=8 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	gletons among the personal and demonstrative pro-	page=1 xpos=5 ypos=8 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	nouns (223 for it, 60 for they and 82 for that). These	page=1 xpos=5 ypos=8 right-column full-justified aligned-line headchar-lower
I-Body	pronouns are either expletive or vague, and cause	page=1 xpos=5 ypos=9 right-column full-justified aligned-line headchar-lower
I-Body	the most trouble for a pronoun resolution algorithm,	page=1 xpos=5 ypos=9 right-column full-justified aligned-line headchar-lower tailchar-comma
I-Body	which will usually attempt to find an antecedent	page=1 xpos=5 ypos=9 right-column full-justified aligned-line headchar-lower
I-Body	nonetheless. Singleton they pronouns, in particu-	page=1 xpos=5 ypos=9 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	lar, are typical for spoken language (as opposed to	page=1 xpos=5 ypos=9 right-column full-justified aligned-line headchar-lower page-bottom
Table	__Table 1__	page=2 xpos=1 ypos=-1 single-column left-indent right-indent box page-top table-area above-double-space above-line-space
B-Caption	Table 1: Distribution of npform Feature on Markables (w/o 1st and 2nd Persons)	page=2 xpos=1 ypos=0 single-column centered left-indent right-indent hanged-line longer-tail line-double-space line-space string-table headchar-capital above-double-space above-line-space
Table	__Table 2__	page=2 xpos=2 ypos=0 single-column left-indent right-indent box indented-line shorter-tail line-double-space line-space table-area above-double-space above-line-space
B-Caption	Table 2: Distribution of Agreement Feature on Pronominal Expressions	page=2 xpos=1 ypos=1 single-column centered left-indent right-indent hanged-line longer-tail line-double-space line-space string-table headchar-capital column-bottom above-blank-line above-double-space above-line-space
I-Body	written text). The same is true for anaphors with	page=2 xpos=0 ypos=2 left-column full-justified column-top line-blank-line line-double-space line-space headchar-lower
I-Body	non-NP-antecedents. However, while they are far	page=2 xpos=0 ypos=2 left-column full-justified aligned-line headchar-lower
I-Body	more frequent in spoken language than in written	page=2 xpos=0 ypos=2 left-column full-justified aligned-line headchar-lower
I-Body	text, they still constitute only a fraction of all coref-	page=2 xpos=0 ypos=2 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	erential expressions in our corpus. This defines an	page=2 xpos=0 ypos=3 left-column full-justified aligned-line headchar-lower
I-Body	upper limit for what the resolution of these kinds of	page=2 xpos=0 ypos=3 left-column full-justified aligned-line headchar-lower
I-Body	anaphors can contribute at all. These facts have to be	page=2 xpos=0 ypos=3 left-column full-justified aligned-line headchar-lower
I-Body	kept in mind when comparing our results to results	page=2 xpos=0 ypos=3 left-column full-justified aligned-line headchar-lower
E-Body	of coreference resolution in written text.	page=2 xpos=0 ypos=3 left-column right-indent aligned-line shorter-tail headchar-lower tailchar-period above-double-space above-line-space
B-SubsectionHeader	3.2 Data Generation	page=2 xpos=0 ypos=4 left-column right-indent aligned-line shorter-tail line-double-space line-space numbered-heading2 above-double-space above-line-space
B-Body	Training and test data instances were generated from	page=2 xpos=0 ypos=4 left-column full-justified aligned-line longer-tail line-double-space line-space headchar-capital
I-Body	our corpus as follows. All markables were sorted	page=2 xpos=0 ypos=4 left-column full-justified aligned-line headchar-lower
I-Body	in document order, and markables for first and sec-	page=2 xpos=0 ypos=5 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	ond person pronouns were removed. The resulting	page=2 xpos=0 ypos=5 left-column full-justified aligned-line headchar-lower
I-Body	list was then processed from top to bottom. If the	page=2 xpos=0 ypos=5 left-column full-justified aligned-line headchar-lower
I-Body	list contained an NP-markable at the current posi-	page=2 xpos=0 ypos=5 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	tion and if this markable was not an indefinite noun	page=2 xpos=0 ypos=5 left-column full-justified aligned-line headchar-lower
I-Body	phrase, it was considered a potential anaphor. In	page=2 xpos=0 ypos=6 left-column full-justified aligned-line headchar-lower
I-Body	that case, pairs of potentially coreferring expressions	page=2 xpos=0 ypos=6 left-column full-justified aligned-line headchar-lower
I-Body	were generated by combining the potential anaphor	page=2 xpos=0 ypos=6 left-column full-justified aligned-line headchar-lower
I-Body	with each compatible <sup>1</sup> NP-markable preceding 2 it	page=2 xpos=0 ypos=6 left-column full-justified font-largest aligned-line headchar-lower
I-Body	in the list. The resulting pairs were labelled P if	page=2 xpos=0 ypos=7 left-column full-justified aligned-line headchar-lower
I-Body	both markables had the same (non-empty) value in	page=2 xpos=0 ypos=7 left-column full-justified aligned-line headchar-lower
I-Body	their member attribute, N otherwise. For anaphors	page=2 xpos=0 ypos=7 left-column full-justified aligned-line headchar-lower
I-Body	with non-NP-antecedents, additional training and	page=2 xpos=0 ypos=7 left-column full-justified aligned-line headchar-lower
I-Body	test data instances had to be generated. This process	page=2 xpos=0 ypos=8 left-column full-justified aligned-line headchar-lower
I-Body	was triggered by the markable at the current position	page=2 xpos=0 ypos=8 left-column full-justified aligned-line headchar-lower
I-Body	being it or that. In that case, a small set of poten-	page=2 xpos=0 ypos=8 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	tial non-NP-antecedents was generated by selecting	page=2 xpos=0 ypos=8 left-column full-justified aligned-line headchar-lower
I-Body	S- and VP-markables from the last two valid sen-	page=2 xpos=0 ypos=8 left-column full-justified aligned-line headchar-capital tailchar-hiphen
I-Body	tences preceding the potential anaphor. The choice	page=2 xpos=0 ypos=9 left-column full-justified aligned-line headchar-lower above-double-space above-line-space
B-Footnote	<sup>1</sup> Markables are considered compatible if they do not mis-	page=2 xpos=0 ypos=9 left-column left-indent indented-line line-double-space line-space headchar-super tailchar-hiphen
I-Footnote	match in terms of agreement.	page=2 xpos=0 ypos=9 left-column right-indent font-smallest hanged-line shorter-tail headchar-lower tailchar-period
B-Footnote	<sup>2</sup> We disregard the phenomenon of cataphor here.	page=2 xpos=0 ypos=9 left-column left-indent right-indent indented-line longer-tail headchar-super tailchar-period column-bottom
I-Body	of the last two sentences was motivated pragmat-	page=2 xpos=5 ypos=2 right-column full-justified column-top headchar-lower tailchar-hiphen
I-Body	ically by considerations to keep the search space	page=2 xpos=5 ypos=2 right-column full-justified aligned-line headchar-lower
I-Body	(and the number of instances) small. A sentence	page=2 xpos=5 ypos=2 right-column full-justified aligned-line
I-Body	was considered valid if it was neither unfinished	page=2 xpos=5 ypos=2 right-column full-justified aligned-line headchar-lower
I-Body	nor a backchannel utterance (like e.g. ”Uh-huh”,	page=2 xpos=5 ypos=3 right-column full-justified aligned-line headchar-lower tailchar-comma
I-Body	”Yeah”, etc.). From the selected markables, inac-	page=2 xpos=5 ypos=3 right-column full-justified aligned-line tailchar-hiphen
I-Body	cessible non-NP-expressions were automatically re-	page=2 xpos=5 ypos=3 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	moved. We considered an expression inaccessible	page=2 xpos=5 ypos=3 right-column full-justified aligned-line headchar-lower
I-Body	if it ended before the sentence in which it was con-	page=2 xpos=5 ypos=3 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	tained. This was intended to be a rough approxi-	page=2 xpos=5 ypos=4 right-column full-justified aligned-line headchar-lower tailchar-hiphen
