Title	Using Predicate-Argument Structures for Information Extraction	page=0 xpos=0 ypos=0 single-column centered left-indent right-indent font-largest page-top headchar-capital above-blank-line above-double-space above-line-space
B-Body	The remainder of this paper is organized as fol-	page=1 xpos=0 ypos=3 left-column left-indent indented-line longer-tail headchar-capital tailchar-hiphen
I-Body	lows. Section 2 reports on the parser that produces	page=1 xpos=0 ypos=3 left-column full-justified hanged-line headchar-lower
I-Body	predicate-argument labels and compares it against	page=1 xpos=0 ypos=4 left-column full-justified aligned-line headchar-lower
I-Body	the parser introduced in (Gildea and Palmer, 2002).	page=1 xpos=0 ypos=4 left-column full-justified aligned-line year headchar-lower tailchar-period
I-Body	Section 3 describes the pattern-free IE paradigm and	page=1 xpos=0 ypos=4 left-column full-justified aligned-line headchar-capital
I-Body	compares it against FSA-based IE methods. Section	page=1 xpos=0 ypos=4 left-column full-justified aligned-line headchar-lower
I-Body	4 describes the integration of predicate-argument	page=1 xpos=0 ypos=5 left-column centered right-indent aligned-line numbered-heading1
I-Body	parsers into the IE paradigm and compares the re-	page=1 xpos=0 ypos=5 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	sults against a FSA-based IE system. Section 5 sum-	page=1 xpos=0 ypos=5 left-column full-justified aligned-line headchar-lower tailchar-hiphen
E-Body	marizes the conclusions.	page=1 xpos=0 ypos=5 left-column right-indent aligned-line shorter-tail headchar-lower tailchar-period above-double-space above-line-space
B-SectionHeader	2 Learning to Recognize	page=1 xpos=0 ypos=6 left-column right-indent font-larger aligned-line longer-tail line-double-space line-space numbered-heading1
I-SectionHeader	Predicate-Argument Structures	page=1 xpos=0 ypos=6 left-column left-indent right-indent font-larger indented-line longer-tail headchar-capital above-double-space above-line-space
B-SubsectionHeader	2.1 The Data	page=1 xpos=0 ypos=6 left-column right-indent hanged-line shorter-tail line-double-space line-space numbered-heading2 above-double-space above-line-space
B-Body	Proposition Bank or PropBank is a one mil-	page=1 xpos=0 ypos=6 left-column full-justified aligned-line longer-tail line-double-space line-space headchar-capital tailchar-hiphen
I-Body	lion word corpus annotated with predicate-	page=1 xpos=0 ypos=7 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	argument structures. The corpus consists of	page=1 xpos=0 ypos=7 left-column full-justified aligned-line headchar-lower
I-Body	the Penn Treebank 2 Wall Street Journal texts	page=1 xpos=0 ypos=7 left-column full-justified aligned-line headchar-lower
I-Body	(www.cis.upenn.edu/ treebank). The PropBank	page=1 xpos=0 ypos=7 left-column full-justified aligned-line
I-Body	annotations, performed at University of Pennsyl-	page=1 xpos=0 ypos=7 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	vania (www.cis.upenn.edu/ ace) were described	page=1 xpos=0 ypos=8 left-column full-justified aligned-line headchar-lower
I-Body	in (Kingsbury et al., 2002). To date PropBank has	page=1 xpos=0 ypos=8 left-column full-justified aligned-line year headchar-lower
I-Body	addressed only predicates lexicalized by verbs,	page=1 xpos=0 ypos=8 left-column full-justified aligned-line headchar-lower tailchar-comma
I-Body	proceeding from the most to the least common	page=1 xpos=0 ypos=8 left-column full-justified aligned-line headchar-lower
I-Body	verbs while annotating verb predicates in the	page=1 xpos=0 ypos=9 left-column full-justified aligned-line headchar-lower
I-Body	corpus. For any given predicate, a survey was made	page=1 xpos=0 ypos=9 left-column full-justified aligned-line headchar-lower
I-Body	to determine the predicate usage and if required, the	page=1 xpos=0 ypos=9 left-column full-justified aligned-line headchar-lower
I-Body	usages were divided in major senses. However, the	page=1 xpos=0 ypos=9 left-column full-justified aligned-line headchar-lower
I-Body	senses are divided more on syntactic grounds than	page=1 xpos=0 ypos=9 left-column full-justified aligned-line headchar-lower column-bottom
Figure	__Figure 2__	page=1 xpos=5 ypos=-1 right-column right-indent box column-top figure-area above-double-space above-line-space
B-Caption	Figure 2: Sentence with annotated arguments	page=1 xpos=5 ypos=1 right-column centered left-indent right-indent indented-line longer-tail line-double-space line-space string-figure headchar-capital above-blank-line above-double-space above-line-space
I-Body	semantic, under the fundamental assumption that	page=1 xpos=5 ypos=1 right-column full-justified hanged-line longer-tail line-blank-line line-double-space line-space headchar-lower
I-Body	syntactic frames are direct reflections of underlying	page=1 xpos=5 ypos=2 right-column full-justified aligned-line headchar-lower
E-Body	semantics.	page=1 xpos=5 ypos=2 right-column right-indent aligned-line shorter-tail headchar-lower tailchar-period above-line-space
B-Body	The set of syntactic frames are determined by	page=1 xpos=5 ypos=2 right-column left-indent indented-line longer-tail line-space headchar-capital
I-Body	diathesis alternations, as defined in (Levin, 1993).	page=1 xpos=5 ypos=2 right-column full-justified hanged-line year headchar-lower tailchar-period
I-Body	Each of these syntactic frames reflect underlying	page=1 xpos=5 ypos=3 right-column full-justified aligned-line headchar-capital
I-Body	semantic components that constrain allowable ar-	page=1 xpos=5 ypos=3 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	guments of predicates. The expected arguments	page=1 xpos=5 ypos=3 right-column full-justified aligned-line headchar-lower
I-Body	of each predicate are numbered sequentially from	page=1 xpos=5 ypos=3 right-column full-justified aligned-line headchar-lower
I-Body	Arg0 to Arg5. Regardless of the syntactic frame	page=1 xpos=5 ypos=3 right-column full-justified aligned-line headchar-capital
I-Body	or verb sense, the arguments are similarly labeled	page=1 xpos=5 ypos=4 right-column full-justified aligned-line headchar-lower
I-Body	to determine near-similarity of the predicates. The	page=1 xpos=5 ypos=4 right-column full-justified aligned-line headchar-lower
I-Body	general procedure was to select for each verb the	page=1 xpos=5 ypos=4 right-column full-justified aligned-line headchar-lower
I-Body	roles that seem to occur most frequently and use	page=1 xpos=5 ypos=4 right-column full-justified aligned-line headchar-lower
I-Body	these roles as mnemonics for the predicate argu-	page=1 xpos=5 ypos=4 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	ments. Generally, Arg0 would stand for agent,	page=1 xpos=5 ypos=5 right-column full-justified aligned-line headchar-lower tailchar-comma
I-Body	Arg1 for direct object or theme whereas Arg2 rep-	page=1 xpos=5 ypos=5 right-column full-justified aligned-line headchar-capital tailchar-hiphen
I-Body	resents indirect object, benefactive or instrument,	page=1 xpos=5 ypos=5 right-column full-justified aligned-line headchar-lower tailchar-comma
I-Body	but mnemonics tend to be verb specific. For	page=1 xpos=5 ypos=5 right-column full-justified aligned-line headchar-lower
I-Body	example, when retrieving the argument structure	page=1 xpos=5 ypos=5 right-column full-justified aligned-line headchar-lower
I-Body	for the verb-predicate assail with the sense ”to	page=1 xpos=5 ypos=6 right-column full-justified aligned-line headchar-lower
I-Body	tear attack” from www.cis.upenn.edu/ cotton/cgi-	page=1 xpos=5 ypos=6 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	bin/pblex fmt.cgi, we find Arg0:agent, Arg1:entity	page=1 xpos=5 ypos=6 right-column full-justified aligned-line headchar-lower
I-Body	assailed and Arg2:assailed for. Additionally, the ar-	page=1 xpos=5 ypos=6 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	gument may include functional tags from Treebank,	page=1 xpos=5 ypos=7 right-column full-justified aligned-line headchar-lower tailchar-comma
I-Body	e.g. ArgM-DIR indicates a directional, ArgM-LOC	page=1 xpos=5 ypos=7 right-column full-justified aligned-line headchar-lower
I-Body	indicates a locative, and ArgM-TMP stands for a	page=1 xpos=5 ypos=7 right-column full-justified aligned-line headchar-lower
E-Body	temporal.	page=1 xpos=5 ypos=7 right-column right-indent aligned-line shorter-tail headchar-lower tailchar-period above-double-space above-line-space
B-SubsectionHeader	2.2 The Model	page=1 xpos=5 ypos=8 right-column right-indent aligned-line longer-tail line-double-space line-space numbered-heading2 above-double-space above-line-space
B-Body	In previous work using the PropBank corpus,	page=1 xpos=5 ypos=8 right-column full-justified aligned-line longer-tail line-double-space line-space headchar-capital tailchar-comma
I-Body	(Gildea and Palmer, 2002) proposed a model pre-	page=1 xpos=5 ypos=8 right-column full-justified aligned-line year tailchar-hiphen
I-Body	dicting argument roles using the same statistical	page=1 xpos=5 ypos=8 right-column full-justified aligned-line headchar-lower
I-Body	method as the one employed by (Gildea and Juraf-	page=1 xpos=5 ypos=9 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	sky, 2002) for predicting semantic roles based on the	page=1 xpos=5 ypos=9 right-column full-justified aligned-line year headchar-lower
I-Body	FrameNet corpus (Baker et al., 1998). This statis-	page=1 xpos=5 ypos=9 right-column full-justified aligned-line year headchar-capital tailchar-hiphen
I-Body	tical technique of labeling predicate argument oper-	page=1 xpos=5 ypos=9 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	ates on the output of the probabilistic parser reported	page=1 xpos=5 ypos=9 right-column full-justified aligned-line headchar-lower page-bottom
I-Body	in (Collins, 1997). It consists of two tasks: (1) iden-	page=2 xpos=0 ypos=0 left-column full-justified page-top year headchar-lower tailchar-hiphen
I-Body	tifying the parse tree constituents corresponding to	page=2 xpos=0 ypos=0 left-column full-justified aligned-line headchar-lower
I-Body	arguments of each predicate encoded in PropBank;	page=2 xpos=0 ypos=0 left-column full-justified aligned-line headchar-lower tailchar-semicolon
I-Body	and (2) recognizing the role corresponding to each	page=2 xpos=0 ypos=0 left-column full-justified aligned-line headchar-lower
I-Body	argument. Each task can be cast a separate classifier.	page=2 xpos=0 ypos=0 left-column full-justified aligned-line headchar-lower tailchar-period
I-Body	For example, the result of the first classifier on the	page=2 xpos=0 ypos=1 left-column full-justified aligned-line headchar-capital
I-Body	sentence illustrated in Figure 2 is the identification	page=2 xpos=0 ypos=1 left-column full-justified aligned-line headchar-lower
I-Body	of the two NPs as arguments. The second classifier	page=2 xpos=0 ypos=1 left-column full-justified aligned-line headchar-lower
I-Body	assigns the specific roles ARG1 and ARG0 given the	page=2 xpos=0 ypos=1 left-column full-justified aligned-line headchar-lower
E-Body	predicate “assailed”.	page=2 xpos=0 ypos=1 left-column right-indent aligned-line shorter-tail headchar-lower tailchar-period above-double-space above-line-space
Figure	__Figure 3__	page=2 xpos=0 ypos=2 left-column left-indent right-indent box indented-line longer-tail line-double-space line-space figure-area above-line-space
B-Caption	Figure 3: Feature Set 1	page=2 xpos=1 ypos=6 left-column centered left-indent right-indent indented-line shorter-tail line-space string-figure headchar-capital above-blank-line above-double-space above-line-space
B-Body	Statistical methods in general are hindered by the	page=2 xpos=0 ypos=6 left-column left-indent hanged-line longer-tail line-blank-line line-double-space line-space headchar-capital
I-Body	data sparsity problem. To achieve high accuracy	page=2 xpos=0 ypos=6 left-column full-justified hanged-line headchar-lower
I-Body	and resolve the data sparsity problem the method	page=2 xpos=0 ypos=7 left-column full-justified aligned-line headchar-lower
I-Body	reported in (Gildea and Palmer, 2002; Gildea and	page=2 xpos=0 ypos=7 left-column full-justified aligned-line year headchar-lower
I-Body	Jurafsky, 2002) employed a backoff solution based	page=2 xpos=0 ypos=7 left-column full-justified aligned-line year headchar-capital
I-Body	on a lattice that combines the model features. For	page=2 xpos=0 ypos=7 left-column full-justified aligned-line headchar-lower
I-Body	practical reasons, this solution restricts the size of	page=2 xpos=0 ypos=7 left-column full-justified aligned-line headchar-lower
I-Body	the feature sets. For example, the backoff lattice	page=2 xpos=0 ypos=8 left-column full-justified aligned-line headchar-lower
I-Body	in (Gildea and Palmer, 2002) consists of eight con-	page=2 xpos=0 ypos=8 left-column full-justified aligned-line year headchar-lower tailchar-hiphen
I-Body	nected nodes for a five-feature set. A larger set of	page=2 xpos=0 ypos=8 left-column full-justified aligned-line headchar-lower
I-Body	features will determine a very complex backoff lat-	page=2 xpos=0 ypos=8 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	tice. Consequently, no new intuitions may be tested	page=2 xpos=0 ypos=8 left-column full-justified aligned-line headchar-lower
E-Body	as no new features can be easily added to the model.	page=2 xpos=0 ypos=9 left-column full-justified aligned-line headchar-lower tailchar-period above-line-space
B-Body	In our studies we found that inductive learning	page=2 xpos=0 ypos=9 left-column left-indent indented-line line-space headchar-capital
I-Body	through decision trees enabled us to easily test large	page=2 xpos=0 ypos=9 left-column full-justified hanged-line headchar-lower
I-Body	sets of features and study the impact of each feature	page=2 xpos=0 ypos=9 left-column full-justified aligned-line headchar-lower column-bottom
Figure	__Figure 4__	page=2 xpos=5 ypos=-1 right-column left-indent right-indent box column-top figure-area above-line-space
B-Caption	Figure 4: Feature Set 2	page=2 xpos=6 ypos=3 right-column centered left-indent right-indent indented-line shorter-tail line-space string-figure headchar-capital above-double-space above-line-space
Figure	__Figure 5__	page=2 xpos=5 ypos=3 right-column centered left-indent right-indent box hanged-line longer-tail line-double-space line-space figure-area above-line-space
B-Caption	Figure 5: Sample phrases with the content word dif-	page=2 xpos=5 ypos=4 right-column full-justified hanged-line longer-tail line-space string-figure headchar-capital tailchar-hiphen
I-Caption	ferent than the head word. The head words are indi-	page=2 xpos=5 ypos=5 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Caption	cated by the dashed arrows. The content words are	page=2 xpos=5 ypos=5 right-column full-justified aligned-line headchar-lower
E-Caption	indicated by the continuous arrows.	page=2 xpos=5 ypos=5 right-column right-indent aligned-line shorter-tail headchar-lower tailchar-period above-blank-line above-double-space above-line-space
I-Body	on the augmented parser that outputs predicate ar-	page=2 xpos=5 ypos=6 right-column full-justified aligned-line longer-tail line-blank-line line-double-space line-space headchar-lower tailchar-hiphen
I-Body	gument structures. For this reason we used the C5	page=2 xpos=5 ypos=6 right-column full-justified aligned-line headchar-lower
I-Body	inductive decision tree learning algorithm (Quinlan,	page=2 xpos=5 ypos=6 right-column full-justified aligned-line headchar-lower tailchar-comma
I-Body	2002) to implement both the classifier that identifies	page=2 xpos=5 ypos=6 right-column full-justified aligned-line year
I-Body	argument constituents and the classifier that labels	page=2 xpos=5 ypos=6 right-column full-justified aligned-line headchar-lower
E-Body	arguments with their roles.	page=2 xpos=5 ypos=7 right-column right-indent aligned-line shorter-tail headchar-lower tailchar-period above-line-space
B-Body	Our model considers two sets of features: Feature	page=2 xpos=5 ypos=7 right-column left-indent indented-line longer-tail line-space headchar-capital
I-Body	Set 1 (FS1): features used in the work reported in	page=2 xpos=5 ypos=7 right-column full-justified hanged-line headchar-capital
I-Body	(Gildea and Palmer, 2002) and (Gildea and Juraf-	page=2 xpos=5 ypos=7 right-column full-justified aligned-line year tailchar-hiphen
I-Body	sky, 2002) ; and Feature Set 2 (FS2): a novel set of	page=2 xpos=5 ypos=7 right-column full-justified aligned-line year headchar-lower
I-Body	features introduced in this paper. FS1 is illustrated	page=2 xpos=5 ypos=8 right-column full-justified aligned-line headchar-lower
E-Body	in Figure 3 and FS2 is illustrated in Figure 4.	page=2 xpos=5 ypos=8 right-column right-indent aligned-line shorter-tail headchar-lower tailchar-period above-line-space
B-Body	In developing FS2 we used the following obser-	page=2 xpos=5 ypos=8 right-column left-indent indented-line longer-tail line-space headchar-capital tailchar-hiphen
I-Body	vations:	page=2 xpos=5 ypos=8 right-column right-indent hanged-line shorter-tail headchar-lower tailchar-colon
B-BlockHeader	Observation 1:	page=2 xpos=5 ypos=9 right-column right-indent aligned-line longer-tail headchar-capital tailchar-colon
B-Body	Because most of the predicate arguments are	page=2 xpos=5 ypos=9 right-column full-justified aligned-line longer-tail headchar-capital
I-Body	prepositional attachments (PP) or relative clauses	page=2 xpos=5 ypos=9 right-column full-justified aligned-line headchar-lower
I-Body	(SBAR), often the head word (hw) feature from	page=2 xpos=5 ypos=9 right-column full-justified aligned-line
I-Body	FS1 is not in fact the most informative word in	page=2 xpos=5 ypos=9 right-column full-justified aligned-line headchar-capital page-bottom
Figure	__Figure 6__	page=3 xpos=0 ypos=-1 left-column left-indent right-indent box page-top figure-area above-line-space
B-Caption	Figure 6: Heuristics for the detection of content	page=3 xpos=0 ypos=3 left-column full-justified hanged-line longer-tail line-space string-figure headchar-capital
E-Caption	words	page=3 xpos=0 ypos=3 left-column right-indent aligned-line shorter-tail headchar-lower above-blank-line above-double-space above-line-space
I-Body	the phrase. Figure 5 illustrates three examples of	page=3 xpos=0 ypos=4 left-column full-justified aligned-line longer-tail line-blank-line line-double-space line-space headchar-lower
I-Body	this situation. In Figure 5(a), the head word of	page=3 xpos=0 ypos=4 left-column full-justified aligned-line headchar-lower
I-Body	the PP phrase is the preposition in, but June is at	page=3 xpos=0 ypos=4 left-column full-justified aligned-line headchar-lower
I-Body	least as informative as the head word. Similarly,	page=3 xpos=0 ypos=5 left-column full-justified aligned-line headchar-lower tailchar-comma
I-Body	in Figure 5(b), the relative clause is featured only	page=3 xpos=0 ypos=5 left-column full-justified aligned-line headchar-lower
I-Body	by the relative pronoun that, whereas the verb oc-	page=3 xpos=0 ypos=5 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	curred should also be taken into account. Figure 5(c)	page=3 xpos=0 ypos=5 left-column full-justified aligned-line headchar-lower
I-Body	shows another example of an infinitive verb phrase,	page=3 xpos=0 ypos=5 left-column full-justified aligned-line headchar-lower tailchar-comma
I-Body	in which the head word is to, whereas the verb de-	page=3 xpos=0 ypos=6 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	clared should also be considered. Based on these	page=3 xpos=0 ypos=6 left-column full-justified aligned-line headchar-lower
I-Body	observations, we introduced in FS2 the C ONTENT	page=3 xpos=0 ypos=6 left-column full-justified aligned-line headchar-lower
I-Body	W ORD (cw), which adds a new lexicalization from	page=3 xpos=0 ypos=6 left-column full-justified aligned-line headchar-capital
