Title	Ensemble Methods for Unsupervised WSD	page=0 xpos=2 ypos=0 single-column centered left-indent right-indent font-smallest page-top headchar-capital above-blank-line above-double-space above-line-space
I-Body	repeated for new domains, languages, or sense in-	page=0 xpos=5 ypos=2 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	ventories. Ng (1997) estimates that a high accu-	page=0 xpos=5 ypos=2 right-column full-justified aligned-line year headchar-lower tailchar-hiphen
I-Body	racy domain independent system for WSD would	page=0 xpos=5 ypos=2 right-column full-justified aligned-line headchar-lower
I-Body	probably need a corpus of about 3.2 million sense	page=0 xpos=5 ypos=2 right-column full-justified aligned-line headchar-lower
I-Body	tagged words. At a throughput of one word per	page=0 xpos=5 ypos=2 right-column full-justified aligned-line headchar-lower
I-Body	minute (Edmonds, 2000), this would require about	page=0 xpos=5 ypos=2 right-column full-justified aligned-line year headchar-lower
E-Body	27 person-years of human annotation effort.	page=0 xpos=5 ypos=3 right-column right-indent aligned-line shorter-tail numbered-heading1 tailchar-period above-double-space above-line-space
B-Body	This paper focuses on unsupervised methods	page=0 xpos=5 ypos=3 right-column left-indent indented-line longer-tail line-double-space line-space headchar-capital
I-Body	which we argue are useful for broad coverage	page=0 xpos=5 ypos=3 right-column full-justified hanged-line headchar-lower
I-Body	sense disambiguation. Unsupervised WSD algo-	page=0 xpos=5 ypos=3 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	rithms fall into two general classes: those that per-	page=0 xpos=5 ypos=3 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	form token-based WSD by exploiting the simi-	page=0 xpos=5 ypos=4 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	larity or relatedness between an ambiguous word	page=0 xpos=5 ypos=4 right-column full-justified aligned-line headchar-lower
I-Body	and its context (e.g., Lesk 1986); and those that	page=0 xpos=5 ypos=4 right-column full-justified aligned-line year headchar-lower
I-Body	perform type-based WSD, simply by assigning	page=0 xpos=5 ypos=4 right-column full-justified aligned-line headchar-lower
I-Body	all instances of an ambiguous word its most fre-	page=0 xpos=5 ypos=4 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	quent (i.e., predominant) sense (e.g., McCarthy	page=0 xpos=5 ypos=4 right-column full-justified aligned-line headchar-lower
I-Body	et al. 2004; Galley and McKeown 2003). The pre-	page=0 xpos=5 ypos=5 right-column full-justified aligned-line year headchar-lower tailchar-hiphen
I-Body	dominant senses are automatically acquired from	page=0 xpos=5 ypos=5 right-column full-justified aligned-line headchar-lower
I-Body	raw text without recourse to manually annotated	page=0 xpos=5 ypos=5 right-column full-justified aligned-line headchar-lower
I-Body	data. The motivation for assigning all instances	page=0 xpos=5 ypos=5 right-column full-justified aligned-line headchar-lower
I-Body	of a word to its most prevalent sense stems from	page=0 xpos=5 ypos=5 right-column full-justified aligned-line headchar-lower
I-Body	the observation that current supervised approaches	page=0 xpos=5 ypos=5 right-column full-justified aligned-line headchar-lower
I-Body	rarely outperform the simple heuristic of choos-	page=0 xpos=5 ypos=6 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	ing the most common sense in the training data,	page=0 xpos=5 ypos=6 right-column full-justified aligned-line headchar-lower tailchar-comma
I-Body	despite taking local context into account (Hoste	page=0 xpos=5 ypos=6 right-column full-justified aligned-line headchar-lower
I-Body	et al., 2002). Furthermore, the approach allows	page=0 xpos=5 ypos=6 right-column full-justified aligned-line year headchar-lower
I-Body	sense inventories to be tailored to specific do-	page=0 xpos=5 ypos=6 right-column full-justified aligned-line headchar-lower tailchar-hiphen
E-Body	mains.	page=0 xpos=5 ypos=6 right-column right-indent aligned-line shorter-tail headchar-lower tailchar-period above-double-space above-line-space
B-Body	The work presented here evaluates and com-	page=0 xpos=5 ypos=7 right-column left-indent indented-line longer-tail line-double-space line-space headchar-capital tailchar-hiphen
I-Body	pares the performance of well-established unsu-	page=0 xpos=5 ypos=7 right-column full-justified hanged-line headchar-lower tailchar-hiphen
I-Body	pervised WSD algorithms. We show that these	page=0 xpos=5 ypos=7 right-column full-justified aligned-line headchar-lower
I-Body	algorithms yield sufficiently diverse outputs, thus	page=0 xpos=5 ypos=7 right-column full-justified aligned-line headchar-lower
I-Body	motivating the use of combination methods for im-	page=0 xpos=5 ypos=7 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	proving WSD performance. While combination	page=0 xpos=5 ypos=8 right-column full-justified aligned-line headchar-lower
I-Body	approaches have been studied previously for su-	page=0 xpos=5 ypos=8 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	pervised WSD (Florian et al., 2002), their use	page=0 xpos=5 ypos=8 right-column full-justified aligned-line year headchar-lower
I-Body	in an unsupervised setting is, to our knowledge,	page=0 xpos=5 ypos=8 right-column full-justified aligned-line headchar-lower tailchar-comma
I-Body	novel. We examine several existing and novel	page=0 xpos=5 ypos=8 right-column full-justified aligned-line headchar-lower
I-Body	combination methods and demonstrate that our	page=0 xpos=5 ypos=8 right-column full-justified aligned-line headchar-lower
I-Body	combined systems consistently outperform the	page=0 xpos=5 ypos=9 right-column full-justified aligned-line headchar-lower column-bottom above-blank-line above-double-space above-line-space
Page	97	page=0 xpos=4 ypos=9 single-column centered left-indent right-indent font-smallest column-top line-blank-line line-double-space line-space numeric-only above-blank-line above-double-space above-line-space
B-Footer	Proceedings of the 21st International Conference on Computational Linguistics and 44th Annual Meeting of the ACL, pages 97–104,	page=0 xpos=0 ypos=9 single-column left-over right-over font-smallest hanged-line longer-tail line-blank-line line-double-space line-space headchar-capital tailchar-comma above-line-space
I-Footer	Sydney, July 2006.  2006 c Association for Computational Linguistics	page=0 xpos=2 ypos=9 single-column left-indent right-indent font-smallest indented-line shorter-tail line-space year headchar-capital page-bottom
I-Body	state-of-the-art (e.g., McCarthy et al. 2004). Im-	page=1 xpos=0 ypos=0 left-column full-justified page-top year headchar-lower tailchar-hiphen
I-Body	portantly, our WSD algorithms and combination	page=1 xpos=0 ypos=0 left-column full-justified aligned-line headchar-lower
I-Body	methods do not make use of training material in	page=1 xpos=0 ypos=0 left-column full-justified aligned-line headchar-lower
I-Body	any way, nor do they use the first sense informa-	page=1 xpos=0 ypos=0 left-column full-justified aligned-line headchar-lower tailchar-hiphen
E-Body	tion available in WordNet.	page=1 xpos=0 ypos=0 left-column right-indent aligned-line shorter-tail headchar-lower tailchar-period
B-Body	In the following section, we briefly describe the	page=1 xpos=0 ypos=0 left-column left-indent indented-line longer-tail headchar-capital
I-Body	unsupervised WSD algorithms considered in this	page=1 xpos=0 ypos=1 left-column full-justified hanged-line headchar-lower
I-Body	paper. Then, we present a detailed comparison of	page=1 xpos=0 ypos=1 left-column full-justified aligned-line headchar-lower
I-Body	their performance on SemCor (Miller et al., 1993).	page=1 xpos=0 ypos=1 left-column full-justified aligned-line year headchar-lower tailchar-period
I-Body	Next, we introduce our system combination meth-	page=1 xpos=0 ypos=1 left-column full-justified aligned-line headchar-capital tailchar-hiphen
I-Body	ods and report on our evaluation experiments. We	page=1 xpos=0 ypos=1 left-column full-justified aligned-line headchar-lower
E-Body	conclude the paper by discussing our results.	page=1 xpos=0 ypos=1 left-column right-indent aligned-line shorter-tail headchar-lower tailchar-period above-blank-line above-double-space above-line-space
B-SectionHeader	2 The Disambiguation Algorithms	page=1 xpos=0 ypos=2 left-column right-indent font-smallest aligned-line shorter-tail line-blank-line line-double-space line-space numbered-heading1 above-double-space above-line-space
B-Body	In this section we briefly describe the unsuper-	page=1 xpos=0 ypos=2 left-column full-justified aligned-line longer-tail line-double-space line-space headchar-capital tailchar-hiphen
I-Body	vised WSD algorithms used in our experiments.	page=1 xpos=0 ypos=2 left-column full-justified aligned-line headchar-lower tailchar-period
I-Body	We selected methods that vary along the follow-	page=1 xpos=0 ypos=2 left-column full-justified aligned-line headchar-capital tailchar-hiphen
I-Body	ing dimensions: (a) the type of WSD performed	page=1 xpos=0 ypos=3 left-column full-justified aligned-line headchar-lower
I-Body	(i.e., token-based vs. type-based), (b) the represen-	page=1 xpos=0 ypos=3 left-column full-justified aligned-line tailchar-hiphen
I-Body	tation and size of the context surrounding an am-	page=1 xpos=0 ypos=3 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	biguous word (i.e., graph-based vs. word-based,	page=1 xpos=0 ypos=3 left-column full-justified aligned-line headchar-lower tailchar-comma
I-Body	document vs. sentence), and (c) the number and	page=1 xpos=0 ypos=3 left-column full-justified aligned-line headchar-lower
I-Body	type of semantic relations considered for disam-	page=1 xpos=0 ypos=3 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	biguation. We base most of our discussion below	page=1 xpos=0 ypos=4 left-column full-justified aligned-line headchar-lower
I-Body	on the WordNet sense inventory; however, the ap-	page=1 xpos=0 ypos=4 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	proaches are not limited to this particular lexicon	page=1 xpos=0 ypos=4 left-column full-justified aligned-line headchar-lower
I-Body	but could be adapted for other resources with tra-	page=1 xpos=0 ypos=4 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	ditional dictionary-like sense definitions and alter-	page=1 xpos=0 ypos=4 left-column full-justified aligned-line headchar-lower tailchar-hiphen
E-Body	native structure.	page=1 xpos=0 ypos=4 left-column right-indent aligned-line shorter-tail headchar-lower tailchar-period above-line-space
B-Body	Extended Gloss Overlap Gloss Overlap was	page=1 xpos=0 ypos=5 left-column full-justified aligned-line longer-tail line-space headchar-capital
I-Body	originally introduced by Lesk (1986) for perform-	page=1 xpos=0 ypos=5 left-column full-justified aligned-line year headchar-lower tailchar-hiphen
I-Body	ing token-based WSD. The method assigns a sense	page=1 xpos=0 ypos=5 left-column full-justified aligned-line headchar-lower
I-Body	to a target word by comparing the dictionary defi-	page=1 xpos=0 ypos=5 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	nitions of each of its senses with those of the words	page=1 xpos=0 ypos=5 left-column full-justified aligned-line headchar-lower
I-Body	in the surrounding context. The sense whose defi-	page=1 xpos=0 ypos=6 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	nition has the highest overlap (i.e., words in com-	page=1 xpos=0 ypos=6 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	mon) with the context words is assumed to be the	page=1 xpos=0 ypos=6 left-column full-justified aligned-line headchar-lower
I-Body	correct one. Banerjee and Pedersen (2003) aug-	page=1 xpos=0 ypos=6 left-column full-justified aligned-line year headchar-lower tailchar-hiphen
I-Body	ment the dictionary definition (gloss) of each sense	page=1 xpos=0 ypos=6 left-column full-justified aligned-line headchar-lower
I-Body	with the glosses of related words and senses. The	page=1 xpos=0 ypos=6 left-column full-justified aligned-line headchar-lower
I-Body	extended glosses increase the information avail-	page=1 xpos=0 ypos=7 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	able in estimating the overlap between ambiguous	page=1 xpos=0 ypos=7 left-column full-justified aligned-line headchar-lower
E-Body	words and their surrounding context.	page=1 xpos=0 ypos=7 left-column right-indent aligned-line shorter-tail headchar-lower tailchar-period
B-Body	The range of relationships used to extend the	page=1 xpos=0 ypos=7 left-column left-indent indented-line longer-tail headchar-capital
I-Body	glosses is a parameter, and can be chosen from	page=1 xpos=0 ypos=7 left-column full-justified hanged-line headchar-lower
I-Body	any combination of WordNet relations. For every	page=1 xpos=0 ypos=7 left-column full-justified aligned-line headchar-lower
I-Body	sense s <sub>k</sub> of the target word we estimate:	page=1 xpos=0 ypos=8 left-column right-indent aligned-line shorter-tail headchar-lower tailchar-colon above-double-space above-line-space
B-Equation	SenseScore(s <sub>k</sub> ) = ∑ Overlap(context, Rel(s k ))	page=1 xpos=0 ypos=8 left-column left-indent right-indent font-largest longer-tail line-double-space line-space headchar-capital above-line-space
I-Equation	Rel∈Relations	page=1 xpos=1 ypos=8 left-column left-indent right-indent font-smallest indented-line shorter-tail line-space headchar-capital above-double-space above-line-space
I-Body	where context is a simple (space separated) con-	page=1 xpos=0 ypos=8 left-column full-justified hanged-line longer-tail line-double-space line-space headchar-lower tailchar-hiphen
I-Body	catenation of all words w <sub>i</sub> for −n ≤ i ≤ n, i 6 = 0 in	page=1 xpos=0 ypos=8 left-column full-justified aligned-line headchar-lower
I-Body	a context window of length ±n around the target	page=1 xpos=0 ypos=9 left-column full-justified aligned-line itemization headchar-lower
I-Body	word w <sub>0</sub> . The overlap scoring mechanism is also	page=1 xpos=0 ypos=9 left-column full-justified font-larger aligned-line headchar-lower column-bottom
I-Body	parametrized and can be adjusted to take the into	page=1 xpos=5 ypos=0 right-column full-justified column-top headchar-lower
E-Body	account gloss length or to ignore function words.	page=1 xpos=5 ypos=0 right-column right-indent aligned-line shorter-tail headchar-lower tailchar-period above-blank-line above-double-space above-line-space
B-Body	Distributional and WordNet Similarity	page=1 xpos=5 ypos=0 right-column full-justified font-smallest aligned-line longer-tail line-blank-line line-double-space line-space headchar-capital above-line-space
I-Body	McCarthy et al. (2004) propose a method for	page=1 xpos=5 ypos=0 right-column full-justified aligned-line line-space year headchar-capital
I-Body	automatically ranking the senses of ambiguous	page=1 xpos=5 ypos=0 right-column full-justified aligned-line headchar-lower
I-Body	words from raw text. Key in their approach is the	page=1 xpos=5 ypos=0 right-column full-justified aligned-line headchar-lower
I-Body	observation that distributionally similar neighbors	page=1 xpos=5 ypos=1 right-column full-justified aligned-line headchar-lower
I-Body	often provide cues about a word’s senses. As-	page=1 xpos=5 ypos=1 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	suming that a set of neighbors is available, sense	page=1 xpos=5 ypos=1 right-column full-justified aligned-line headchar-lower
I-Body	ranking is equivalent to quantifying the degree	page=1 xpos=5 ypos=1 right-column full-justified aligned-line headchar-lower
I-Body	of similarity among the neighbors and the sense	page=1 xpos=5 ypos=1 right-column full-justified aligned-line headchar-lower
E-Body	descriptions of the polysemous word.	page=1 xpos=5 ypos=1 right-column right-indent aligned-line shorter-tail headchar-lower tailchar-period
B-Body	Let N(w) = {n <sub>1</sub> , n 2 , . . . , n k } be the k most (dis-	page=1 xpos=5 ypos=2 right-column left-indent font-larger indented-line longer-tail headchar-capital tailchar-hiphen
I-Body	tributionally) similar words to an ambiguous tar-	page=1 xpos=5 ypos=2 right-column full-justified hanged-line headchar-lower tailchar-hiphen
I-Body	get word w and senses(w) = {s <sub>1</sub> , s 2 , . . . s n } the set	page=1 xpos=5 ypos=2 right-column full-justified font-larger aligned-line headchar-lower
I-Body	of senses for w. For each sense s <sub>i</sub> and for each	page=1 xpos=5 ypos=2 right-column full-justified aligned-line headchar-lower
I-Body	neighbor n <sub>j</sub> , the algorithm selects the neighbor’s	page=1 xpos=5 ypos=2 right-column full-justified aligned-line headchar-lower
I-Body	sense which has the highest WordNet similarity	page=1 xpos=5 ypos=2 right-column full-justified aligned-line headchar-lower
I-Body	score (wnss) with regard to s <sub>i</sub> . The ranking score	page=1 xpos=5 ypos=3 right-column full-justified aligned-line headchar-lower
I-Body	of sense s <sub>i</sub> is then increased as a function of the	page=1 xpos=5 ypos=3 right-column full-justified aligned-line headchar-lower
I-Body	WordNet similarity score and the distributional	page=1 xpos=5 ypos=3 right-column full-justified aligned-line headchar-capital
I-Body	similarity score (dss) between the target word and	page=1 xpos=5 ypos=3 right-column full-justified aligned-line headchar-lower
I-Body	the neighbor:	page=1 xpos=5 ypos=3 right-column right-indent aligned-line shorter-tail headchar-lower tailchar-colon above-double-space above-line-space
B-Equation	RankScore(s <sub>i</sub> ) = ∑ dss(w, n j ) <sup>wnss(s</sup> ∑ wnss(s i <sup>,</sup> n j 0 ) , n )	page=1 xpos=5 ypos=4 right-column left-over right-indent font-largest longer-tail line-double-space line-space headchar-capital
I-Equation	s 0 <sub>i</sub> ∈senses(w) <sup>i</sup> <sup>j</sup>	page=1 xpos=8 ypos=4 right-column left-indent right-indent font-largest indented-line shorter-tail itemization headchar-lower
I-Equation	n <sub>j</sub> ∈N w	page=1 xpos=6 ypos=4 right-column left-indent right-indent font-smallest hanged-line shorter-tail itemization headchar-lower above-blank-line above-double-space above-line-space
E-Body	where wnss(s <sub>i</sub> , n j ) = max wnss(s i , ns x ).	page=1 xpos=5 ypos=4 right-column right-indent hanged-line longer-tail line-blank-line line-double-space line-space headchar-lower tailchar-period above-line-space
B-Body	The predominant sense <sup>ns</sup> x <sup>∈senses(n</sup> is simply j ) the sense with	page=1 xpos=5 ypos=4 right-column left-indent font-largest indented-line longer-tail line-space headchar-capital
I-Body	the highest ranking score (RankScore) and can be	page=1 xpos=5 ypos=5 right-column full-justified hanged-line headchar-lower
I-Body	consequently used to perform type-based disam-	page=1 xpos=5 ypos=5 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	biguation. The method presented above has four	page=1 xpos=5 ypos=5 right-column full-justified aligned-line headchar-lower
I-Body	parameters: (a) the semantic space model repre-	page=1 xpos=5 ypos=5 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	senting the distributional properties of the target	page=1 xpos=5 ypos=5 right-column full-justified aligned-line headchar-lower
I-Body	words (it is acquired from a large corpus repre-	page=1 xpos=5 ypos=6 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	sentative of the domain at hand and can be aug-	page=1 xpos=5 ypos=6 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	mented with syntactic relations such as subject or	page=1 xpos=5 ypos=6 right-column full-justified aligned-line headchar-lower
I-Body	object), (b) the measure of distributional similarity	page=1 xpos=5 ypos=6 right-column full-justified aligned-line headchar-lower
I-Body	for discovering neighbors (c) the number of neigh-	page=1 xpos=5 ypos=6 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	bors that the ranking score takes into account, and	page=1 xpos=5 ypos=6 right-column full-justified aligned-line headchar-lower
E-Body	(d) the measure of sense similarity.	page=1 xpos=5 ypos=7 right-column right-indent aligned-line shorter-tail itemization tailchar-period above-line-space
B-Body	Lexical Chains Lexical cohesion is often rep-	page=1 xpos=5 ypos=7 right-column full-justified aligned-line longer-tail line-space headchar-capital tailchar-hiphen
I-Body	resented via lexical chains, i.e., sequences of re-	page=1 xpos=5 ypos=7 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	lated words spanning a topical text unit (Mor-	page=1 xpos=5 ypos=7 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	ris and Hirst, 1991). Algorithms for computing	page=1 xpos=5 ypos=7 right-column full-justified aligned-line year headchar-lower
I-Body	lexical chains often perform WSD before infer-	page=1 xpos=5 ypos=7 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	ring which words are semantically related. Here	page=1 xpos=5 ypos=8 right-column full-justified aligned-line headchar-lower
I-Body	we describe one such disambiguation algorithm,	page=1 xpos=5 ypos=8 right-column full-justified aligned-line headchar-lower tailchar-comma
I-Body	proposed by Galley and McKeown (2003), while	page=1 xpos=5 ypos=8 right-column full-justified aligned-line year headchar-lower
I-Body	omitting the details of creating the lexical chains	page=1 xpos=5 ypos=8 right-column full-justified aligned-line headchar-lower
E-Body	themselves.	page=1 xpos=5 ypos=8 right-column right-indent aligned-line shorter-tail headchar-lower tailchar-period
B-Body	Galley and McKeown’s (2003) method consists	page=1 xpos=5 ypos=8 right-column left-indent indented-line longer-tail year headchar-capital
I-Body	of two stages. First, a graph is built represent-	page=1 xpos=5 ypos=9 right-column full-justified hanged-line headchar-lower tailchar-hiphen
I-Body	ing all possible interpretations of the target words	page=1 xpos=5 ypos=9 right-column full-justified aligned-line headchar-lower column-bottom above-blank-line above-double-space above-line-space
Page	98	page=1 xpos=4 ypos=9 single-column centered left-indent right-indent font-smallest column-top line-blank-line line-double-space line-space numeric-only page-bottom
I-Body	in question. The text is processed sequentially,	page=2 xpos=0 ypos=0 left-column full-justified page-top headchar-lower tailchar-comma
I-Body	comparing each word against all words previously	page=2 xpos=0 ypos=0 left-column full-justified aligned-line headchar-lower
I-Body	read. If a relation exists between the senses of the	page=2 xpos=0 ypos=0 left-column full-justified aligned-line headchar-lower
I-Body	current word and any possible sense of a previous	page=2 xpos=0 ypos=0 left-column full-justified aligned-line headchar-lower
I-Body	word, a connection is formed between the appro-	page=2 xpos=0 ypos=0 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	priate words and senses. The strength of the con-	page=2 xpos=0 ypos=0 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	nection is a function of the type of relationship and	page=2 xpos=0 ypos=1 left-column full-justified aligned-line headchar-lower
I-Body	of the distance between the words in the text (in	page=2 xpos=0 ypos=1 left-column full-justified aligned-line headchar-lower
I-Body	terms of words, sentences and paragraphs). Words	page=2 xpos=0 ypos=1 left-column full-justified aligned-line headchar-lower
I-Body	are represented as nodes in the graph and seman-	page=2 xpos=0 ypos=1 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	tic relations as weighted edges. Again, the set of	page=2 xpos=0 ypos=1 left-column full-justified aligned-line headchar-lower
I-Body	relations being considered is a parameter that can	page=2 xpos=0 ypos=1 left-column full-justified aligned-line headchar-lower
E-Body	be tuned experimentally.	page=2 xpos=0 ypos=2 left-column right-indent aligned-line shorter-tail headchar-lower tailchar-period above-line-space
