Title	Extracting Paraphrases from a Parallel Corpus	page=0 xpos=1 ypos=0 single-column centered left-indent right-indent font-largest page-top headchar-capital above-blank-line above-double-space above-line-space
I-Body	limited only to synonymy relations. But the ex-	page=0 xpos=5 ypos=3 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	tent of interchangeability between phrases which	page=0 xpos=5 ypos=3 right-column full-justified aligned-line headchar-lower
I-Body	form paraphrases is an open question (Dras,	page=0 xpos=5 ypos=3 right-column full-justified aligned-line headchar-lower tailchar-comma
I-Body	1999). A corpus-based approach can provide in-	page=0 xpos=5 ypos=3 right-column full-justified aligned-line year tailchar-hiphen
I-Body	sights on this question by revealing paraphrases	page=0 xpos=5 ypos=3 right-column full-justified aligned-line headchar-lower
E-Body	that people use.	page=0 xpos=5 ypos=4 right-column right-indent aligned-line shorter-tail headchar-lower tailchar-period above-line-space
B-Body	This paper presents a corpus-based method for	page=0 xpos=5 ypos=4 right-column left-indent indented-line longer-tail line-space headchar-capital
I-Body	automatic extraction of paraphrases. We use a	page=0 xpos=5 ypos=4 right-column full-justified hanged-line headchar-lower
I-Body	large collection of multiple parallel English trans-	page=0 xpos=5 ypos=4 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	lations of novels <sup>1</sup> . This corpus provides many	page=0 xpos=5 ypos=4 right-column full-justified font-largest aligned-line headchar-lower
I-Body	instances of paraphrasing, because translations	page=0 xpos=5 ypos=5 right-column full-justified aligned-line headchar-lower
I-Body	preserve the meaning of the original source, but	page=0 xpos=5 ypos=5 right-column full-justified aligned-line headchar-lower
I-Body	may use different words to convey the mean-	page=0 xpos=5 ypos=5 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	ing. An example of parallel translations is shown	page=0 xpos=5 ypos=5 right-column full-justified aligned-line headchar-lower
I-Body	in Figure 1. It contains two pairs of para-	page=0 xpos=5 ypos=6 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	phrases: (“burst into tears”, “cried”) and (“com-	page=0 xpos=5 ypos=6 right-column full-justified aligned-line headchar-lower tailchar-hiphen
E-Body	fort”, “console”).	page=0 xpos=5 ypos=6 right-column right-indent aligned-line shorter-tail headchar-lower tailchar-period above-double-space above-line-space
Figure	__Figure 1__	page=0 xpos=5 ypos=6 right-column centered left-indent right-indent box longer-tail line-double-space line-space figure-area above-double-space above-line-space
B-Caption	Figure 1: Two English translations of the French	page=0 xpos=5 ypos=7 right-column full-justified line-double-space line-space string-figure headchar-capital
E-Caption	sentence from Flaubert’s “Madame Bovary”	page=0 xpos=5 ypos=7 right-column right-indent aligned-line shorter-tail headchar-lower above-double-space above-line-space
B-Body	Our method for paraphrase extraction builds	page=0 xpos=5 ypos=8 right-column left-indent indented-line longer-tail line-double-space line-space headchar-capital
I-Body	upon methodology developed in Machine Trans-	page=0 xpos=5 ypos=8 right-column full-justified hanged-line headchar-lower tailchar-hiphen
I-Body	lation (MT). In MT, pairs of translated sentences	page=0 xpos=5 ypos=8 right-column full-justified aligned-line headchar-lower
I-Body	from a bilingual corpus are aligned, and occur-	page=0 xpos=5 ypos=8 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	rence patterns of words in two languages in the	page=0 xpos=5 ypos=8 right-column full-justified aligned-line headchar-lower
I-Body	text are extracted and matched using correlation	page=0 xpos=5 ypos=9 right-column full-justified aligned-line headchar-lower
I-Body	measures. However, our parallel corpus is far	page=0 xpos=5 ypos=9 right-column full-justified aligned-line headchar-lower
I-Body	from the clean parallel corpora used in MT. The	page=0 xpos=5 ypos=9 right-column full-justified aligned-line headchar-lower above-double-space above-line-space
B-Footnote	<sup>1</sup> Foreign sources are not used in our experiment.	page=0 xpos=5 ypos=9 right-column left-indent right-indent indented-line shorter-tail line-double-space line-space headchar-super tailchar-period page-bottom
I-Body	rendition of a literary text into another language	page=1 xpos=0 ypos=0 left-column full-justified page-top headchar-lower
I-Body	not only includes the translation, but also restruc-	page=1 xpos=0 ypos=0 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	turing of the translation to fit the appropriate lit-	page=1 xpos=0 ypos=0 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	erary style. This process introduces differences	page=1 xpos=0 ypos=0 left-column full-justified aligned-line headchar-lower
I-Body	in the translations which are an intrinsic part of	page=1 xpos=0 ypos=0 left-column full-justified aligned-line headchar-lower
I-Body	the creative process. This results in greater dif-	page=1 xpos=0 ypos=1 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	ferences across translations than the differences	page=1 xpos=0 ypos=1 left-column full-justified aligned-line headchar-lower
I-Body	in typical MT parallel corpora, such as the Cana-	page=1 xpos=0 ypos=1 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	dian Hansards. We will return to this point later	page=1 xpos=0 ypos=1 left-column full-justified aligned-line headchar-lower
E-Body	in Section 3.	page=1 xpos=0 ypos=1 left-column right-indent aligned-line shorter-tail headchar-lower tailchar-period above-line-space
B-Body	Based on the specifics of our corpus, we de-	page=1 xpos=0 ypos=2 left-column left-indent indented-line longer-tail line-space headchar-capital tailchar-hiphen
I-Body	veloped an unsupervised learning algorithm for	page=1 xpos=0 ypos=2 left-column full-justified hanged-line headchar-lower
I-Body	paraphrase extraction. During the preprocessing	page=1 xpos=0 ypos=2 left-column full-justified aligned-line headchar-lower
I-Body	stage, the corresponding sentences are aligned.	page=1 xpos=0 ypos=2 left-column full-justified aligned-line headchar-lower tailchar-period
I-Body	We base our method for paraphrasing extraction	page=1 xpos=0 ypos=2 left-column full-justified aligned-line headchar-capital
I-Body	on the assumption that phrases in aligned sen-	page=1 xpos=0 ypos=3 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	tences which appear in similar contexts are para-	page=1 xpos=0 ypos=3 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	phrases. To automatically infer which contexts	page=1 xpos=0 ypos=3 left-column full-justified aligned-line headchar-lower
I-Body	are good predictors of paraphrases, contexts sur-	page=1 xpos=0 ypos=3 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	rounding identical words in aligned sentences are	page=1 xpos=0 ypos=3 left-column full-justified aligned-line headchar-lower
I-Body	extracted and filtered according to their predic-	page=1 xpos=0 ypos=4 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	tive power. Then, these contexts are used to ex-	page=1 xpos=0 ypos=4 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	tract new paraphrases. In addition to learning lex-	page=1 xpos=0 ypos=4 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	ical paraphrases, the method also learns syntactic	page=1 xpos=0 ypos=4 left-column full-justified aligned-line headchar-lower
I-Body	paraphrases, by generalizing syntactic patterns of	page=1 xpos=0 ypos=4 left-column full-justified aligned-line headchar-lower
I-Body	the extracted paraphrases. Extracted paraphrases	page=1 xpos=0 ypos=5 left-column full-justified aligned-line headchar-lower
I-Body	are then applied to the corpus, and used to learn	page=1 xpos=0 ypos=5 left-column full-justified aligned-line headchar-lower
I-Body	new context rules. This iterative algorithm con-	page=1 xpos=0 ypos=5 left-column full-justified aligned-line headchar-lower tailchar-hiphen
E-Body	tinues until no new paraphrases are discovered.	page=1 xpos=0 ypos=5 left-column right-indent aligned-line shorter-tail headchar-lower tailchar-period above-line-space
B-Body	A novel feature of our approach is the ability to	page=1 xpos=0 ypos=5 left-column left-indent indented-line longer-tail line-space headchar-capital
I-Body	extract multiple kinds of paraphrases:	page=1 xpos=0 ypos=6 left-column right-indent hanged-line shorter-tail headchar-lower tailchar-colon above-line-space
B-Listitem	Identification of lexical paraphrases. In con-	page=1 xpos=0 ypos=6 left-column full-justified aligned-line longer-tail line-space headchar-capital tailchar-hiphen
I-Listitem	trast to earlier work on similarity, our approach	page=1 xpos=0 ypos=6 left-column full-justified aligned-line headchar-lower
I-Listitem	allows identification of multi-word paraphrases,	page=1 xpos=0 ypos=6 left-column full-justified aligned-line headchar-lower tailchar-comma
I-Listitem	in addition to single words, a challenging issue	page=1 xpos=0 ypos=6 left-column full-justified aligned-line headchar-lower
I-Listitem	for corpus-based techniques.	page=1 xpos=0 ypos=7 left-column right-indent aligned-line shorter-tail headchar-lower tailchar-period above-line-space
B-Listitem	Extraction of morpho-syntactic paraphrasing	page=1 xpos=0 ypos=7 left-column full-justified aligned-line longer-tail line-space headchar-capital
I-Listitem	rules. Our approach yields a set of paraphras-	page=1 xpos=0 ypos=7 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Listitem	ing patterns by extrapolating the syntactic and	page=1 xpos=0 ypos=7 left-column full-justified aligned-line headchar-lower
I-Listitem	morphological structure of extracted paraphrases.	page=1 xpos=0 ypos=8 left-column full-justified aligned-line headchar-lower tailchar-period
I-Listitem	This process relies on morphological information	page=1 xpos=0 ypos=8 left-column full-justified aligned-line headchar-capital
I-Listitem	and a part-of-speech tagging. Many of the rules	page=1 xpos=0 ypos=8 left-column full-justified aligned-line headchar-lower
I-Listitem	identified by the algorithm match those that have	page=1 xpos=0 ypos=8 left-column full-justified aligned-line headchar-lower
I-Listitem	been described as productive paraphrases in the	page=1 xpos=0 ypos=8 left-column full-justified aligned-line headchar-lower
I-Listitem	linguistic literature.	page=1 xpos=0 ypos=9 left-column right-indent aligned-line shorter-tail headchar-lower tailchar-period above-line-space
B-Body	In the following sections, we provide an	page=1 xpos=0 ypos=9 left-column left-indent indented-line longer-tail line-space headchar-capital
I-Body	overview of existing work on paraphrasing, then	page=1 xpos=0 ypos=9 left-column full-justified hanged-line headchar-lower
I-Body	we describe data used in this work, and detail our	page=1 xpos=0 ypos=9 left-column full-justified aligned-line headchar-lower
I-Body	paraphrase extraction technique. We present re-	page=1 xpos=0 ypos=9 left-column full-justified aligned-line headchar-lower tailchar-hiphen column-bottom
I-Body	sults of our evaluation, and conclude with a dis-	page=1 xpos=5 ypos=0 right-column full-justified column-top headchar-lower tailchar-hiphen
E-Body	cussion of our results.	page=1 xpos=5 ypos=0 right-column right-indent aligned-line shorter-tail headchar-lower tailchar-period above-double-space above-line-space
B-SectionHeader	2 Related Work on Paraphrasing	page=1 xpos=5 ypos=0 right-column right-indent font-larger aligned-line longer-tail line-double-space line-space numbered-heading1 above-double-space above-line-space
B-Body	Many NLP applications are required to deal with	page=1 xpos=5 ypos=0 right-column full-justified aligned-line longer-tail line-double-space line-space headchar-capital
I-Body	the unlimited variety of human language in ex-	page=1 xpos=5 ypos=1 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	pressing the same information. So far, three	page=1 xpos=5 ypos=1 right-column full-justified aligned-line headchar-lower
I-Body	major approaches of collecting paraphrases have	page=1 xpos=5 ypos=1 right-column full-justified aligned-line headchar-lower
I-Body	emerged: manual collection, utilization of exist-	page=1 xpos=5 ypos=1 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	ing lexical resources and corpus-based extraction	page=1 xpos=5 ypos=1 right-column full-justified aligned-line headchar-lower
E-Body	of similar words.	page=1 xpos=5 ypos=2 right-column right-indent aligned-line shorter-tail headchar-lower tailchar-period
B-Body	Manual collection of paraphrases is usually	page=1 xpos=5 ypos=2 right-column left-indent indented-line longer-tail headchar-capital
I-Body	used in generation (Iordanskaja et al., 1991;	page=1 xpos=5 ypos=2 right-column full-justified hanged-line year headchar-lower tailchar-semicolon
I-Body	Robin, 1994). Paraphrasing is an inevitable part	page=1 xpos=5 ypos=2 right-column full-justified aligned-line year headchar-capital
I-Body	of any generation task, because a semantic con-	page=1 xpos=5 ypos=2 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	cept can be realized in many different ways.	page=1 xpos=5 ypos=3 right-column full-justified aligned-line headchar-lower tailchar-period
I-Body	Knowledge of possible concept verbalizations can	page=1 xpos=5 ypos=3 right-column full-justified aligned-line headchar-capital
I-Body	help to generate a text which best fits existing syn-	page=1 xpos=5 ypos=3 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	tactic and pragmatic constraints. Traditionally, al-	page=1 xpos=5 ypos=3 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	ternative verbalizations are derived from a man-	page=1 xpos=5 ypos=3 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	ual corpus analysis, and are, therefore, applica-	page=1 xpos=5 ypos=4 right-column full-justified aligned-line headchar-lower tailchar-hiphen
E-Body	tion specific.	page=1 xpos=5 ypos=4 right-column right-indent aligned-line shorter-tail headchar-lower tailchar-period
B-Body	The second approach — utilization of existing	page=1 xpos=5 ypos=4 right-column left-indent indented-line longer-tail headchar-capital
I-Body	lexical resources, such as WordNet — overcomes	page=1 xpos=5 ypos=4 right-column full-justified hanged-line headchar-lower
I-Body	the scalability problem associated with an appli-	page=1 xpos=5 ypos=4 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	cation specific collection of paraphrases. Lexical	page=1 xpos=5 ypos=5 right-column full-justified aligned-line headchar-lower
I-Body	resources are used in statistical generation, sum-	page=1 xpos=5 ypos=5 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	marization and question-answering. The ques-	page=1 xpos=5 ypos=5 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	tion here is what type of WordNet relations can	page=1 xpos=5 ypos=5 right-column full-justified aligned-line headchar-lower
I-Body	be considered as paraphrases. In some appli-	page=1 xpos=5 ypos=5 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	cations, only synonyms are considered as para-	page=1 xpos=5 ypos=6 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	phrases (Langkilde and Knight, 1998); in others,	page=1 xpos=5 ypos=6 right-column full-justified aligned-line year headchar-lower tailchar-comma
I-Body	looser definitions are used (Barzilay and Elhadad,	page=1 xpos=5 ypos=6 right-column full-justified aligned-line headchar-lower tailchar-comma
I-Body	1997). These definitions are valid in the context	page=1 xpos=5 ypos=6 right-column full-justified aligned-line year
I-Body	of particular applications; however, in general, the	page=1 xpos=5 ypos=6 right-column full-justified aligned-line headchar-lower
I-Body	correspondence between paraphrasing and types	page=1 xpos=5 ypos=7 right-column full-justified aligned-line headchar-lower
I-Body	of lexical relations is not clear. The same ques-	page=1 xpos=5 ypos=7 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	tion arises with automatically constructed the-	page=1 xpos=5 ypos=7 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	sauri (Pereira et al., 1993; Lin, 1998). While	page=1 xpos=5 ypos=7 right-column full-justified aligned-line year headchar-lower
I-Body	the extracted pairs are indeed similar, they are not	page=1 xpos=5 ypos=8 right-column full-justified aligned-line headchar-lower
I-Body	paraphrases. For example, while “dog” and “cat”	page=1 xpos=5 ypos=8 right-column full-justified aligned-line headchar-lower
I-Body	are recognized as the most similar concepts by	page=1 xpos=5 ypos=8 right-column full-justified aligned-line headchar-lower
I-Body	the method described in (Lin, 1998), it is hard	page=1 xpos=5 ypos=8 right-column full-justified aligned-line year headchar-lower
I-Body	to imagine a context in which these words would	page=1 xpos=5 ypos=8 right-column full-justified aligned-line headchar-lower
E-Body	be interchangeable.	page=1 xpos=5 ypos=9 right-column right-indent aligned-line shorter-tail headchar-lower tailchar-period
B-Body	The first attempt to derive paraphrasing rules	page=1 xpos=5 ypos=9 right-column left-indent indented-line longer-tail headchar-capital
I-Body	from corpora was undertaken by (Jacquemin et	page=1 xpos=5 ypos=9 right-column full-justified hanged-line headchar-lower
I-Body	al., 1997), who investigated morphological and	page=1 xpos=5 ypos=9 right-column full-justified aligned-line year headchar-lower
I-Body	syntactic variants of technical terms. While these	page=1 xpos=5 ypos=9 right-column full-justified aligned-line headchar-lower page-bottom
I-Body	rules achieve high accuracy in identifying term	page=2 xpos=0 ypos=0 left-column full-justified page-top headchar-lower
I-Body	paraphrases, the techniques used have not been	page=2 xpos=0 ypos=0 left-column full-justified aligned-line headchar-lower
I-Body	extended to other types of paraphrasing yet. Sta-	page=2 xpos=0 ypos=0 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	tistical techniques were also successfully used	page=2 xpos=0 ypos=0 left-column full-justified aligned-line headchar-lower
I-Body	by (Lapata, 2001) to identify paraphrases of	page=2 xpos=0 ypos=0 left-column full-justified aligned-line year headchar-lower
I-Body	adjective-noun phrases. In contrast, our method	page=2 xpos=0 ypos=1 left-column full-justified aligned-line headchar-lower
E-Body	is not limited to a particular paraphrase type.	page=2 xpos=0 ypos=1 left-column right-indent aligned-line shorter-tail headchar-lower tailchar-period above-double-space above-line-space
B-SectionHeader	3 The Data	page=2 xpos=0 ypos=1 left-column right-indent font-larger aligned-line shorter-tail line-double-space line-space numbered-heading1 above-double-space above-line-space
B-Body	The corpus we use for identification of para-	page=2 xpos=0 ypos=1 left-column full-justified aligned-line longer-tail line-double-space line-space headchar-capital tailchar-hiphen
I-Body	phrases is a collection of multiple English trans-	page=2 xpos=0 ypos=2 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	lations from a foreign source text. Specifically,	page=2 xpos=0 ypos=2 left-column full-justified aligned-line headchar-lower tailchar-comma
I-Body	we use literary texts written by foreign authors.	page=2 xpos=0 ypos=2 left-column full-justified aligned-line headchar-lower tailchar-period
I-Body	Many classical texts have been translated more	page=2 xpos=0 ypos=2 left-column full-justified aligned-line headchar-capital
I-Body	than once, and these translations are available	page=2 xpos=0 ypos=2 left-column full-justified aligned-line headchar-lower
I-Body	on-line. In our experiments we used 5 books,	page=2 xpos=0 ypos=3 left-column full-justified aligned-line headchar-lower tailchar-comma
I-Body	among them, Flaubert’s Madame Bovary, Ander-	page=2 xpos=0 ypos=3 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	sen’s Fairy Tales and Verne’s Twenty Thousand	page=2 xpos=0 ypos=3 left-column full-justified aligned-line headchar-lower
I-Body	Leagues Under the Sea. Some of the translations	page=2 xpos=0 ypos=3 left-column full-justified aligned-line headchar-capital
I-Body	were created during different time periods and in	page=2 xpos=0 ypos=3 left-column full-justified aligned-line headchar-lower
I-Body	different countries. In total, our corpus contains	page=2 xpos=0 ypos=4 left-column full-justified aligned-line headchar-lower
E-Body	11 translations <sup>2</sup> .	page=2 xpos=0 ypos=4 left-column right-indent font-largest aligned-line shorter-tail numbered-heading1 tailchar-period
B-Body	At first glance, our corpus seems quite simi-	page=2 xpos=0 ypos=4 left-column left-indent indented-line longer-tail headchar-capital tailchar-hiphen
I-Body	lar to parallel corpora used by researchers in MT,	page=2 xpos=0 ypos=4 left-column full-justified hanged-line headchar-lower tailchar-comma
I-Body	such as the Canadian Hansards. The major dis-	page=2 xpos=0 ypos=4 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	tinction lies in the degree of proximity between	page=2 xpos=0 ypos=5 left-column full-justified aligned-line headchar-lower
I-Body	the translations. Analyzing multiple translations	page=2 xpos=0 ypos=5 left-column full-justified aligned-line headchar-lower
I-Body	of the literary texts, critics (e.g. (Wechsler, 1998))	page=2 xpos=0 ypos=5 left-column full-justified aligned-line year headchar-lower
I-Body	have observed that translations “are never iden-	page=2 xpos=0 ypos=5 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	tical”, and each translator creates his own inter-	page=2 xpos=0 ypos=6 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	pretations of the text. Clauses such as “adorning	page=2 xpos=0 ypos=6 left-column full-justified aligned-line headchar-lower
I-Body	his words with puns” and “saying things to make	page=2 xpos=0 ypos=6 left-column full-justified aligned-line headchar-lower
I-Body	her smile” from the sentences in Figure 1 are ex-	page=2 xpos=0 ypos=6 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	amples of distinct translations. Therefore, a com-	page=2 xpos=0 ypos=6 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	plete match between words of related sentences	page=2 xpos=0 ypos=7 left-column full-justified aligned-line headchar-lower
I-Body	is impossible. This characteristic of our corpus	page=2 xpos=0 ypos=7 left-column full-justified aligned-line headchar-lower
I-Body	is similar to problems with noisy and comparable	page=2 xpos=0 ypos=7 left-column full-justified aligned-line headchar-lower
I-Body	corpora (Veronis, 2000), and it prevents us from	page=2 xpos=0 ypos=7 left-column full-justified aligned-line year headchar-lower
I-Body	using methods developed in the MT community	page=2 xpos=0 ypos=7 left-column full-justified aligned-line headchar-lower
I-Body	based on clean parallel corpora, such as (Brown	page=2 xpos=0 ypos=8 left-column full-justified aligned-line headchar-lower
E-Body	et al., 1993).	page=2 xpos=0 ypos=8 left-column right-indent aligned-line shorter-tail year headchar-lower tailchar-period
B-Body	Another distinction between our corpus and	page=2 xpos=0 ypos=8 left-column left-indent indented-line longer-tail headchar-capital
I-Body	parallel MT corpora is the irregularity of word	page=2 xpos=0 ypos=8 left-column full-justified hanged-line headchar-lower
I-Body	matchings: in MT, no words in the source lan-	page=2 xpos=0 ypos=8 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	guage are kept as is in the target language trans-	page=2 xpos=0 ypos=9 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	lation; for example, an English translation of	page=2 xpos=0 ypos=9 left-column full-justified aligned-line headchar-lower above-double-space above-line-space
B-Footnote	<sup>2</sup> Free of copyright restrictions part of	page=2 xpos=0 ypos=9 left-column left-indent indented-line line-double-space line-space headchar-super
I-Footnote	our corpus(9 translations) is available at	page=2 xpos=0 ypos=9 left-column full-justified font-smallest hanged-line headchar-lower
I-Footnote	http://www.cs.columbia.edu/˜regina /par.	page=2 xpos=0 ypos=9 left-column right-indent font-smallest aligned-line headchar-lower tailchar-period column-bottom
