B-Header	Proceedings of HLT-NAACL 2003	page=0 xpos=6 ypos=0 right-column left-indent font-smallest page-top year headchar-capital
I-Abstract	and/or answer levels. Experiments evaluating	page=0 xpos=0 ypos=5 left-column centered left-indent right-indent aligned-line headchar-lower
I-Abstract	the effectiveness of our answer resolution algo-	page=0 xpos=0 ypos=5 left-column centered left-indent right-indent aligned-line headchar-lower tailchar-hiphen
I-Abstract	rithm show a 35.0% relative improvement over	page=0 xpos=0 ypos=5 left-column centered left-indent right-indent aligned-line headchar-lower
I-Abstract	our baseline system in the number of questions	page=0 xpos=0 ypos=6 left-column centered left-indent right-indent aligned-line headchar-lower
I-Abstract	correctly answered, and a 32.8% improvement	page=0 xpos=0 ypos=6 left-column centered left-indent right-indent aligned-line headchar-lower
I-Abstract	according to the average precision metric.	page=0 xpos=0 ypos=6 left-column left-indent right-indent aligned-line shorter-tail headchar-lower tailchar-period above-blank-line above-double-space above-line-space
B-SectionHeader	1 Introduction	page=0 xpos=0 ypos=6 left-column right-indent font-largest hanged-line shorter-tail line-blank-line line-double-space line-space numbered-heading1 above-double-space above-line-space
B-Body	Traditional question answering (QA) systems typically	page=0 xpos=0 ypos=7 left-column full-justified aligned-line longer-tail line-double-space line-space headchar-capital
I-Body	employ a pipeline approach, consisting roughly of ques-	page=0 xpos=0 ypos=7 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	tion analysis, document/passage retrieval, and answer se-	page=0 xpos=0 ypos=7 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	lection (see e.g., (Prager et al., 2000; Moldovan et al.,	page=0 xpos=0 ypos=7 left-column full-justified aligned-line year headchar-lower tailchar-comma
I-Body	2000; Hovy et al., 2001; Clarke et al., 2001)). Although a	page=0 xpos=0 ypos=7 left-column full-justified aligned-line year
I-Body	typical QA system classifies questions based on expected	page=0 xpos=0 ypos=7 left-column full-justified aligned-line headchar-lower
I-Body	answer types, it adopts the same strategy for locating po-	page=0 xpos=0 ypos=8 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	tential answers from the same corpus regardless of the	page=0 xpos=0 ypos=8 left-column full-justified aligned-line headchar-lower
I-Body	question classification. In our own earlier work, we de-	page=0 xpos=0 ypos=8 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	veloped a specialized mechanism called Virtual Annota-	page=0 xpos=0 ypos=8 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	tion for handling definition questions (e.g., “Who was	page=0 xpos=0 ypos=8 left-column full-justified aligned-line headchar-lower
I-Body	Galileo?” and “What are antibiotics?”) that consults,	page=0 xpos=0 ypos=8 left-column full-justified aligned-line headchar-capital tailchar-comma
I-Body	in addition to the standard reference corpus, a structured	page=0 xpos=0 ypos=9 left-column full-justified aligned-line headchar-lower
I-Body	knowledge source (WordNet) for answering such ques-	page=0 xpos=0 ypos=9 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	tions (Prager et al., 2001). We have shown that better	page=0 xpos=0 ypos=9 left-column full-justified aligned-line year headchar-lower
I-Body	performance is achieved by applying Virtual Annotation	page=0 xpos=0 ypos=9 left-column full-justified aligned-line headchar-lower
I-Body	and our general purpose QA strategy in parallel. In this	page=0 xpos=0 ypos=9 left-column full-justified aligned-line headchar-lower column-bottom
I-Body	paper, we investigate the impact of adopting such a multi-	page=0 xpos=5 ypos=2 right-column full-justified column-top headchar-lower tailchar-hiphen
I-Body	strategy and multi-source approach to QA in a more gen-	page=0 xpos=5 ypos=3 right-column full-justified aligned-line headchar-lower tailchar-hiphen
E-Body	eral fashion.	page=0 xpos=5 ypos=3 right-column right-indent aligned-line shorter-tail headchar-lower tailchar-period above-blank-line above-double-space above-line-space
B-Body	Our approach to question answering is additionally	page=0 xpos=5 ypos=3 right-column left-indent indented-line longer-tail line-blank-line line-double-space line-space headchar-capital
I-Body	motivated by the success of ensemble methods in ma-	page=0 xpos=5 ypos=3 right-column full-justified hanged-line headchar-lower tailchar-hiphen
I-Body	chine learning, where multiple classifiers are employed	page=0 xpos=5 ypos=4 right-column full-justified aligned-line headchar-lower
I-Body	and their results are combined to produce the final output	page=0 xpos=5 ypos=4 right-column full-justified aligned-line headchar-lower
I-Body	of the ensemble (for an overview, see (Dietterich, 1997)).	page=0 xpos=5 ypos=4 right-column full-justified aligned-line year headchar-lower tailchar-period
I-Body	Such ensemble methods have recently been adopted in	page=0 xpos=5 ypos=4 right-column full-justified aligned-line headchar-capital
I-Body	question answering (Chu-Carroll et al., 2003b; Burger	page=0 xpos=5 ypos=4 right-column full-justified aligned-line year headchar-lower
I-Body	et al., 2003). In our question answering system, PI-	page=0 xpos=5 ypos=4 right-column full-justified aligned-line year headchar-lower tailchar-hiphen
I-Body	QUANT, we utilize in parallel multiple answering agents	page=0 xpos=5 ypos=5 right-column full-justified aligned-line headchar-capital
I-Body	that adopt different processing strategies and consult dif-	page=0 xpos=5 ypos=5 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	ferent knowledge sources in identifying answers to given	page=0 xpos=5 ypos=5 right-column full-justified aligned-line headchar-lower
I-Body	questions, and we employ resolution mechanisms to com-	page=0 xpos=5 ypos=5 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	bine the results produced by the individual answering	page=0 xpos=5 ypos=5 right-column full-justified aligned-line headchar-lower
E-Body	agents.	page=0 xpos=5 ypos=5 right-column right-indent aligned-line shorter-tail headchar-lower tailchar-period above-blank-line above-double-space above-line-space
B-Body	We call our approach multi-strategy since we com-	page=0 xpos=5 ypos=6 right-column left-indent indented-line longer-tail line-blank-line line-double-space line-space headchar-capital tailchar-hiphen
I-Body	bine the results from a number of independent agents im-	page=0 xpos=5 ypos=6 right-column full-justified hanged-line headchar-lower tailchar-hiphen
I-Body	plementing different answer finding strategies. We also	page=0 xpos=5 ypos=6 right-column full-justified aligned-line headchar-lower
I-Body	call it multi-source since the different agents can search	page=0 xpos=5 ypos=6 right-column full-justified aligned-line headchar-lower
I-Body	for answers in multiple knowledge sources. In this pa-	page=0 xpos=5 ypos=7 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	per, we focus on two answering agents that adopt fun-	page=0 xpos=5 ypos=7 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	damentally different strategies: one agent uses predomi-	page=0 xpos=5 ypos=7 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	nantly knowledge-based mechanisms, whereas the other	page=0 xpos=5 ypos=7 right-column full-justified aligned-line headchar-lower
I-Body	agent is based on statistical methods. Our multi-level	page=0 xpos=5 ypos=7 right-column full-justified aligned-line headchar-lower
I-Body	resolution algorithm enables combination of results from	page=0 xpos=5 ypos=7 right-column full-justified aligned-line headchar-lower
I-Body	each answering agent at the question, passage, and/or an-	page=0 xpos=5 ypos=8 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	swer levels. Our experiments show that in most cases	page=0 xpos=5 ypos=8 right-column full-justified aligned-line headchar-lower
I-Body	our multi-level resolution algorithm outperforms its com-	page=0 xpos=5 ypos=8 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	ponents, supporting a tightly-coupled design for multi-	page=0 xpos=5 ypos=8 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	agent QA systems. Experimental results show signifi-	page=0 xpos=5 ypos=8 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	cant performance improvement over our single-strategy,	page=0 xpos=5 ypos=8 right-column full-justified aligned-line headchar-lower tailchar-comma
I-Body	single-source baselines, with the best performing multi-	page=0 xpos=5 ypos=9 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	level resolution algorithm achieving a 35.0% relative im-	page=0 xpos=5 ypos=9 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	provement in the number of correct answers and a 32.8%	page=0 xpos=5 ypos=9 right-column full-justified aligned-line headchar-lower
I-Body	improvement in average precision, on a previously un-	page=0 xpos=5 ypos=9 right-column full-justified aligned-line headchar-lower tailchar-hiphen
E-Body	seen test set.	page=0 xpos=5 ypos=9 right-column right-indent aligned-line shorter-tail headchar-lower tailchar-period page-bottom
Figure	__Figure 1__	page=1 xpos=1 ypos=-5 single-column left-indent right-indent box page-top figure-area above-double-space above-line-space
B-Caption	Figure 1: PIQUANT’s Architecture	page=1 xpos=3 ypos=0 single-column centered left-indent right-indent indented-line shorter-tail line-double-space line-space string-figure headchar-capital column-bottom above-blank-line above-double-space above-line-space
B-SectionHeader	2 A Multi-Agent QA Architecture	page=1 xpos=0 ypos=0 left-column right-indent font-largest column-top line-blank-line line-double-space line-space numbered-heading1 above-double-space above-line-space
B-Body	In order to enable a multi-source and multi-strategy ap-	page=1 xpos=0 ypos=1 left-column full-justified aligned-line longer-tail line-double-space line-space headchar-capital tailchar-hiphen
I-Body	proach to question answering, we developed a modu-	page=1 xpos=0 ypos=1 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	lar and extensible QA architecture as shown in Figure 1	page=1 xpos=0 ypos=1 left-column full-justified aligned-line headchar-lower
I-Body	(Chu-Carroll et al., 2003a; Chu-Carroll et al., 2003b).	page=1 xpos=0 ypos=2 left-column full-justified aligned-line year tailchar-period
I-Body	With a consistent interface defined for each component,	page=1 xpos=0 ypos=2 left-column full-justified aligned-line headchar-capital tailchar-comma
I-Body	this architecture allows for easy plug-and-play of individ-	page=1 xpos=0 ypos=2 left-column full-justified aligned-line headchar-lower tailchar-hiphen
E-Body	ual components for experimental purposes.	page=1 xpos=0 ypos=2 left-column right-indent aligned-line shorter-tail headchar-lower tailchar-period above-line-space
B-Body	In our architecture, a question is first processed by the	page=1 xpos=0 ypos=3 left-column left-indent indented-line longer-tail line-space headchar-capital
I-Body	question analysis component. The analysis results are	page=1 xpos=0 ypos=3 left-column full-justified hanged-line headchar-lower
I-Body	represented as a QFrame, which minimally includes a set	page=1 xpos=0 ypos=3 left-column full-justified aligned-line headchar-lower
I-Body	of question features that help activate one or more an-	page=1 xpos=0 ypos=4 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	swering agents. Each answering agent takes the QFrame	page=1 xpos=0 ypos=4 left-column full-justified aligned-line headchar-lower
I-Body	and generates its own set of requests to a variety of	page=1 xpos=0 ypos=4 left-column full-justified aligned-line headchar-lower
I-Body	knowledge sources. This may include performing search	page=1 xpos=0 ypos=4 left-column full-justified aligned-line headchar-lower
I-Body	against a text corpus and extracting answers from the re-	page=1 xpos=0 ypos=5 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	sulting passages, or performing a query against a struc-	page=1 xpos=0 ypos=5 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	tured knowledge source, such as WordNet (Miller, 1995)	page=1 xpos=0 ypos=5 left-column full-justified aligned-line year headchar-lower
I-Body	or Cyc (Lenat, 1995). The (intermediate) results from	page=1 xpos=0 ypos=5 left-column full-justified aligned-line year headchar-lower
I-Body	the individual answering agents are then passed on to the	page=1 xpos=0 ypos=6 left-column full-justified aligned-line headchar-lower
I-Body	answer resolution component, which combines and re-	page=1 xpos=0 ypos=6 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	solves the set of results, and either produces the system’s	page=1 xpos=0 ypos=6 left-column full-justified aligned-line headchar-lower
I-Body	final answers or feeds the intermediate results back to the	page=1 xpos=0 ypos=7 left-column full-justified aligned-line headchar-lower
E-Body	answering agents for further processing.	page=1 xpos=0 ypos=7 left-column right-indent aligned-line shorter-tail headchar-lower tailchar-period above-line-space
B-Body	We have developed multiple answering agents, some	page=1 xpos=0 ypos=7 left-column left-indent indented-line longer-tail line-space headchar-capital
I-Body	general purpose and others tailored for specific ques-	page=1 xpos=0 ypos=7 left-column full-justified hanged-line headchar-lower tailchar-hiphen
I-Body	tion types. Figure 1 shows the answering agents cur-	page=1 xpos=0 ypos=8 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	rently available in PIQUANT. The knowledge-based and	page=1 xpos=0 ypos=8 left-column full-justified aligned-line headchar-lower
I-Body	statistical answering agents are general-purpose agents	page=1 xpos=0 ypos=8 left-column full-justified aligned-line headchar-lower
I-Body	that adopt different processing strategies and consult a	page=1 xpos=0 ypos=8 left-column full-justified aligned-line headchar-lower
I-Body	number of different text resources. The definition-Q	page=1 xpos=0 ypos=9 left-column full-justified aligned-line headchar-lower
I-Body	agent targets definition questions (e.g., “What is peni-	page=1 xpos=0 ypos=9 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	cillin?” and “Who is Picasso?”) with a technique called	page=1 xpos=0 ypos=9 left-column full-justified aligned-line headchar-lower column-bottom
I-Body	Virtual Annotation using the external knowledge source	page=1 xpos=5 ypos=0 right-column full-justified column-top headchar-capital
I-Body	WordNet (Prager et al., 2001). The KSP-based answer-	page=1 xpos=5 ypos=1 right-column full-justified aligned-line year headchar-capital tailchar-hiphen
I-Body	ing agent focuses on a subset of factoid questions with	page=1 xpos=5 ypos=1 right-column full-justified aligned-line headchar-lower
I-Body	specific logical forms, such as capital(?COUNTRY) and	page=1 xpos=5 ypos=1 right-column full-justified aligned-line headchar-lower
I-Body	state tree(?STATE). The answering agent sends requests	page=1 xpos=5 ypos=1 right-column full-justified aligned-line headchar-lower
I-Body	to the KSP (Knowledge Sources Portal), which returns, if	page=1 xpos=5 ypos=2 right-column full-justified aligned-line headchar-lower
I-Body	possible, an answer from a structured knowledge source	page=1 xpos=5 ypos=2 right-column full-justified aligned-line headchar-lower
E-Body	(Chu-Carroll et al., 2003a).	page=1 xpos=5 ypos=2 right-column right-indent aligned-line shorter-tail year tailchar-period above-line-space
B-Body	In the rest of this paper, we briefly describe our two	page=1 xpos=5 ypos=2 right-column left-indent indented-line longer-tail line-space headchar-capital
I-Body	general-purpose answering agents. We then focus on a	page=1 xpos=5 ypos=3 right-column full-justified hanged-line headchar-lower
I-Body	multi-level answer resolution algorithm, applicable at dif-	page=1 xpos=5 ypos=3 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	ferent points in the QA process of these two answering	page=1 xpos=5 ypos=3 right-column full-justified aligned-line headchar-lower
I-Body	agents. Finally, we discuss experiments conducted to dis-	page=1 xpos=5 ypos=4 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	cover effective methods for combining results from mul-	page=1 xpos=5 ypos=4 right-column full-justified aligned-line headchar-lower tailchar-hiphen
E-Body	tiple answering agents.	page=1 xpos=5 ypos=4 right-column right-indent aligned-line shorter-tail headchar-lower tailchar-period above-double-space above-line-space
B-SectionHeader	3 Component Answering Agents	page=1 xpos=5 ypos=5 right-column right-indent font-largest aligned-line longer-tail line-double-space line-space numbered-heading1 above-double-space above-line-space
B-Body	We focus on two end-to-end answering agents designed	page=1 xpos=5 ypos=5 right-column full-justified aligned-line longer-tail line-double-space line-space headchar-capital
I-Body	to answer short, fact-seeking questions from a collection	page=1 xpos=5 ypos=5 right-column full-justified aligned-line headchar-lower
I-Body	of text documents, as motivated by the requirements of	page=1 xpos=5 ypos=6 right-column full-justified aligned-line headchar-lower
I-Body	the TREC QA track (Voorhees, 2003). Both answer-	page=1 xpos=5 ypos=6 right-column full-justified aligned-line year headchar-lower tailchar-hiphen
I-Body	ing agents adopt the classic pipeline architecture, con-	page=1 xpos=5 ypos=6 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	sisting roughly of question analysis, passage retrieval,	page=1 xpos=5 ypos=6 right-column full-justified aligned-line headchar-lower tailchar-comma
I-Body	and answer selection components. Although the answer-	page=1 xpos=5 ypos=7 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	ing agents adopt fundamentally different strategies in	page=1 xpos=5 ypos=7 right-column full-justified aligned-line headchar-lower
I-Body	their individual components, they have performed quite	page=1 xpos=5 ypos=7 right-column full-justified aligned-line headchar-lower
I-Body	comparably in past TREC QA tracks (Voorhees, 2001;	page=1 xpos=5 ypos=8 right-column full-justified aligned-line year headchar-lower tailchar-semicolon
E-Body	Voorhees, 2002).	page=1 xpos=5 ypos=8 right-column right-indent aligned-line shorter-tail year headchar-capital tailchar-period above-double-space above-line-space
B-SubsectionHeader	3.1 Knowledge-Based Answering Agent	page=1 xpos=5 ypos=8 right-column right-indent aligned-line longer-tail line-double-space line-space numbered-heading2 above-double-space above-line-space
B-Body	Our first answering agent utilizes a primarily knowledge-	page=1 xpos=5 ypos=9 right-column full-justified aligned-line longer-tail line-double-space line-space headchar-capital tailchar-hiphen
I-Body	driven approach, based on Predictive Annotation (Prager	page=1 xpos=5 ypos=9 right-column full-justified aligned-line headchar-lower
I-Body	et al., 2000). A key characteristic of this approach is that	page=1 xpos=5 ypos=9 right-column full-justified aligned-line year headchar-lower page-bottom
I-Body	potential answers, such as person names, locations, and	page=2 xpos=0 ypos=0 left-column full-justified page-top headchar-lower
I-Body	dates, in the corpus are predictively annotated. In other	page=2 xpos=0 ypos=0 left-column full-justified aligned-line headchar-lower
I-Body	words, the corpus is indexed not only with keywords, as	page=2 xpos=0 ypos=0 left-column full-justified aligned-line headchar-lower
I-Body	is typical for most search engines, but also with the se-	page=2 xpos=0 ypos=0 left-column full-justified aligned-line headchar-lower tailchar-hiphen
E-Body	mantic classes of these pre-identified potential answers.	page=2 xpos=0 ypos=0 left-column right-indent aligned-line shorter-tail headchar-lower tailchar-period
B-Body	During the question analysis phase, a rule-based mech-	page=2 xpos=0 ypos=0 left-column left-indent indented-line longer-tail headchar-capital tailchar-hiphen
I-Body	anism is employed to select one or more expected an-	page=2 xpos=0 ypos=1 left-column full-justified hanged-line headchar-lower tailchar-hiphen
I-Body	swer types, from a set of about 80 classes used in the	page=2 xpos=0 ypos=1 left-column full-justified aligned-line headchar-lower
I-Body	predictive annotation process, along with a set of ques-	page=2 xpos=0 ypos=1 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	tion keywords. A weighted search engine query is then	page=2 xpos=0 ypos=1 left-column full-justified aligned-line headchar-lower
I-Body	constructed from the keywords, their morphological vari-	page=2 xpos=0 ypos=1 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	ations, synonyms, and the answer type(s). The search en-	page=2 xpos=0 ypos=2 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	gine returns a hit list of typically 10 passages, each con-	page=2 xpos=0 ypos=2 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	sisting of 1-3 sentences. The candidate answers in these	page=2 xpos=0 ypos=2 left-column full-justified aligned-line headchar-lower
I-Body	passages are identified and ranked based on three criteria:	page=2 xpos=0 ypos=2 left-column full-justified aligned-line headchar-lower tailchar-colon
I-Body	1) match in semantic type between candidate answer and	page=2 xpos=0 ypos=2 left-column full-justified aligned-line
I-Body	expected answer, 2) match in weighted grammatical rela-	page=2 xpos=0 ypos=2 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	tionships between question and answer passages, and 3)	page=2 xpos=0 ypos=3 left-column full-justified aligned-line headchar-lower
I-Body	frequency of answer in candidate passages (redundancy).	page=2 xpos=0 ypos=3 left-column full-justified aligned-line headchar-lower tailchar-period
I-Body	The answering agent returns the top n ranked candidate	page=2 xpos=0 ypos=3 left-column full-justified aligned-line headchar-capital
E-Body	answers along with a confidence score for each answer.	page=2 xpos=0 ypos=3 left-column right-indent aligned-line shorter-tail headchar-lower tailchar-period above-double-space above-line-space
B-SubsectionHeader	3.2 Statistical Answering Agent	page=2 xpos=0 ypos=4 left-column right-indent aligned-line shorter-tail line-double-space line-space numbered-heading2 above-double-space above-line-space
B-Body	The second answering agent takes a statistical approach	page=2 xpos=0 ypos=4 left-column full-justified aligned-line longer-tail line-double-space line-space headchar-capital
I-Body	to question answering (Ittycheriah, 2001; Ittycheriah et	page=2 xpos=0 ypos=4 left-column full-justified aligned-line year headchar-lower
I-Body	al., 2001). It models the distribution p(c|q, a), which	page=2 xpos=0 ypos=4 left-column full-justified aligned-line year headchar-lower
I-Body	measures the “correctness” (c) of an answer (a) to a ques-	page=2 xpos=0 ypos=4 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	tion (q), by introducing a hidden variable representing the	page=2 xpos=0 ypos=4 left-column full-justified aligned-line headchar-lower
I-Body	answer type (e) as follows:	page=2 xpos=0 ypos=5 left-column right-indent aligned-line shorter-tail headchar-lower tailchar-colon above-double-space above-line-space
B-Equation	p(c|q, a) = <sup>P</sup> <sub>e</sub> p(c, e|q, a)	page=2 xpos=0 ypos=5 left-column left-indent right-indent font-largest indented-line longer-tail line-double-space line-space headchar-lower
I-Equation	= <sup>P</sup> <sub>e</sub> p(c|e, q, a)p(e|q, a)	page=2 xpos=1 ypos=5 left-column left-indent right-indent font-largest indented-line longer-tail above-double-space above-line-space
I-Body	p(e|q, a) is the answer type model which predicts, from	page=2 xpos=0 ypos=5 left-column full-justified hanged-line longer-tail line-double-space line-space headchar-lower
I-Body	the question and a proposed answer, the answer type they	page=2 xpos=0 ypos=6 left-column full-justified aligned-line headchar-lower
I-Body	both satisfy. p(c|e, q, a) is the answer selection model.	page=2 xpos=0 ypos=6 left-column full-justified aligned-line headchar-lower tailchar-period
I-Body	Given a question, an answer, and the predicted answer	page=2 xpos=0 ypos=6 left-column full-justified aligned-line headchar-capital
I-Body	type, it seeks to model the correctness of this configura-	page=2 xpos=0 ypos=6 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	tion. These distributions are modeled using a maximum	page=2 xpos=0 ypos=6 left-column full-justified aligned-line headchar-lower
I-Body	entropy formulation (Berger et al., 1996), using training	page=2 xpos=0 ypos=7 left-column full-justified aligned-line year headchar-lower
I-Body	data which consists of human judgments of question an-	page=2 xpos=0 ypos=7 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	swer pairs. For the answer type model, 13K questions	page=2 xpos=0 ypos=7 left-column full-justified aligned-line headchar-lower
I-Body	were annotated with 31 categories. For the answer selec-	page=2 xpos=0 ypos=7 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	tion model, 892 questions from the TREC 8 and TREC 9	page=2 xpos=0 ypos=7 left-column full-justified aligned-line headchar-lower
E-Body	QA tracks were used, along with 4K trivia questions.	page=2 xpos=0 ypos=8 left-column right-indent aligned-line shorter-tail headchar-capital tailchar-period
B-Body	During runtime, the question is first analyzed by the	page=2 xpos=0 ypos=8 left-column left-indent indented-line longer-tail headchar-capital
I-Body	answer type model, which selects one out of a set of 31	page=2 xpos=0 ypos=8 left-column full-justified hanged-line headchar-lower
I-Body	types for use by the answer selection model. Simultane-	page=2 xpos=0 ypos=8 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	ously, the question is expanded using local context anal-	page=2 xpos=0 ypos=8 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	ysis (Xu and Croft, 1996) with an encyclopedia, and the	page=2 xpos=0 ypos=8 left-column full-justified aligned-line year headchar-lower
I-Body	top 1000 documents are retrieved by the search engine.	page=2 xpos=0 ypos=9 left-column full-justified aligned-line headchar-lower tailchar-period
I-Body	From these documents, the top 100 passages are chosen	page=2 xpos=0 ypos=9 left-column full-justified aligned-line headchar-capital
I-Body	that 1) maximize the question word match, 2) have the	page=2 xpos=0 ypos=9 left-column full-justified aligned-line headchar-lower
I-Body	desired answer type, 3) minimize the dispersion of ques-	page=2 xpos=0 ypos=9 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	tion words, and 4) have similar syntactic structures as the	page=2 xpos=0 ypos=9 left-column full-justified aligned-line headchar-lower column-bottom
I-Body	question. From these passages, candidate answers are ex-	page=2 xpos=5 ypos=0 right-column full-justified column-top headchar-lower tailchar-hiphen
I-Body	tracted and ranked using the answer selection model. The	page=2 xpos=5 ypos=0 right-column full-justified aligned-line headchar-lower
I-Body	top n candidate answers are then returned, each with an	page=2 xpos=5 ypos=0 right-column full-justified aligned-line headchar-lower
E-Body	associated confidence score.	page=2 xpos=5 ypos=0 right-column right-indent aligned-line shorter-tail headchar-lower tailchar-period above-double-space above-line-space
B-SectionHeader	4 Answer Resolution	page=2 xpos=5 ypos=0 right-column right-indent font-largest aligned-line line-double-space line-space numbered-heading1 above-double-space above-line-space
B-Body	Given two answering agents with the same pipeline archi-	page=2 xpos=5 ypos=1 right-column full-justified aligned-line longer-tail line-double-space line-space headchar-capital tailchar-hiphen
I-Body	tecture, there are multiple points in the process at which	page=2 xpos=5 ypos=1 right-column full-justified aligned-line headchar-lower
