Title	Automatic Segmentation of Multiparty Dialogue	page=0 xpos=1 ypos=0 single-column centered left-indent right-indent font-largest page-top headchar-capital above-blank-line above-double-space above-line-space
I-Abstract	predicting top-level boundaries, the ma-	page=0 xpos=0 ypos=5 left-column left-indent aligned-line headchar-lower tailchar-hiphen
I-Abstract	chine learning approach that combines	page=0 xpos=0 ypos=5 left-column left-indent aligned-line headchar-lower
I-Listitem	lexical-cohesion and conversational fea-	page=0 xpos=0 ypos=6 left-column left-indent aligned-line headchar-lower tailchar-hiphen
I-Listitem	tures performs best, and (3) conversational	page=0 xpos=0 ypos=6 left-column left-indent aligned-line headchar-lower
I-Listitem	cues, such as cue phrases and overlapping	page=0 xpos=0 ypos=6 left-column left-indent aligned-line headchar-lower
I-Listitem	speech, are better indicators for the top-	page=0 xpos=0 ypos=6 left-column left-indent aligned-line headchar-lower tailchar-hiphen
I-Listitem	level prediction task. We also find that	page=0 xpos=0 ypos=6 left-column left-indent aligned-line headchar-lower
I-Listitem	the transcription errors inevitable in ASR	page=0 xpos=0 ypos=6 left-column left-indent aligned-line headchar-lower
I-Listitem	output have a negative impact on models	page=0 xpos=0 ypos=7 left-column left-indent aligned-line headchar-lower
I-Listitem	that combine lexical-cohesion and conver-	page=0 xpos=0 ypos=7 left-column left-indent aligned-line headchar-lower tailchar-hiphen
I-Listitem	sational features, but do not change the	page=0 xpos=0 ypos=7 left-column left-indent aligned-line headchar-lower
I-Listitem	general preference of approach for the two	page=0 xpos=0 ypos=7 left-column left-indent aligned-line headchar-lower
I-Listitem	tasks.	page=0 xpos=0 ypos=7 left-column left-indent right-indent aligned-line shorter-tail headchar-lower tailchar-period above-double-space above-line-space
B-Body	1 Introduction	page=0 xpos=0 ypos=8 left-column right-indent font-larger hanged-line longer-tail line-double-space line-space numbered-heading1 column-bottom
I-Body	work, researchers have applied these techniques	page=0 xpos=5 ypos=2 right-column full-justified column-top headchar-lower
I-Body	to corpora such as newswire feeds, transcripts of	page=0 xpos=5 ypos=2 right-column full-justified aligned-line headchar-lower
I-Body	radio broadcasts, and spoken dialogues, in order	page=0 xpos=5 ypos=2 right-column full-justified aligned-line headchar-lower
I-Body	to facilitate browsing, information retrieval, and	page=0 xpos=5 ypos=3 right-column full-justified aligned-line headchar-lower
I-Body	topic detection (Allan et al., 1998; van Mulbregt	page=0 xpos=5 ypos=3 right-column full-justified aligned-line year headchar-lower
I-Body	et al., 1999; Shriberg et al., 2000; Dharanipragada	page=0 xpos=5 ypos=3 right-column full-justified aligned-line year headchar-lower
I-Body	et al., 2000; Blei and Moreno, 2001; Christensen	page=0 xpos=5 ypos=3 right-column full-justified aligned-line year headchar-lower
I-Body	et al., 2005). In this paper, we focus on segmenta-	page=0 xpos=5 ypos=3 right-column full-justified aligned-line year headchar-lower tailchar-hiphen
I-Body	tion of multiparty dialogues, in particular record-	page=0 xpos=5 ypos=3 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	ings of small group meetings. We compare mod-	page=0 xpos=5 ypos=4 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	els based solely on lexical information, which are	page=0 xpos=5 ypos=4 right-column full-justified aligned-line headchar-lower
I-Body	common in approaches to automatic segmentation	page=0 xpos=5 ypos=4 right-column full-justified aligned-line headchar-lower
I-Body	of text, with models that combine lexical and con-	page=0 xpos=5 ypos=4 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	versational features. Because tasks as diverse as	page=0 xpos=5 ypos=4 right-column full-justified aligned-line headchar-lower
I-Body	browsing, on the one hand, and summarization, on	page=0 xpos=5 ypos=5 right-column full-justified aligned-line headchar-lower
I-Body	the other, require different levels of granularity of	page=0 xpos=5 ypos=5 right-column full-justified aligned-line headchar-lower
I-Body	segmentation, we explore the performance of our	page=0 xpos=5 ypos=5 right-column full-justified aligned-line headchar-lower
I-Body	models for two tasks: hypothesizing where ma-	page=0 xpos=5 ypos=5 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	jor topic changes occur and hypothesizing where	page=0 xpos=5 ypos=5 right-column full-justified aligned-line headchar-lower
E-Body	more subtle nested topic shifts occur.	page=0 xpos=5 ypos=5 right-column right-indent aligned-line shorter-tail headchar-lower tailchar-period
B-Body	In addition, because we do not wish to make the	page=0 xpos=5 ypos=6 right-column left-indent indented-line longer-tail headchar-capital
I-Body	assumption that high quality transcripts of meet-	page=0 xpos=5 ypos=6 right-column full-justified hanged-line headchar-lower tailchar-hiphen
I-Body	ing records, such as those produced by human	page=0 xpos=5 ypos=6 right-column full-justified aligned-line headchar-lower
I-Body	transcribers, will be commonly available, we re-	page=0 xpos=5 ypos=6 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	quire algorithms that operate directly on automatic	page=0 xpos=5 ypos=6 right-column full-justified aligned-line headchar-lower
E-Body	speech recognition (ASR) output.	page=0 xpos=5 ypos=7 right-column right-indent aligned-line shorter-tail headchar-lower tailchar-period above-double-space above-line-space
B-SectionHeader	2 Previous Work	page=0 xpos=5 ypos=7 right-column right-indent font-larger aligned-line shorter-tail line-double-space line-space numbered-heading1 above-double-space above-line-space
B-Body	Prior research on segmentation of spoken “docu-	page=0 xpos=5 ypos=7 right-column full-justified aligned-line longer-tail line-double-space line-space headchar-capital tailchar-hiphen
I-Body	ments” uses approaches that were developed for	page=0 xpos=5 ypos=7 right-column full-justified aligned-line headchar-lower
I-Body	text segmentation, and that are based solely on	page=0 xpos=5 ypos=8 right-column full-justified aligned-line headchar-lower
I-Body	textual cues. These include algorithms based on	page=0 xpos=5 ypos=8 right-column full-justified aligned-line headchar-lower column-bottom
I-Body	Text segmentation, i.e., determining the points at lexical cohesion (Galley et al., 2003; Stokes et	page=0 xpos=0 ypos=8 single-column full-justified column-top year headchar-capital
I-Body	which the topic changes in a stream of text, plays al., 2004), as well as models using annotated fea-	page=0 xpos=0 ypos=8 single-column full-justified aligned-line year headchar-lower tailchar-hiphen
I-Body	an important role in applications such as topic tures (e.g., cue phrases, part-of-speech tags, coref-	page=0 xpos=0 ypos=8 single-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	detection and tracking, summarization, automatic erence relations) that have been determined to cor-	page=0 xpos=0 ypos=8 single-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	genre detection and information retrieval and ex- relate with segment boundaries (Gavalda et al.,	page=0 xpos=0 ypos=9 single-column full-justified aligned-line headchar-lower tailchar-comma
I-Body	traction (Pevzner and Hearst, 2002). In recent 1997; Beeferman et al., 1999). Blei et al. (2001)	page=0 xpos=0 ypos=9 single-column full-justified aligned-line year headchar-lower column-bottom above-blank-line above-double-space above-line-space
Page	273	page=0 xpos=4 ypos=9 right-column left-over right-indent font-smallest column-top line-blank-line line-double-space line-space numeric-only page-bottom
I-Body	and van Mulbregt et al. (1999) use topic lan-	page=1 xpos=0 ypos=0 left-column full-justified page-top year headchar-lower tailchar-hiphen
I-Body	guage models and variants of the hidden Markov	page=1 xpos=0 ypos=0 left-column full-justified aligned-line headchar-lower
I-Body	model (HMM) to identify topic segments. Recent	page=1 xpos=0 ypos=0 left-column full-justified aligned-line headchar-lower
I-Body	systems achieve good results for predicting topic	page=1 xpos=0 ypos=0 left-column full-justified aligned-line headchar-lower
I-Body	boundaries when trained and tested on human	page=1 xpos=0 ypos=0 left-column full-justified aligned-line headchar-lower
I-Body	transcriptions. For example, Stokes et al. (2004)	page=1 xpos=0 ypos=0 left-column full-justified aligned-line year headchar-lower
I-Body	report an error rate (Pk) of 0.25 on segmenting	page=1 xpos=0 ypos=1 left-column full-justified aligned-line headchar-lower
I-Body	broadcast news stories using unsupervised lexical	page=1 xpos=0 ypos=1 left-column full-justified aligned-line headchar-lower
I-Body	cohesion-based approaches. However, topic seg-	page=1 xpos=0 ypos=1 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	mentation of multiparty dialogue seems to be a	page=1 xpos=0 ypos=1 left-column full-justified aligned-line headchar-lower
I-Body	considerably harder task. Galley et al. (2003) re-	page=1 xpos=0 ypos=1 left-column full-justified aligned-line year headchar-lower tailchar-hiphen
I-Body	port an error rate (Pk) of 0.319 for the task of pre-	page=1 xpos=0 ypos=2 left-column full-justified aligned-line headchar-lower tailchar-hiphen
E-Body	dicting major topic segments in meetings. <sup>1</sup>	page=1 xpos=0 ypos=2 left-column right-indent font-largest aligned-line shorter-tail headchar-lower above-line-space
B-Body	Although recordings of multiparty dialogue	page=1 xpos=0 ypos=2 left-column left-indent indented-line longer-tail line-space headchar-capital
I-Body	lack the distinct segmentation cues commonly	page=1 xpos=0 ypos=2 left-column full-justified hanged-line headchar-lower
I-Body	found in text (e.g., headings, paragraph breaks,	page=1 xpos=0 ypos=2 left-column full-justified aligned-line headchar-lower tailchar-comma
I-Body	and other typographic cues) or news story segmen-	page=1 xpos=0 ypos=2 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	tation (e.g., the distinction between anchor and	page=1 xpos=0 ypos=3 left-column full-justified aligned-line headchar-lower
I-Body	interview segments), they contain conversation-	page=1 xpos=0 ypos=3 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	based features that may be of use for automatic	page=1 xpos=0 ypos=3 left-column full-justified aligned-line headchar-lower
I-Body	segmentation. These include silence, overlap rate,	page=1 xpos=0 ypos=3 left-column full-justified aligned-line headchar-lower tailchar-comma
I-Body	speaker activity change (Galley et al., 2003), and	page=1 xpos=0 ypos=3 left-column full-justified aligned-line year headchar-lower
I-Body	cross-speaker linking information, such as adja-	page=1 xpos=0 ypos=4 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	cency pairs (Zechner and Waibel, 2000). Many	page=1 xpos=0 ypos=4 left-column full-justified aligned-line year headchar-lower
I-Body	of these features can be expected to be compli-	page=1 xpos=0 ypos=4 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	mentary. For segmenting spontaneous multiparty	page=1 xpos=0 ypos=4 left-column full-justified aligned-line headchar-lower
I-Body	dialogue into major topic segments, Galley et	page=1 xpos=0 ypos=4 left-column full-justified aligned-line headchar-lower
I-Body	al. (2003) have shown that a model integrating lex-	page=1 xpos=0 ypos=4 left-column full-justified aligned-line year headchar-lower tailchar-hiphen
I-Body	ical and conversation-based features outperforms	page=1 xpos=0 ypos=5 left-column full-justified aligned-line headchar-lower
E-Body	one based on solely lexical cohesion information.	page=1 xpos=0 ypos=5 left-column right-indent aligned-line headchar-lower tailchar-period above-line-space
B-Body	However, the automatic segmentation models	page=1 xpos=0 ypos=5 left-column left-indent indented-line line-space headchar-capital
I-Body	in prior work were developed for predicting top-	page=1 xpos=0 ypos=5 left-column full-justified hanged-line headchar-lower tailchar-hiphen
I-Body	level topic segments. In addition, compared to	page=1 xpos=0 ypos=5 left-column full-justified aligned-line headchar-lower
I-Body	read speech and two-party dialogue, multi-party	page=1 xpos=0 ypos=6 left-column full-justified aligned-line headchar-lower
I-Body	dialogues typically exhibit a considerably higher	page=1 xpos=0 ypos=6 left-column full-justified aligned-line headchar-lower
I-Body	word error rate (WER) (Morgan et al., 2003).	page=1 xpos=0 ypos=6 left-column full-justified aligned-line year headchar-lower tailchar-period
I-Body	We expect that incorrectly recognized words will	page=1 xpos=0 ypos=6 left-column full-justified aligned-line headchar-capital
I-Body	impair the robustness of lexical cohesion-based	page=1 xpos=0 ypos=6 left-column full-justified aligned-line headchar-lower
I-Body	approaches and extraction of conversation-based	page=1 xpos=0 ypos=7 left-column centered right-indent aligned-line headchar-lower
I-Body	discourse cues and other features. Past research	page=1 xpos=0 ypos=7 left-column full-justified aligned-line headchar-lower
I-Body	on broadcast news story segmentation using ASR	page=1 xpos=0 ypos=7 left-column full-justified aligned-line headchar-lower
I-Body	transcription has shown performance degradation	page=1 xpos=0 ypos=7 left-column full-justified aligned-line headchar-lower
I-Body	from 5% to 38% using different evaluation metrics	page=1 xpos=0 ypos=7 left-column full-justified aligned-line headchar-lower
I-Body	(van Mulbregt et al., 1999; Shriberg et al., 2000;	page=1 xpos=0 ypos=7 left-column full-justified aligned-line year tailchar-semicolon
I-Body	Blei and Moreno, 2001). However, no prior study	page=1 xpos=0 ypos=8 left-column full-justified aligned-line year headchar-capital
I-Body	has reported directly on the extent of this degra-	page=1 xpos=0 ypos=8 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	dation on the performance of a more subtle topic	page=1 xpos=0 ypos=8 left-column full-justified aligned-line headchar-lower
I-Body	segmentation task and in spontaneous multiparty	page=1 xpos=0 ypos=8 left-column full-justified aligned-line headchar-lower
I-Body	dialogue. In this paper, we extend prior work by	page=1 xpos=0 ypos=8 left-column full-justified aligned-line headchar-lower above-double-space above-line-space
B-Footnote	<sup>1</sup> For the definition of Pk and Wd, please refer to section	page=1 xpos=0 ypos=9 left-column left-indent indented-line line-double-space line-space headchar-super
I-Footnote	3.4.1	page=1 xpos=0 ypos=9 left-column right-indent font-smallest hanged-line shorter-tail column-bottom
I-Body	investigating the effect of using ASR output on the	page=1 xpos=5 ypos=0 right-column full-justified column-top headchar-lower
I-Body	models that have previously been proposed. In ad-	page=1 xpos=5 ypos=0 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	dition, we aim to find useful features and models	page=1 xpos=5 ypos=0 right-column full-justified aligned-line headchar-lower
E-Body	for the subtopic prediction task.	page=1 xpos=5 ypos=0 right-column right-indent aligned-line shorter-tail headchar-lower tailchar-period above-double-space above-line-space
B-SectionHeader	3 Method	page=1 xpos=5 ypos=0 right-column right-indent font-larger aligned-line shorter-tail line-double-space line-space numbered-heading1 above-double-space above-line-space
B-SubsectionHeader	3.1 Data	page=1 xpos=5 ypos=1 right-column right-indent aligned-line shorter-tail line-double-space line-space numbered-heading2 above-double-space above-line-space
B-Body	In this study, we used the ICSI meeting corpus	page=1 xpos=5 ypos=1 right-column full-justified aligned-line longer-tail line-double-space line-space headchar-capital
I-Body	(LDC2004S02). Seventy-five natural meetings of	page=1 xpos=5 ypos=1 right-column full-justified aligned-line year
I-Body	ICSI research groups were recorded using close-	page=1 xpos=5 ypos=1 right-column full-justified aligned-line headchar-capital tailchar-hiphen
I-Body	talking far field head-mounted microphones and	page=1 xpos=5 ypos=1 right-column full-justified aligned-line headchar-lower
I-Body	four desktop PZM microphones. The corpus in-	page=1 xpos=5 ypos=2 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	cludes human transcriptions of all meetings. We	page=1 xpos=5 ypos=2 right-column full-justified aligned-line headchar-lower
I-Body	added ASR transcriptions of all 75 meetings which	page=1 xpos=5 ypos=2 right-column full-justified aligned-line headchar-lower
I-Body	were produced by Hain (2005), with an average	page=1 xpos=5 ypos=2 right-column full-justified aligned-line year headchar-lower
E-Body	WER of roughly 30%.	page=1 xpos=5 ypos=2 right-column right-indent aligned-line shorter-tail headchar-capital tailchar-period
B-Body	The ASR system used a vocabulary of 50,000	page=1 xpos=5 ypos=3 right-column left-indent indented-line longer-tail headchar-capital
I-Body	words, together with a trigram language model	page=1 xpos=5 ypos=3 right-column full-justified hanged-line headchar-lower
I-Body	trained on a combination of in-domain meeting	page=1 xpos=5 ypos=3 right-column full-justified aligned-line headchar-lower
I-Body	data, related texts found by web search, conver-	page=1 xpos=5 ypos=3 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	sational telephone speech (CTS) transcripts and	page=1 xpos=5 ypos=3 right-column full-justified aligned-line headchar-lower
I-Body	broadcast news transcripts (about 10 <sup>9</sup> words in to-	page=1 xpos=5 ypos=3 right-column full-justified font-largest aligned-line headchar-lower tailchar-hiphen
I-Body	tal), resulting in a test-set perplexity of about 80.	page=1 xpos=5 ypos=4 right-column full-justified aligned-line headchar-lower tailchar-period
I-Body	The acoustic models comprised a set of context-	page=1 xpos=5 ypos=4 right-column full-justified aligned-line headchar-capital tailchar-hiphen
I-Body	dependent hidden Markov models, using gaussian	page=1 xpos=5 ypos=4 right-column full-justified aligned-line headchar-lower
I-Body	mixture model output distributions. These were	page=1 xpos=5 ypos=4 right-column full-justified aligned-line headchar-lower
I-Body	initially trained on CTS acoustic training data, and	page=1 xpos=5 ypos=4 right-column full-justified aligned-line headchar-lower
I-Body	were adapted to the ICSI meetings domain using	page=1 xpos=5 ypos=5 right-column full-justified aligned-line headchar-lower
I-Body	maximum a posteriori (MAP) adaptation. Further	page=1 xpos=5 ypos=5 right-column full-justified aligned-line headchar-lower
I-Body	adaptation to individual speakers was achieved us-	page=1 xpos=5 ypos=5 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	ing vocal tract length normalization and maximum	page=1 xpos=5 ypos=5 right-column full-justified aligned-line headchar-lower
I-Body	likelihood linear regression. A four-fold cross-	page=1 xpos=5 ypos=5 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	validation technique was employed: four recog-	page=1 xpos=5 ypos=6 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	nizers were trained, with each employing 75% of	page=1 xpos=5 ypos=6 right-column full-justified aligned-line headchar-lower
I-Body	the ICSI meetings as acoustic and language model	page=1 xpos=5 ypos=6 right-column full-justified aligned-line headchar-lower
I-Body	training data, and then used to recognize the re-	page=1 xpos=5 ypos=6 right-column full-justified aligned-line headchar-lower tailchar-hiphen
E-Body	maining 25% of the meetings.	page=1 xpos=5 ypos=6 right-column right-indent aligned-line shorter-tail headchar-lower tailchar-period above-double-space above-line-space
B-SubsectionHeader	3.2 Fine-grained and coarse-grained topics	page=1 xpos=5 ypos=7 right-column right-indent aligned-line longer-tail line-double-space line-space numbered-heading2 above-double-space above-line-space
B-Body	We characterize a dialogue as a sequence of top-	page=1 xpos=5 ypos=7 right-column full-justified aligned-line longer-tail line-double-space line-space headchar-capital tailchar-hiphen
I-Body	ical segments that may be further divided into	page=1 xpos=5 ypos=7 right-column full-justified aligned-line headchar-lower
I-Body	subtopic segments. For example, the 60 minute	page=1 xpos=5 ypos=7 right-column full-justified aligned-line headchar-lower
I-Body	meeting Bed003, whose theme is the planning of	page=1 xpos=5 ypos=7 right-column full-justified aligned-line headchar-lower
I-Body	a research project on automatic speech recognition	page=1 xpos=5 ypos=8 right-column full-justified aligned-line itemization headchar-lower
I-Body	can be described by 4 major topics, from “open-	page=1 xpos=5 ypos=8 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	ing” to “general discourse features for higher lay-	page=1 xpos=5 ypos=8 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	ers” to “how to proceed” to “closing”. Depending	page=1 xpos=5 ypos=8 right-column full-justified aligned-line headchar-lower
I-Body	on the complexity, each topic can be further di-	page=1 xpos=5 ypos=8 right-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	vided into a number of subtopics. For example,	page=1 xpos=5 ypos=8 right-column full-justified aligned-line headchar-lower tailchar-comma
I-Body	“how to proceed” can be subdivided to 4 subtopic	page=1 xpos=5 ypos=9 right-column full-justified aligned-line
I-Body	segments, “segmenting off regions of features”,	page=1 xpos=5 ypos=9 right-column full-justified aligned-line headchar-lower tailchar-comma column-bottom above-blank-line above-double-space above-line-space
Page	274	page=1 xpos=4 ypos=9 single-column left-indent right-indent font-smallest column-top line-blank-line line-double-space line-space numeric-only page-bottom
I-Body	“ad-hoc probabilities”, “data collection” and “ex-	page=2 xpos=0 ypos=0 left-column full-justified page-top tailchar-hiphen
E-Body	perimental setup”.	page=2 xpos=0 ypos=0 left-column right-indent aligned-line shorter-tail headchar-lower tailchar-period
B-Body	Three human annotators at our site used a tai-	page=2 xpos=0 ypos=0 left-column left-indent indented-line longer-tail headchar-capital tailchar-hiphen
I-Body	lored tool to perform topic segmentation in which	page=2 xpos=0 ypos=0 left-column full-justified hanged-line headchar-lower
I-Body	they could choose to decompose a topic into	page=2 xpos=0 ypos=0 left-column full-justified aligned-line headchar-lower
I-Body	subtopics, with at most three levels in the resulting	page=2 xpos=0 ypos=0 left-column full-justified aligned-line headchar-lower
I-Body	hierarchy. Topics are described to the annotators	page=2 xpos=0 ypos=1 left-column full-justified aligned-line headchar-lower
I-Body	as what people in a meeting were talking about.	page=2 xpos=0 ypos=1 left-column full-justified aligned-line headchar-lower tailchar-period
I-Body	Annotators were asked to provide a free text la-	page=2 xpos=0 ypos=1 left-column full-justified aligned-line headchar-capital tailchar-hiphen
I-Body	bel for each topic segment; they were encour-	page=2 xpos=0 ypos=1 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	aged to use keywords drawn from the transcrip-	page=2 xpos=0 ypos=1 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	tion in these labels, and we provided some stan-	page=2 xpos=0 ypos=2 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	dard labels for non-content topics, such as “open-	page=2 xpos=0 ypos=2 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	ing” and “chitchat”, to impose consistency. For	page=2 xpos=0 ypos=2 left-column full-justified aligned-line headchar-lower
I-Body	our initial experiments with automatic segmenta-	page=2 xpos=0 ypos=2 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	tion at different levels of granularity, we flattened	page=2 xpos=0 ypos=2 left-column full-justified aligned-line headchar-lower
I-Body	the subtopic structure and consider only two levels	page=2 xpos=0 ypos=2 left-column full-justified aligned-line headchar-lower
E-Body	of segmentation–top-level topics and all subtopics.	page=2 xpos=0 ypos=3 left-column full-justified aligned-line headchar-lower tailchar-period
B-Body	To establish reliability of our annotation proce-	page=2 xpos=0 ypos=3 left-column left-indent indented-line headchar-capital tailchar-hiphen
I-Body	dure, we calculated kappa statistics between the	page=2 xpos=0 ypos=3 left-column full-justified hanged-line headchar-lower
I-Body	annotations of each pair of coders. Our analy-	page=2 xpos=0 ypos=3 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	sis indicates human annotators achieve κ = 0.79	page=2 xpos=0 ypos=3 left-column full-justified font-largest aligned-line headchar-lower
I-Body	agreement on top-level segment boundaries and	page=2 xpos=0 ypos=4 left-column full-justified aligned-line headchar-lower
I-Body	κ = 0.73 agreement on subtopic boundaries. The	page=2 xpos=0 ypos=4 left-column full-justified font-largest aligned-line
I-Body	level of agreement confirms good replicability of	page=2 xpos=0 ypos=4 left-column full-justified aligned-line headchar-lower
E-Body	the annotation procedure.	page=2 xpos=0 ypos=4 left-column right-indent aligned-line shorter-tail headchar-lower tailchar-period above-double-space above-line-space
B-SubsectionHeader	3.3 Probabilistic models	page=2 xpos=0 ypos=4 left-column right-indent aligned-line longer-tail line-double-space line-space numbered-heading2 above-double-space above-line-space
B-Body	Our goal is to investigate the impact of ASR er-	page=2 xpos=0 ypos=5 left-column full-justified aligned-line longer-tail line-double-space line-space headchar-capital tailchar-hiphen
I-Body	rors on the selection of features and the choice of	page=2 xpos=0 ypos=5 left-column full-justified aligned-line headchar-lower
I-Body	models for segmenting topics at different levels of	page=2 xpos=0 ypos=5 left-column full-justified aligned-line headchar-lower
I-Body	granularity. We compare two segmentation mod-	page=2 xpos=0 ypos=5 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	els: (1) an unsupervised lexical cohesion-based	page=2 xpos=0 ypos=5 left-column full-justified aligned-line headchar-lower
I-Body	model (LM) using solely lexical cohesion infor-	page=2 xpos=0 ypos=6 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	mation, and (2) feature-based combined models	page=2 xpos=0 ypos=6 left-column full-justified aligned-line headchar-lower
I-Body	(CM) that are trained on a combination of lexical	page=2 xpos=0 ypos=6 left-column full-justified aligned-line
E-Body	cohesion and conversational features.	page=2 xpos=0 ypos=6 left-column right-indent aligned-line shorter-tail headchar-lower tailchar-period above-double-space above-line-space
B-SubsubsectionHeader	3.3.1 Lexical cohesion-based model	page=2 xpos=0 ypos=6 left-column right-indent aligned-line longer-tail line-double-space line-space numbered-heading3 above-line-space
B-Body	In this study, we use Galley et al.’s (2003)	page=2 xpos=0 ypos=7 left-column left-indent indented-line longer-tail line-space year headchar-capital
I-Body	LCSeg algorithm, a variant of TextTiling (Hearst,	page=2 xpos=0 ypos=7 left-column full-justified hanged-line headchar-capital tailchar-comma
I-Body	1997). LCSeg hypothesizes that a major topic	page=2 xpos=0 ypos=7 left-column full-justified aligned-line year
I-Body	shift is likely to occur where strong term repeti-	page=2 xpos=0 ypos=7 left-column full-justified aligned-line headchar-lower tailchar-hiphen
I-Body	tions start and end. The algorithm works with two	page=2 xpos=0 ypos=7 left-column full-justified aligned-line headchar-lower
I-Body	adjacent analysis windows, each of a fixed size	page=2 xpos=0 ypos=8 left-column full-justified aligned-line headchar-lower
